"Germplasm","Plot","Rep","Row","Range","GNDVI_62","GNDVI_76","GNDVI_90","GNDVI_96","GNDVI_104","GNDVI_110","GNDVI_114","yld1","GNDVI_124","GNDVI_130","GNDVI_138","GNDVI_144","GNDVI_150","yld2","GNDVI_166","GNDVI_174","GNDVI_180","yld3","GNDVI_188","GNDVI_194","GNDVI_200","GNDVI_206","yld4","GNDVI_216","GNDVI_222","GNDVI_228","GNDVI_236","GNDVI_240","yld5","GNDVI_264","GNDVI_270","GNDVI_278","GNDVI_284","GNDVI_292","yld6"
"NM1702PAR","124","4","4","8",0.014186010586635,0.0434267230086814,0.000361096035997723,0.0275555262489641,-0.0388454698269295,0.00810953091803392,0.00114523330438663,0.301902738318289,-0.00153078670784525,0.00651762794808522,-0.0420371936473906,-0.0118067016000777,-0.0135154400783172,-0.938961841174641,-0.010842806756214,-0.00696166193864086,-0.023986132049814,-0.124308271082245,-0.0153715893278046,-0.027417926636876,0.0102707491839428,-0.0227393345058708,-0.181073908392849,0.0004982328677213,0.0107482495345908,-0.00345336234747445,-0.0055619208281534,-0.00964918666691731,0.0925023459063654,0.0113301275756248,0.0127640471961652,0.00674521596293182,0.00806357374137052,-0.00667633461423204,-0.169263878007586
"AFX_779","125","4","4","7",0.0123130104199246,0.0458570875459893,-0.0105466057891157,0.0119396106480785,-0.049427543482134,-0.0212018374560087,-0.0278088402941197,-0.565566363769967,-0.000230001656810908,-0.00246966125495918,-0.0624548230105956,-0.0392260756660996,-0.0316579612702902,-1.64756673509049,-0.0432177904606961,-0.00721675633306159,-0.0626448300041544,-0.842639402609393,0.0117396862488156,-0.0442665894465534,-0.00612933295394469,-0.0458967496624015,-0.472489502613777,0.0128063293106336,0.0176532317797044,-0.00592082411371696,-0.0283325379198561,-0.0490313425575581,-0.612528674567343,-0.0147424948643587,-0.0164168271277815,-0.0133980006444011,-0.00511070132896797,-0.0463811822915588,-0.464821053673897
"AFX_149092","126","3","4","6",0.0152500410970742,0.0396002368761221,-0.014316222464148,0.0157720427064514,-0.0346784390805629,-0.0288424633880424,-0.0102621170579143,-0.681122933537018,-0.00327856139377737,-0.00237599003369951,-0.0728139271170927,-0.0375950162036351,-0.00609792444323553,-1.19069075442696,-0.0211682957984952,-0.0189580386225584,-0.0615518817882063,-0.930707802881074,0.0386596036017149,-0.0485398391663102,-0.00580193222207532,-0.0555411048276316,-0.443090459498305,0.017893516592792,0.0188278285900914,-0.00603359949332997,-0.0315305039859667,-0.054725681059365,-0.797702806162862,-0.0123498995193645,-0.0115840190091241,-0.0188697772681444,-0.00766091900216127,-0.0536837755896276,-0.532600621363321
"NUMEX_BILL_MELTON_FG2011","127","3","4","5",0.00721679258064166,0.0113542234356811,-0.0497521501560634,-0.0154416277453243,-0.0479554476860506,-0.0224025216849313,-0.0285040608027637,-1.29707096525789,-0.0173832668085881,-0.0223655064507781,-0.0854764646512483,-0.0465016336618988,0.00881099579714424,-0.88877320489745,-0.00568255210689382,-0.0280374470761865,-0.0786904043758209,-1.0067960679462,0.0238574800832571,-0.0687220871616984,-0.0287611804007773,-0.0805741314527594,-0.620763202240097,0.00281934043174949,0.00541463296413114,-0.00947182273031022,-0.0433631408486406,-0.0679814802036533,-1.05674329658662,-0.0212484052513236,-0.0108790845354594,-0.0221552222729375,-0.00191524184125575,-0.0469314550130259,-0.53009796088346
"NUMEX_BILL_MELTON_CA_2019","128","2","4","4",-0.00841269664230147,-0.00177036394307342,-0.0502033183532443,0.00362798851991817,-0.030407765521661,-0.00969087049018688,-0.00141463062372706,-1.50607511190394,-0.0205329748372863,-0.0211995244950076,-0.0858736047934901,-0.0607155792755545,-0.0437518223068544,-2.05180539939303,-0.0320446257738369,-0.0548738309367038,-0.089212131805281,-1.64154318021305,0.0196775598465746,-0.068892622132753,-0.0286440801149353,-0.0849652568165279,-1.07034163617113,-0.0180936504107377,-0.00202463282577842,-0.0151288633215231,-0.0543511896992878,-0.0780135305996196,-1.32290535329184,-0.0262356169128658,-0.0173018206070882,-0.0313177913879885,-0.00640091311784249,-0.0503868621195987,-0.620309858348807
"AFX_149092","129","2","4","3",-0.0213469306215564,-0.0162399532510243,-0.0669894393682445,-0.0264492400948715,-0.0386235612855592,-0.00812268220502696,-0.0281340501214645,-2.22351000826422,2.86142458843143e-05,-0.00486700847389103,-0.0623812854800343,-0.0575704638581625,-0.0354508659257449,-2.04005512735825,-0.0195961355278739,-0.0437277326212749,-0.0726972968212446,-1.68068390355244,0.0383600125441719,-0.0666432418257488,-0.0208541537507506,-0.0700716751174049,-1.24667497193163,0.00904055839438658,-0.00240533835828664,-0.0108226032966808,-0.0481404973057785,-0.0732322380076075,-1.5571936288576,-0.0264889152371008,-0.0176219842836007,-0.0157240817104727,-0.000113387431747367,-0.0506859215259273,-0.623498523042788
"TMA_990","130","1","4","2",-0.013369389473545,0.00274908706835839,-0.056526935101156,-0.017477473344295,-0.0233767560379649,-0.0112305322890028,-0.0192135618849333,-1.54024065362784,0.00208744573666815,0.0107732101328242,-0.04711533603422,-0.0475663856477956,-0.013289026819897,-1.61475769083635,-0.0360691965294438,-0.0494038888463045,-0.0716752907650477,-1.46148701712857,0.0384614690067491,-0.0727406730544508,-0.0157690938080023,-0.0720932785071481,-1.14589057283608,0.0128665935350177,-0.000390084469928413,-0.00399202656809867,-0.0429437122602026,-0.0614433100655502,-1.14154166987144,-0.02167616083124,-0.0112669276524414,-0.00726798609882096,0.00693429690398543,-0.0367556309246403,-0.361167884757085
"NM1704PAR","131","1","4","1",-0.0174366517679328,-0.00426016041124756,-0.0558614319716059,-0.026049071405197,-0.0237564183994532,0.00228292152779678,-0.0195069228874824,-1.33967469838801,0.00411955343590518,0.0123513618155919,-0.0193072405661121,-0.0489414792877289,0.00627466244943353,-1.23264442704698,-0.0181934676499344,-0.0263962451844223,-0.0329231826325377,-1.15754716414518,0.0290742569286333,-0.0726572153060827,-0.0175239388068702,-0.0518501585818452,-0.856392035056377,0.026122109433277,0.00174603433709864,0.00566465741145479,-0.0410230589744192,-0.0533531614376082,-0.961632941370035,-0.0229112298965095,-0.0241017976460994,-0.0101626278172054,0.0037894403920798,-0.0403145091117754,-0.386735841184024
"NUMEX_BILL_MELTON_CA_2019","132","1","5","1",0.0012769067112337,0.0225999049192405,-0.0463695282927248,-0.0116207184810914,-0.0788686825470429,-0.0155499412327393,-0.0166765791238719,-0.6857868882015,-0.000383856007033261,-0.00724271306113481,-0.0677868965845136,-0.0324557481378624,-0.0199441029202974,-1.07661477044387,0.00843360397550855,-0.00819949495973808,-0.0240271139917256,-0.166895489331996,-0.0207794448662886,-0.0260120029002996,-0.00719637006596073,-0.0335279859521112,-0.155716343401036,-0.00253701573970933,0.00622854841824297,-0.00257272256521079,-0.00843125426036102,-0.0108487786884298,0.357996891505497,0.00797742231752878,0.0181733804533509,0.00188619298627132,0.0140457262682194,-0.00806950742266983,-0.140960077683561
"NUMEX_BILL_MELTON_CA_2019","133","1","5","2",-0.00754240221923262,0.0236189050662142,-0.0610635321754766,-0.0283879414577493,-0.0896381794633544,-0.0385704300837432,-0.0579995850453554,-1.68209544326327,0.00244240751548646,-0.0163295232532895,-0.0938338761481006,-0.0644205355086639,-0.0574931213120097,-2.06046731953242,-0.0395561457947394,-0.00893506532438179,-0.0658590374492245,-0.949162756555373,0.0165985359293469,-0.0424198018143691,-0.0252821836680891,-0.0602379539464699,-0.509604017143862,0.00741190648132934,0.0130074774188793,-0.00686041893967297,-0.0352182693683835,-0.0572521064550228,-0.507398582096005,-0.0220867493175127,-0.0145012047562971,-0.0190362729075836,-0.00144966945923901,-0.0502540407866954,-0.461950095064333
"NUMEX_BILL_MELTON_CA_2019","134","2","5","3",-0.00891610351903915,0.0110564244197655,-0.0770605523264671,-0.0436688692691274,-0.0926912997318477,-0.0435916053564404,-0.0634035598342413,-2.10256834583386,0.000435837766714224,-0.0196295061689457,-0.109639119746301,-0.0696196171872432,-0.0446635664835609,-1.82268954645235,-0.0254343785989554,-0.0272468599097918,-0.0721248453046757,-1.09148041732655,0.0480769363361186,-0.0508987576763787,-0.0304299774493123,-0.0773566036797639,-0.597962573431105,0.0166286397580189,0.0119255830805825,-0.0102481923841786,-0.0425232382055747,-0.0701653392371793,-0.993277564430334,-0.0260637727906022,-0.0151054896842672,-0.0267987268852916,-0.0073964924970525,-0.0635401125469642,-0.588240591130752
"NUMEX_BILL_MELTON_CA_2019","135","2","5","4",-0.0197114852874136,-0.0135282919132375,-0.112815601532846,-0.0795654777604531,-0.115032750764891,-0.0349718923691452,-0.0905279014269052,-2.81472102521996,-0.0119312612923812,-0.0405622127063836,-0.122688279659999,-0.0816027594495434,-0.0305181781888483,-1.61844049122832,0.00160105163308739,-0.0297549350638638,-0.0910593410180603,-1.23851093991948,0.0402426422631293,-0.0728822311193648,-0.0552374590661036,-0.104723895522164,-0.825752568216518,0.0127917584466732,-8.62774593674633e-05,-0.0152872132552136,-0.0553295078721729,-0.0830126809462188,-1.39372498209496,-0.0370788585312941,-0.0190024295318935,-0.0323876200757543,-0.00307770010676339,-0.0597639122167965,-0.613139023276406
"NUMEX_BILL_MELTON_CA_2019","136","3","5","5",-0.0363875426054715,-0.0277866944926268,-0.112833909845986,-0.0627930868129559,-0.104483493542178,-0.0222979046587627,-0.0721403840147429,-3.14934902693634,-0.0136406929584139,-0.0419035912686156,-0.121273415239802,-0.0985312052448899,-0.0857415903369759,-2.83757342312973,-0.0423469248675845,-0.0716378263315326,-0.11303451841249,-2.05364722125176,0.0331659700764571,-0.0768282778197885,-0.0589197648530593,-0.117962041088729,-1.41954990067986,-0.0149678587003405,-0.00955828142090589,-0.022012063703389,-0.0711419262902098,-0.103674016499696,-1.87283905300445,-0.0443340078835073,-0.0331568615397524,-0.0489829633768008,-0.0124783500262615,-0.0773091425748691,-0.753851814312267
"NUMEX_BILL_MELTON_CA_2019","137","3","5","6",-0.0435633416774338,-0.0346078035420469,-0.117462717368765,-0.0732444020639061,-0.0929355263560579,-0.0329817288804292,-0.0687496844679061,-3.33483858768802,0.0050031439164539,-0.0170880393977069,-0.0848995349017886,-0.0870032468040421,-0.0627556103297403,-2.54023697085859,-0.016879086412786,-0.0503090273310287,-0.089745546667506,-1.985463230976,0.0514140543389242,-0.0759606192400834,-0.0511338792491321,-0.101902674192277,-1.56445900409318,0.01074331168262,-0.0100544840272066,-0.0159287095477311,-0.0645103413196357,-0.0987988438794309,-2.06763907293451,-0.0446841536534664,-0.036713716482912,-0.0334789891225025,-0.00620669517635843,-0.0808990406317693,-0.745913752311812
"NUMEX_BILL_MELTON_CA_2019","138","4","5","7",-0.0336599437875752,-0.0151245937347531,-0.103148783350379,-0.0557319158307063,-0.0693850539011377,-0.0346870553123314,-0.0503330146119067,-2.37717750851637,0.00820188644725547,0.00267571657445101,-0.0640481960413962,-0.0756697628485235,-0.0446664426795484,-2.04195783407871,-0.0457255717385966,-0.0655645815285221,-0.0918192196400111,-1.71389611249853,0.0426807689272319,-0.0840791877335176,-0.0483141138530242,-0.10566453557614,-1.42541887409407,0.00898257533352528,-0.00673676346092813,-0.0104951984631898,-0.0580616504235377,-0.0889016451274423,-1.57703832130613,-0.0418006425298843,-0.033418570339915,-0.0256113297350298,-0.00424695144308931,-0.0743533978602083,-0.503359959012595
"NUMEX_BILL_MELTON_CA_2019","139","4","5","8",-0.0308507746766322,-0.0178364739011946,-0.0955265944041351,-0.0522148262047002,-0.0581380703179896,-0.0278676425794713,-0.0428091409805878,-1.98598760703775,0.0100818343023843,0.00756573949045396,-0.0279975557035969,-0.0710881579540386,-0.00835576973789874,-1.47546254228387,-0.013087398945958,-0.0326494456362903,-0.0428446284229182,-1.23614619336416,0.0322500821494519,-0.0831441525972985,-0.048360273276543,-0.0847968442466352,-1.11158586114852,0.029596832900379,-0.00195112520551227,-0.00165306195941811,-0.0542306062790555,-0.0782117316380698,-1.35990594194476,-0.0412243613098884,-0.0450474839599547,-0.0276380637017815,-0.00639045783409628,-0.0746810463814987,-0.520342346110761
"NM1713PAR","140","4","6","8",0.00483805941964848,0.0165742115779659,-0.0482088098628062,-0.018674561147924,-0.0713390280933859,-0.010189384208762,-0.00085901733165053,-0.742594659856506,0.00825797843500333,0.00401676913551188,-0.0598292366009644,-0.0282356411506356,0.00342542441598114,-0.726066759973985,0.0256851459427701,0.000895622352878214,-0.0243714298640843,-0.0697235826945203,-0.0226024717980349,-0.0332675119640738,-0.0122729146394637,-0.0397811994128468,0.0995626107837619,-0.0058116688329164,-0.00132529443459247,-0.00237856500339611,-0.00998870540929908,-0.0154349095330474,0.572685998979196,0.00288534276873294,0.0192942763100393,-0.00443117237798777,0.0036346805816818,-0.0148377506252506,-0.034178385091057
