"Germplasm","Rep","Plot","Row","Range","NDRE_62","NDRE_76","NDRE_90","NDRE_96","NDRE_104","NDRE_110","NDRE_114","NDRE_124","NDRE_130","NDRE_138","NDRE_144","NDRE_150","NDRE_160","NDRE_166","NDRE_174","NDRE_180","NDRE_188","NDRE_194","NDRE_200","NDRE_206","NDRE_216","NDRE_222","NDRE_228","NDRE_236","NDRE_240","NDRE_250","NDRE_256","NDRE_264","NDRE_270","NDRE_278","NDRE_284","NDRE_292"
"NM1712PAR",2,424,16,4,0.449451883,0.458412985,0.356423181,0.400209438,0.382542365,0.424966714,0.441069406,0.275295124,0.406227071,0.372369454,0.418985428,0.386367585,0.369373045,0.423442309,0.30426443,0.345997798,0.438478029,0.423405608,0.447346421,0.418686287,0.44493948,0.499207594,0.551505173,0.475149845,0.473443936,0.469007305,0.269314462,0.2891495,0.409902472,0.372547201,0.309095433,0.328125174
"NUMEX_BILL_MELTON_CA_2019",2,425,16,3,0.441266142,0.450636879,0.316883131,0.409117357,0.347581751,0.423051098,0.471656663,0.26657675,0.392130643,0.369147718,0.404780716,0.375308585,0.329721466,0.427911998,0.292692319,0.334964354,0.44571825,0.403370365,0.484716539,0.408695324,0.275767345,0.483000727,0.573312104,0.483851874,0.444652493,0.464327563,0.261793517,0.307739757,0.395895412,0.350615024,0.247359457,0.274123119
"SW_9813",1,426,16,2,0.425270672,0.456423286,0.334325891,0.446599943,0.379847509,0.443048147,0.473135066,0.376885003,0.416974699,0.391947881,0.42964502,0.406938606,0.476664378,0.417184009,0.327455822,0.328572018,0.430574519,0.400708212,0.435231871,0.418501453,0.278147624,0.479469068,0.554440892,0.462202678,0.491477083,0.475427645,0.278288413,0.294028191,0.403172623,0.378809725,0.273030409,0.292095909
"NM1702PAR",1,427,16,1,0.430309413,0.452006252,0.385516333,0.458544223,0.346663942,0.438092764,0.495618712,0.310745356,0.412029672,0.387547643,0.455362308,0.396169986,0.606181034,0.421163776,0.313475661,0.358874841,0.432055411,0.41589098,0.436547333,0.423068278,0.327970588,0.477493545,0.557711049,0.461462237,0.49051734,0.460715051,0.27966923,0.275629625,0.414392954,0.348674237,0.278106798,0.317711298
"NUMEX_BILL_MELTON_CA_2019",1,428,17,1,0.451024851,0.457421284,0.375069788,0.487965469,0.365448348,0.423665239,0.487960134,0.251357432,0.411197807,0.392806291,0.41695375,0.390403427,0.6306128,0.434955141,0.34706584,0.363607413,0.441556249,0.430472276,0.45572269,0.424873285,0.318916075,0.503701634,0.582842194,0.462461354,0.46641932,0.468697661,0.308214059,0.285424964,0.419002727,0.36728187,0.285757887,0.314058377
"NUMEX_BILL_MELTON_CA_2019",1,429,17,2,0.431024188,0.464285883,0.33301534,0.457149301,0.39907416,0.444572197,0.48485786,0.285276678,0.411198933,0.386096749,0.428584707,0.39430244,0.48182528,0.435655244,0.321407681,0.364706067,0.435461036,0.414189358,0.446481856,0.42398374,0.299612498,0.506306398,0.580348888,0.47067389,0.463710009,0.451662523,0.356468548,0.28143043,0.419737246,0.361833703,0.271865681,0.296475847
"NUMEX_BILL_MELTON_CA_2019",2,430,17,3,0.438776471,0.446815417,0.336029467,0.443821903,0.382561403,0.445517178,0.5015786,0.257458306,0.409383016,0.382921032,0.420809748,0.370227137,0.359491065,0.425368271,0.291194105,0.363664785,0.444009167,0.393387342,0.464534112,0.40617816,0.275361525,0.511718131,0.583868733,0.483103191,0.451020738,0.46242169,0.293956101,0.303426604,0.413306078,0.346665509,0.26048257,0.282695355
"NUMEX_BILL_MELTON_CA_2019",2,431,17,4,0.439621383,0.4443504,0.35189907,0.439315415,0.393940482,0.427567403,0.484265566,0.257036283,0.408213939,0.403042329,0.440429505,0.388313328,0.393511336,0.422499576,0.316939277,0.379438318,0.436396435,0.399337275,0.436136227,0.409968179,0.478047968,0.521757315,0.576921716,0.468196679,0.468321363,0.465377771,0.318963547,0.286075952,0.417951604,0.36839804,0.275019329,0.283208683
"NUMEX_BILL_MELTON_CA_2019",3,432,17,5,0.440217259,0.439856577,0.36370076,0.436292389,0.403235958,0.410759039,0.486575399,0.250740197,0.422324118,0.42094764,0.438306315,0.411671027,0.370194044,0.411796735,0.330196337,0.367828345,0.447126391,0.402729213,0.428310818,0.410511889,0.45032568,0.535732385,0.581610626,0.48487268,0.466079665,0.475097084,0.26199262,0.305873198,0.433710929,0.360842067,0.262296412,0.277039086
"NUMEX_BILL_MELTON_CA_2019",3,433,17,6,0.456317416,0.444076526,0.339002717,0.4290947,0.349310322,0.456431947,0.460302795,0.261284668,0.402013034,0.379859776,0.435601126,0.406057257,0.31702012,0.391513358,0.297648714,0.360461548,0.447365623,0.399513685,0.440767974,0.406366479,0.421336424,0.551404438,0.605953012,0.501125309,0.470731039,0.473801936,0.264145098,0.309920771,0.410016008,0.317699148,0.226476376,0.243183054
"NUMEX_BILL_MELTON_CA_2019",4,434,17,7,0.456748241,0.439178544,0.361771386,0.446146667,0.400690718,0.39035439,0.471699849,0.266729536,0.426345893,0.42528477,0.449660021,0.414802024,0.423880934,0.414395946,0.311843736,0.37083969,0.446073033,0.393003723,0.428283437,0.405246792,0.416011582,0.555068074,0.581328189,0.494468756,0.469612253,0.478213691,0.265016294,0.297512016,0.433580679,0.353945257,0.269559721,0.275682627
"NUMEX_BILL_MELTON_CA_2019",4,435,17,8,0.440156527,0.438372699,0.360340149,0.438021402,0.372945246,0.393063266,0.45220299,0.38871843,0.408783841,0.420233165,0.453716358,0.416254528,0.433117917,0.414051509,0.302456846,0.354275951,0.446427149,0.410390604,0.436627112,0.415153037,0.348946614,0.55967819,0.577245073,0.488854522,0.477263452,0.472284034,0.262949257,0.314479286,0.433012663,0.331803092,0.233995716,0.252349995
"NM1701PAR",4,436,18,8,0.434162022,0.44409658,0.351986664,0.437047455,0.357481466,0.440458363,0.451574775,0.432087581,0.429000993,0.438189004,0.460828168,0.444487815,0.399404521,0.405338784,0.302137733,0.401149815,0.44462679,0.401115115,0.441579895,0.412151529,0.311888349,0.527052975,0.570592999,0.477016742,0.466341706,0.466362382,0.277425744,0.327834554,0.457170561,0.375698555,0.264090312,0.290935824
"SW_9720",4,437,18,7,0.447800846,0.448875323,0.333463221,0.4344952,0.338269667,0.433856816,0.457892804,0.285324758,0.417416621,0.39335355,0.449388781,0.400079386,0.408688977,0.398519499,0.293812053,0.382508833,0.439603419,0.394770187,0.463595062,0.41974079,0.410156416,0.537531122,0.573196858,0.493165434,0.487698419,0.463814111,0.239104802,0.273920919,0.417899741,0.361859415,0.261968051,0.284641795
"NM1705PAR",3,438,18,6,0.446606186,0.444364388,0.352500551,0.448454358,0.347278015,0.46302403,0.472401912,0.278247958,0.418799622,0.391860534,0.448797747,0.408667318,0.328691388,0.388541046,0.316366663,0.389281144,0.42952177,0.399303922,0.462594996,0.41095556,0.412481053,0.525598213,0.574603902,0.493174729,0.477955297,0.459020883,0.277039567,0.294540703,0.413987469,0.370231135,0.266497839,0.292887788
"NM1713PAR",3,439,18,5,0.452888414,0.457407069,0.334301294,0.424250662,0.351530698,0.437644564,0.462996372,0.239404285,0.413879741,0.392044005,0.432300442,0.402393155,0.360483843,0.427083801,0.32153984,0.394218041,0.444177174,0.424764481,0.456065943,0.433206968,0.461897659,0.535995185,0.575433879,0.482812869,0.472115633,0.46418898,0.271714887,0.291435249,0.406864861,0.405682513,0.30634946,0.321206611
"NUMEX_BILL_MELTON_FG2012",2,440,18,4,0.431303011,0.452520268,0.345544328,0.448894842,0.367127463,0.441840114,0.461123719,0.245033199,0.408963612,0.385444357,0.42708561,0.384865002,0.375914105,0.436181744,0.312451348,0.40313859,0.453867987,0.419151948,0.457012138,0.42187746,0.497106493,0.528094225,0.580352858,0.479143251,0.461685255,0.461500214,0.409418355,0.290625403,0.423170399,0.367983205,0.290372849,0.307515952
"SW_9812",2,441,18,3,0.4459378,0.445434733,0.350435096,0.455836632,0.389782922,0.435131973,0.494615477,0.270827672,0.428132911,0.393689586,0.428921759,0.386927268,0.369703118,0.410291188,0.310089204,0.387459915,0.438113369,0.397873584,0.47934282,0.41074009,0.274635495,0.49597267,0.589612944,0.474441655,0.472918883,0.466082726,0.389954522,0.307108034,0.409128497,0.382143945,0.256917923,0.273154251
"MESQUITE",1,442,18,2,0.438982331,0.471952928,0.355120062,0.462284899,0.403186026,0.459257242,0.481491789,0.276184719,0.414361633,0.381725815,0.433919194,0.409786441,0.489228355,0.421563159,0.326551521,0.387596225,0.430164095,0.423738627,0.472636481,0.423621381,0.243915424,0.495614125,0.585343615,0.465555109,0.475886425,0.461535661,0.382427649,0.278507858,0.413586744,0.378279818,0.271899988,0.310602379
"SW_8888",1,443,18,1,0.47154384,0.476182405,0.373465309,0.482971132,0.41442117,0.441906404,0.486521719,0.268015987,0.408856969,0.363359021,0.423058796,0.409105194,0.625768909,0.435632975,0.364303987,0.378221764,0.437569646,0.440287992,0.473654879,0.430518155,0.278560974,0.505400785,0.579046636,0.468951599,0.475957592,0.452796239,0.347182849,0.25614271,0.409773422,0.355528105,0.267334035,0.308914729
