"Germplasm","Plot","Rep","Row","Range","ndvi_62","ndvi_76","ndvi_90","ndvi_96","ndvi_104","ndvi_114","ndvi_138","ndvi_144","ndvi_150","yld2","ndvi_166","ndvi_174","ndvi_180","yld3","yld4","ndvi_256","ndvi_264","ndvi_270","ndvi_284","ndvi_292","yld5"
"NM170506PAR","348","1","7","1",-0.00528983584775628,-0.000500915174835509,0.037076819286946,0.011231154600225,-0.0193476508930166,0.000327660895349836,-0.0274498459720052,0.0115926366615303,0.0116187614297256,-0.154094639319058,0.00984208828696866,-0.00243930403050229,-0.00783860557380166,0.157795115574065,-0.0587473141409195,0.0775054526955996,0.0202987930998015,0.015660208542477,-0.0424386793821745,-0.00500752046976412,0.773938889987493
"NUMEX_BILL_MELTON_CA_2019","349","1","7","2",0.00813183777870921,0.00191236861373136,0.034611385620251,0.00132403340179256,-0.032295019011565,0.00495233411503842,-0.0199168356393845,0.0245837551829075,0.0269573039204376,0.23818515148236,0.00349566833168789,0.002675049996815,0.000912046301946528,0.721781005057068,0.0944803431202283,0.146037031301811,0.0304311029820195,0.0295414548672493,-0.0519261055319863,-0.0184100331721315,0.802402952260773
"SW_8421S","350","2","7","3",0.00510562843197273,0.000576082999319479,0.0328232380534607,0.00231011934143628,-0.0248276568727514,0.00975261301282942,-0.03113665755467,0.0142185647107087,0.00737238069084235,-0.317722450078958,0.00430876603475795,-0.0134448232426834,-0.00515121382436017,0.191059445189663,0.0183854050395127,0.162022401499115,0.00853117801900145,0.0114224380316234,-0.0733786116755052,-0.0257750452718509,0.37774469216391
"NM1713PAR","351","2","7","4",0.00321785367884835,-0.00312766699867301,0.0370101527690658,-0.00224725207709081,-0.0269297484606529,0.0109423352000704,-0.0188565422416541,0.00573453960494678,0.0115098753107955,-0.161956276283584,0.00341710047286681,-0.00724443302626417,-0.018852730777961,-0.114731953969283,0.0045491878571655,0.188479738189208,0.015219381722303,-0.0238191700490968,-0.0793646853027282,-0.0219936768117516,-0.142552398204136
"SW_9720","352","3","7","5",-0.000973142003716355,-0.0063470844507411,0.0378552480379334,0.00307313454275238,-0.0198486464037828,0.0135296880775034,-0.0135712907839812,-0.00773617577152674,-0.000797971506002497,-0.7486021438038,0.000743844987843805,0.0030776913383027,-0.0230955631438717,-0.474154965439318,-0.179961305564866,0.156184761209587,0.0129564728102997,-0.0115829990478014,-0.0703571973450513,-0.0149182090569172,-0.2209846013333
"AMERISTAND_803T","353","3","7","6",-0.000995969000531455,-0.00514156778850873,0.0352182364220067,-0.0118225799326901,-0.0222746484507943,0.0142350996077419,-0.0288166434758808,-0.00976192379720094,-0.00622822840376463,-0.596909146784704,-0.00507417006263871,-0.0184791606536492,-0.0109738664806942,-0.576127073518147,-0.0931839428169516,0.132743132055182,0.00781399130670329,0.00416511298861465,-0.0639143312959134,-0.00792702104215075,-0.15485453715973
"TMA_990","354","4","7","7",-0.00604865202316607,-0.0104214331714598,0.0328910562542363,-0.0179973021610574,-0.0228048779742057,0.00609839746819995,-0.0331444119988693,-0.0124143719295753,-0.00286548201564472,-0.333041526247398,-0.00848361619742977,-0.00668571365116836,-0.0150153768767837,-0.421242691829492,-0.0594283985443686,0.135140624230931,0.00116295812811096,-0.00373247231508173,-0.0713600199350915,-0.0125299562605385,0.0287653043382017
"NUMEX_BILL_MELTON_FG2011","355","4","7","8",0.0074991099999448,-0.00285714294980298,0.0386906727120189,-0.0178489604932783,-0.0144535726153549,-0.00605560257806262,-0.0671639593792133,-0.0281556146540714,-0.0273070867827836,-1.05986940553761,-0.00239139004822038,-0.0223558172365442,-0.0109264283495904,-1.24107073579295,-0.25780632444867,0.129165141736888,-0.0394048709282722,-0.031239350630556,-0.0596000989075676,-0.010342746574295,-0.441049668452807
"NUMEX_BILL_MELTON_CA_2019","356","4","8","8",-0.00126359246620307,-0.00341414464616583,0.035074720088037,0.023215660997539,-0.0175031883365352,0.00356194902102755,-0.0265669555075887,0.0117291565927061,0.0177870177875532,0.0184617719271895,0.0101212174454295,-0.0109495040154209,0.0030549839945523,0.403127578773049,-0.0420359235581272,0.053559152373589,0.0264218867338084,0.0216225675311926,-0.0345000866836148,0.0147325706798652,1.17654650182786
"NUMEX_BILL_MELTON_CA_2019","357","4","8","7",0.00828486042703606,0.00102144555387213,0.0306834946802831,0.0194909103270615,-0.0267865618795021,0.0148679163020259,-0.0175112941654044,0.0240902023646019,0.0318039860256787,0.47094299581381,0.00478603863539884,0.00832295599345622,0.0109293485696255,0.969307027893553,0.0825758592212536,0.118535511309805,0.0204337784069878,0.0328031070927377,-0.0425652830490876,0.00147941217938845,0.985566457567291
