"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","yld4","yld5","yld6","NDRE_62","NDRE_76","NDRE_90","NDRE_96","NDRE_104","NDRE_110","NDRE_114","NDRE_124","NDRE_130","NDRE_138","NDRE_144","NDRE_150","NDRE_160","NDRE_166","NDRE_174","NDRE_180","NDRE_188","NDRE_194","NDRE_200","NDRE_206","NDRE_216","NDRE_222","NDRE_228","NDRE_236","NDRE_240","NDRE_250","NDRE_256","NDRE_264","NDRE_270","NDRE_278","NDRE_284","NDRE_292"
"NUMEX_BILL_MELTON",3,110,2,6,5.3,5,4.4937223042,4.05,6.35,5.5,0.49631948161806,0.480552966992701,0.351058113933978,0.380189090861374,0.313319568023288,0.4488529868147,0.367791186561841,0.483618396659842,0.40490344369928,0.292964255177311,0.410744614147362,0.389065104762128,0.248475999980533,0.411058029287664,0.299214689171648,0.315101534047015,0.285984951165217,0.386116455696203,0.271139900404606,0.369690206705989,0.307922102476839,0.289477727501257,0.333253824875768,0.249594236703355,0.309497264021888,0.331678254791598,0.28954668346589,0.282983270648895,0.371795881382078,0.304932482230522,0.231731329032367,0.251824481056325
"NUMEX_BILL_MELTON",3,111,2,5,7.55,5.6,4.7881249142,4.45,6.6,5.85,0.54387559968574,0.489529278036875,0.340559933,0.411381277,0.332662746471137,0.418586186651343,0.38227741638741,0.489924717489078,0.412298394882765,0.29596816545302,0.412019942,0.390542488526808,0.296040037850583,0.421668402092795,0.303232829057793,0.31841242688445,0.30953611800386,0.406527175966213,0.269398342670401,0.39511588124931,0.350959157558871,0.323210125811485,0.309401679273457,0.283104087406107,0.317029118088043,0.285340654085274,0.303469914516454,0.305823184742647,0.382682873094428,0.283576377652204,0.21882843031632,0.232032161543219
"NUMEX_BILL_MELTON",2,112,2,4,7.2,5.15,4.1551414542,4,6.2,6.05,0.509228056098825,0.469949325238696,0.341488694021036,0.412049129506245,0.328198117482287,0.431381179,0.382621723196589,0.434951468483621,0.405030033833803,0.296953212179181,0.43194578585582,0.382007610180522,0.360656417444118,0.428917242422714,0.335739064856712,0.302284842743953,0.309101218698742,0.389855944403078,0.256949652370908,0.353010072359006,0.32208786280327,0.316794369029663,0.295119367045064,0.238125374527921,0.279108044236093,0.366308722363242,0.295913172857219,0.298268854546671,0.374220810708557,0.293659118,0.222971410786537,0.244413687043445
"NUMEX_BILL_MELTON",2,113,2,3,8.1,5.15,4.2371084442,4.6,7,5.95,0.525773376421684,0.482043646084469,0.336492942798411,0.391826511431074,0.29880721519377,0.423288904434146,0.426995048758711,0.344065972054301,0.411362378236777,0.303316098643783,0.436408261601478,0.386347015632726,0.357331805348722,0.437338855053848,0.321070445317217,0.308606481992422,0.30495831914238,0.369405807892777,0.284419545596016,0.376121840856418,0.328187359320788,0.297581519072028,0.315137254901961,0.2662966679209,0.310635164918681,0.384470390342849,0.284585487921184,0.293245241769547,0.368669567010054,0.304476117905221,0.241993316180167,0.247252787195094
"NUMEX_BILL_MELTON",1,114,2,2,7.2,4.45,4.7169582174,4.1,6.5,5.85,0.488374571264299,0.470855523795196,0.364501608060034,0.39660791202879,0.28950872694932,0.467956154107856,0.409466519380597,0.326505426323265,0.405234598042512,0.320839854788922,0.438230353,0.373956336247247,0.462076805902306,0.435309148118373,0.347656531300721,0.327767722473605,0.332388561,0.406897592454703,0.270007975412387,0.383297877603523,0.357707635899888,0.317601809954751,0.307421605346258,0.263588743955294,0.296601982739694,0.350633668101387,0.306598244831177,0.294934664070749,0.376902802199185,0.296402466699145,0.23453887135548,0.250934924694516
"NUMEX_BILL_MELTON",1,115,2,1,8.9,4.95,5.2052737314,4.7,7.25,6.2,0.462652992996005,0.467666504274252,0.385391962935147,0.411796413155576,0.310643742791234,0.492454415616321,0.433956470820144,0.329414630564019,0.407364059606042,0.356781354051054,0.455573853473013,0.37409895901771,0.501744190555969,0.433155439794557,0.39368076828622,0.350941397196777,0.355649679226529,0.381101671516047,0.294610382001406,0.401618137209094,0.473583975449112,0.282684846336124,0.282775158502852,0.308567979430578,0.350938100176421,0.353181584078284,0.296700934408352,0.313785584368733,0.399450292586204,0.268684996190024,0.231881567106481,0.249654037550308
"AFX_779",1,116,3,1,9.3,5.3,6.3925766834,5.05,7.8,6.6,0.497069352899722,0.477908227069408,0.446735255893998,0.414416209850177,0.352560240963855,0.487570651110306,0.419994975321096,0.386070742542764,0.412730554945684,0.382648379217007,0.450410366258117,0.409211953494644,0.494925896139706,0.422253403857887,0.367740850093791,0.378763076802292,0.336290527941382,0.353584909406801,0.303554214514491,0.426009270499945,0.461019630361476,0.283067428626369,0.275988795518207,0.357472206649248,0.363823496444742,0.396448987952256,0.316477937895372,0.331086412188332,0.410333209743201,0.305025420658813,0.247435726427323,0.255107065844241
"NM1703PAR",1,117,3,2,7.45,3.9,4.9663417054,4.55,7.15,5.85,0.515145011116126,0.45925469221505,0.418314522356326,0.403313518815591,0.344099007124217,0.440658850082564,0.410962797942309,0.465463722713896,0.411925712001711,0.310161248116366,0.429871273541619,0.412639270798522,0.428391772395233,0.447774748610423,0.330021786492375,0.334226765730034,0.279415937453565,0.335957905187391,0.298966697790227,0.399409010091904,0.304174721965253,0.279340170940171,0.300551173777876,0.309769543494434,0.302083884563491,0.388778839170996,0.333707116045883,0.314646306233499,0.405624443816842,0.268538967933744,0.220868220591404,0.245493180781826
"SW_1011",2,118,3,3,7.65,5.4,4.9954860002,5,7.55,5.7,0.563622185447069,0.465968746102532,0.402064800025387,0.391814293442642,0.382658798813643,0.444331297182283,0.403315195296619,0.442950918014424,0.408485504859626,0.327623256,0.424451873206704,0.410156093810073,0.291081303615196,0.421080236017954,0.320634920634921,0.282703759566505,0.280245734657499,0.351849491188881,0.289372860255213,0.378758261551513,0.298613659871209,0.284887598925565,0.288177816944506,0.291554276808727,0.29629310619836,0.402832988846061,0.331802610836566,0.31322671091783,0.391163842900822,0.247060155979997,0.215739508473072,0.213047322935995
"NM1715PAR",2,119,3,4,4.35,3.15,3.1800087862,2.6,5.05,4.4,0.496326585909052,0.474655253196345,0.428584302304832,0.405706023416561,0.438494809688581,0.423162978267905,0.373967803511756,0.437245767037974,0.436262781502686,0.315907167284769,0.409673271017809,0.403222502995018,0.313143599,0.444875252032327,0.333756165128714,0.28764165875277,0.284240855067242,0.417717731,0.285679829700805,0.358173306846191,0.31389388979059,0.346903167420815,0.356079019,0.263568937735137,0.286152814394721,0.462155035610574,0.325035042129302,0.307236633079158,0.379408348705336,0.298314777174408,0.232093488979302,0.283993206
