"Germplasm","Plot","Rep","Row","Range","ndvi_62","ndvi_76","ndvi_90","ndvi_104","ndvi_114","yld1","ndvi_124","ndvi_130","ndvi_138","ndvi_144","ndvi_150","yld2","ndvi_166","ndvi_174","yld3","ndvi_194","ndvi_200","ndvi_206","yld4","ndvi_222","ndvi_236","ndvi_240","yld5","ndvi_256","ndvi_264","ndvi_270","ndvi_284","ndvi_292","yld6"
"NUMEX_BILL_MELTON_FG2012","167","2","9","4",-0.458802714718209,-0.367944631133108,0.665882025025163,-0.448538873364613,-0.767314293936961,-0.682220941222283,0.747457000751913,-0.816653806510989,-0.00784800217252806,-0.546037851594178,-0.212247674291533,-0.207417980690252,0.0541802864921648,-0.455298359265074,-0.186975191927738,0.25474052168868,-0.311930744769074,0.536858258784328,0.344248088995498,1.16001222648368,-0.654212065815484,0.21601665527863,-0.263215936314285,0.733559335697479,-0.24236552069147,-0.0691305183351133,-0.687729082525003,-0.0596622483417221,0.0778781268393281
"NM1702PAR","168","3","9","5",-0.362736298209917,0.365660989666393,1.14957382505308,-0.463853945347833,-0.774432024996861,-1.10364203584446,0.911618867431497,-0.963631861231427,-0.162018136713687,-0.85385412515833,-0.568990340384287,-0.782487254021266,-0.0758319104123693,-0.32311180277881,-0.601987760945165,0.622515707368799,-0.351605358818983,0.205928906672329,0.0516882209971204,1.54420978761523,-0.760723910505521,0.0832410100946939,-0.587075604094093,0.787089544954537,-0.227653099057201,-0.1100424828948,-0.646738896191593,-0.191536350820888,0.118385473235739
"AFX_779","169","3","9","6",-0.451316829586388,-0.914952987994004,0.876885449212988,0.00523525588135355,-0.0944131007284809,-0.610699293004413,0.501379525846842,-0.369956264117091,0.0954348193073799,-0.282486961447934,-0.170644242789833,-0.318773414478111,-0.121335251602645,0.118385011088063,-0.00454463887588186,0.82031841321932,-0.294270835500469,0.254895368638077,0.275152408405559,2.25852169234694,-0.65928619508198,0.0759310325636453,0.00218846565415053,0.945643376212089,-0.0774750987247483,-0.160163270938032,-0.632918019881671,-0.124599896088866,0.509532927587624
"SW_8421S","170","4","9","7",0.114123042193211,0.69825837672012,1.08302364141358,0.549499428130664,0.308693866313653,0.143445726264909,0.6765233269663,-0.00462059542542894,0.569635921305935,0.0762808458631099,0.0897720262805584,0.359242269807744,-0.149508061759149,0.908503171259845,0.57396222047288,0.730932376823772,0.108298137545568,0.513832748780941,0.674585171155897,1.69786469841239,-0.526809180563434,0.13634072331195,0.56736086645444,0.994518438828764,0.0237129900963076,0.161815415233913,-0.649732361996909,-0.280446466871023,0.774829782780795
"SW_8888","171","4","9","8",0.437755903010553,-0.17684467304091,1.104905557583,0.760581864725841,0.545096065163036,0.352960310582737,0.747722631003838,0.123696593768174,0.444470045586503,0.104392566990808,0.522130746914737,0.531834561349402,-0.944594961196014,0.814803720374564,0.683140063437544,0.312859177568796,-0.173665028504578,0.519386340327518,0.740308807021345,0.602329442360991,-0.469401242685546,0.0532699756946896,0.428763584072124,0.903782018760846,0.0533657225493565,-0.169102268902486,-0.928416897782783,-0.740066908649032,0.443739793641054
"NM1703PAR","172","4","10","8",-0.163252067525841,-1.75338636983955,0.23450167816693,-0.517163946252489,-0.887085250199107,-0.935130893946595,0.0019115573404582,-1.39313028279926,-0.93924522637877,-0.361564155410564,-0.213833739218573,-0.165790049268543,-0.626046625942259,0.447500632847665,-0.513234249731594,0.215846027132629,-0.296154177930518,-0.468494215375959,-0.275836033982647,1.42129750747622,-0.705234542214784,0.473977515319407,-0.366599689524561,0.645758919518873,0.31853285615655,0.882784074777036,-0.385806417050647,-0.260045338083396,-0.436765537210886
"SW_9813","173","4","10","7",0.0632670584895047,-1.96045589354366,0.0248332495810013,-0.37478944324966,-0.885361332308801,-0.927113848674727,0.0797955209708332,-1.30367849950585,-1.18103657109057,-0.368690576574009,-0.426329685479856,-0.287039239619923,-0.705370854961744,-0.75815882812891,-0.38315669195147,0.24280337718753,-0.357944564273233,-0.279608957967789,-0.0253530496684848,0.165261141162597,-1.04486134667931,-0.0957094606762148,-0.270223703467316,0.639928723974458,0.354014018576396,0.213873468066744,-0.865147014396447,-1.42875829537707,-0.480847692892975
"TMA_990","174","3","10","6",0.155326339238641,-2.87767249784382,0.00941655279388528,-0.311999797478822,-0.737409943425808,-0.53150077141131,0.378512412770417,-1.26528244267321,-0.420291286089573,-0.113981892265337,0.0392735731048041,0.133276889038106,-0.546042613923465,0.0822178743494937,0.150121669718495,0.602008575148434,-0.349071436517967,0.00306000888470194,0.270682517592604,0.55376792755961,-0.898423073319634,0.0158124210261819,-0.0883630408280698,0.551810852667696,0.419938172813492,0.393923601686159,-0.682926800292915,-0.738954839608223,-0.364367086119332
"NM1704PAR","175","3","10","5",-0.313593858084572,-1.11078028231871,0.116475842705526,-0.685186603077805,-0.931799370536083,-0.75493501742285,0.870595759681297,-1.48503232774299,-0.267606131630441,-0.494323689907648,-0.19038428941486,-0.300777946502027,-0.0913107156188148,-0.16502797924154,-0.342984794992143,0.430804862709459,-0.572811700492708,-0.0405999755934959,0.0725129425032345,0.804772891712312,-0.91599752996836,-0.012890312757335,-0.521700025983141,0.435062269476667,0.550316863315605,0.000711225776944626,-0.685211481361699,-0.483385433447606,-0.0644023065047773
"MESQUITE","176","2","10","4",-0.338758796735121,0.258522785225528,0.481636917019761,-0.506187160982709,-0.555079683362145,-0.881372337449645,1.10500957655377,-1.50928660886721,-0.321702133207878,-0.611031814697479,-0.272207046069173,-0.666979986239574,0.178097588372954,-0.0442247864136584,-0.592229874370686,0.805980945138575,-0.405693961105477,-0.231735818036147,-0.0407064612798131,1.10200402942975,-0.974241579679908,-0.083707593224969,-0.602456640495733,0.470807501221635,0.680895571200296,0.0992593012139637,-0.575859698879073,-0.211666546565561,0.178963207105192
"TMA_990","177","2","10","3",-0.497743531351665,-1.47167060321437,0.0430801156891858,0.0944362559374384,0.345620525284924,-0.0897003486014345,0.809586965346136,-0.719741553595641,0.0139214628754178,0.105275035203889,0.051248045553402,-0.123487856870427,0.468238727961959,0.25000031732073,0.18025017591598,1.09381567989678,-0.131132963169585,-0.10377932636113,0.364558839719255,2.07676232868745,-0.830566535246728,-0.018314497771353,0.254470722683999,0.615268837294699,0.927126549459127,0.336924261546661,-0.459119930234888,-0.0883413345130818,0.764858563219796
"AMERISTAND_803T","178","1","10","2",-0.00287097757002518,0.856385647865364,0.248207673592653,0.695958950017334,0.723028261103576,0.740579966909476,0.746875910976632,-0.394683838267683,0.437111116737459,0.502039577447758,0.436982040717337,0.695073728264278,0.586045144629015,0.863463411773461,0.946253457634917,0.985402668739318,0.211368225285253,0.154752882481126,0.893670404387292,1.4910060869957,-0.718753402753876,0.0470390472441087,0.95759202450108,0.657576933539879,1.05506651311967,0.743341593444556,-0.446302957290577,-0.256760030122623,1.14440408472833
"NUMEX_BILL_MELTON_FG2012","179","1","10","1",0.362839022265745,0.364560480422493,0.357144613773976,0.747867276668527,0.732126515809752,0.758228072082991,0.753996273992065,-0.248506605901835,0.295615932709451,0.497687422053245,0.803535416964778,0.835673423600261,-0.124882234910258,0.816800871900503,1.08637348857278,0.599863255348565,-0.0712208960871957,0.234934554326969,0.999810195841852,0.394027302349723,-0.691552510383702,-0.041810951000601,0.869605822128089,0.612679286777697,1.03385528913723,0.454354940761789,-0.68303769121456,-0.676511023998791,0.884624363485829
"NUMEX_BILL_MELTON_CA_2019","180","1","11","1",-0.289205910198269,-1.40257890132072,0.261905029705991,-0.166385386324061,-0.749522231301922,-0.477985656314397,0.618322757583515,-0.762831700598562,-0.865004829432252,-0.202665610816222,0.000962980004446654,0.0266459201751229,-1.58160501646242,-0.285270920171302,-0.45692504761345,0.0876028914437824,-0.626199600673167,-0.962541048688647,-0.437229457965959,-0.311541591881848,-0.818383492964709,0.249514723950042,-0.338034446540276,0.357496865604921,-0.190389330539771,0.929755925835405,-0.191737653059468,0.108411520919048,-0.507958272574908
"NUMEX_BILL_MELTON_CA_2019","181","1","11","2",-0.290274601679728,-0.81110251606772,0.166017736581283,0.134688057201862,-0.813931310632595,-0.443509146609695,0.595274679603675,-0.554278474743121,-0.950942908394326,-0.168516473600299,-0.324262497957941,-0.0135367938932512,-1.97459748722724,-1.0485629888661,-0.304186516875084,0.183378793180542,-0.606911954748414,-0.721876789479062,-0.128421450112799,-0.551946504927597,-1.16988914916631,-0.33006277699845,-0.171196184873811,0.3435746020473,-0.107297934434385,0.257648814937558,-0.70124412960202,-1.22533369826601,-0.508336671819875
"NUMEX_BILL_MELTON_CA_2019","182","2","11","3",-0.244827652660064,-1.42364737280817,0.279774936296108,0.0388975699662151,-0.753903412688265,-0.394739864050996,0.889141849462415,-0.57368708765077,-0.3042771491428,-0.0712541623342104,-0.303350837648176,-0.0299031251306292,-1.79806122542321,-0.409091073020178,-0.110964483324874,0.569194236997082,-0.578735085015995,-0.58183903246997,-0.0399760402202776,-0.0597107292919529,-1.0438735569945,-0.24666063620215,-0.117030014923748,0.273954669260855,-0.00603761186404514,0.326553887410128,-0.625026501156428,-0.914529215915157,-0.536528074942909
"NUMEX_BILL_MELTON_CA_2019","183","2","11","4",-0.592548150124125,-0.422867035808034,0.297254184179558,-0.6243894985802,-0.958540950458829,-0.713503868859298,1.33005779096541,-0.898403339774056,-0.218516965989544,-0.561945393816714,-0.665084897316086,-0.521557574051864,-1.12114360448631,-0.695260908525676,-0.698489695301583,0.407614394715465,-0.781788479027289,-0.71639753344671,-0.323387419689152,0.127758633476669,-1.07752708256686,-0.30336294456103,-0.54615221470165,0.159603780052689,0.128684358215165,-0.00798063149559636,-0.701318909006031,-0.778165152624722,-0.222025928377271
"NUMEX_BILL_MELTON_CA_2019","184","3","11","5",-0.65158514499582,1.05194641717908,0.68673496355231,-0.4463463260995,-0.468683071955267,-0.776985078090169,1.53234506654201,-0.952397333100296,-0.212552823324206,-0.523915440763946,-0.546173721236149,-0.734382449850925,-0.546624505307469,-0.412343036279215,-0.749028130253285,0.806233746816588,-0.450567412059037,-0.726489030401262,-0.348616053351685,0.868050816810712,-1.04216523038958,-0.323743283809175,-0.47542998039926,0.20586100761304,0.284866640681358,0.231041094743129,-0.443501371838928,0.0336898010806947,0.0836275644789385
"NUMEX_BILL_MELTON_CA_2019","185","3","11","6",-0.853525685710803,-0.181823810508689,0.589331141510853,0.115784039644464,0.421178316818172,0.0582082707558518,1.32241568021715,-0.120012109745157,0.197117669908625,0.252674350196282,-0.134658440656717,-0.181455386945913,0.0859578633120264,0.266391294476033,0.193715175332933,1.21243302081411,0.0613488486380982,-0.395784961268748,0.165079494898099,2.00202189326042,-0.812422027070368,-0.190604778201639,0.501459124470979,0.364322807590691,0.535593696331424,0.719996006923588,-0.213951374244583,0.250089362198229,0.746468814003875
"NUMEX_BILL_MELTON_CA_2019","186","4","11","7",-0.49932208496367,1.27636184070518,0.883835617155062,0.467578541398132,0.62482685882668,0.704535377367721,1.06184359008466,0.00518355928595217,0.436263776465898,0.611849786055323,0.349118956758479,0.633738037110438,0.221776540004292,0.878888892473535,0.965109962777341,1.11932198922963,0.424781027657886,-0.0770093330184795,0.688832058251653,1.39223266998782,-0.676895197788688,-0.129024812189737,1.18022445553918,0.40985059872035,0.687644491274226,1.2927305857869,-0.182852424707565,0.0889681217759166,1.09296761521304
"NUMEX_BILL_MELTON_CA_2019","187","4","11","8",-0.146133065072602,0.604152491332124,0.898196978586325,0.395946487301954,0.293078304068958,0.415602214424475,1.05800623418066,0.00274301821430651,0.181151466767372,0.539237481608105,0.60688543063945,0.661317380340907,-0.550435972896338,0.994018338324611,1.02919907438534,0.769994013409856,0.21333977464955,0.127850618782781,0.76000313445791,0.620185716107034,-0.610975882615271,-0.211597889479648,1.01261716655991,0.411890698426638,0.670679619901211,0.938936560001234,-0.434470911679284,-0.425452241135614,0.810720321078093
