"Germplasm","Rep","Plot","Row","Range","NDRE_125","NDRE_136","NDRE_144","NDRE_150","NDRE_152","NDRE_156","NDRE_164","NDRE_166","NDRE_172","NDRE_177","NDRE_179","NDRE_186","NDRE_192","NDRE_195","NDRE_198","NDRE_213","NDRE_223","NDRE_228","NDRE_244","NDRE_248","NDRE_251","NDRE_255","NDRE_263","NDRE_274","NDRE_278","NDRE_300","NDRE_305"
"SEEDWAY_9558_SBR",2,2122060,2,46,0.328454715219421,0.289750947515988,0.345210264440684,0.447725063119418,0.464051720913786,0.257377535629636,0.41932539157371,0.318308894565282,0.267983660130719,0.283377632991523,0.284186365014252,0.385105283988382,0.360869107245369,0.387073761656187,0.28301993142213,0.387969309462916,0.277080790822553,0.323549402139711,0.24789663613193,0.23186639914606,0.307787041438108,0.168495575221239,0.210413170272333,0.145777742013358,0.226124168735908,0.169816621567586,0.400715512568015
"GUARDSMAN_II",2,2122070,2,45,0.344600651708495,0.30007906725737,0.354887648490053,0.471851828966881,0.458105787832733,0.269841894394324,0.377000110087703,0.297389027589194,0.292215795206972,0.300390669542153,0.284146854798875,0.396323501461253,0.329718633270901,0.343418017201605,0.326432482903071,0.374357325538911,0.290012687815959,0.329634428416496,0.260361787812768,0.263093214918773,0.302894287219146,0.20290077092784,0.255262973454801,0.154949235721843,0.262073664982733,0.186025901718712,0.427175885279485
"WL_349HQ",2,2122080,2,44,0.352887138636931,0.31096868906795,0.333085814832588,0.487139716873296,0.454862317641543,0.278789546587866,0.32525985607971,0.298257593309562,0.339046697626419,0.362901266701371,0.327628377040142,0.425979243080261,0.298514012221514,0.348617395676219,0.352146320332764,0.358977455716586,0.306766611044686,0.320055530984324,0.241890630125924,0.263851834667285,0.286134056155766,0.227182987255866,0.240587228587412,0.152058783200652,0.282179671965827,0.201376906318083,0.434777004846209
"SEEDWAY_9558_SBR",2,2122090,2,43,0.365451668883041,0.31146898578054,0.376941956831394,0.472854253809147,0.455221782883271,0.306902123168108,0.380893960388756,0.326686274509804,0.290515904139434,0.306891743481534,0.321081274991032,0.410869842292031,0.333542420459992,0.333661694342809,0.305751633986928,0.377861690130598,0.286589836113878,0.316113366540938,0.261582438053026,0.230403642723764,0.309985380116959,0.242095138940532,0.214937488610834,0.151017810681044,0.269833781350661,0.214801193579459,0.422890682943361
"VERNAL",2,2122100,2,42,0.33471844966943,0.273041997682367,0.326001229173507,0.440944090640741,0.444425061286932,0.276861636962477,0.403762205100859,0.340919138593533,0.254100984692122,0.262532854551512,0.282220188102541,0.413021360899246,0.356629419171878,0.358980591600912,0.263262302525482,0.362137097263148,0.324584677428222,0.295909514074842,0.250477062241768,0.220429821389175,0.319900670794634,0.278024080822103,0.199660140913453,0.176188414970292,0.263693975892152,0.186576187508756,0.475395327285143
"SW5606",2,2122110,2,41,0.408213554782182,0.33182417246135,0.388164840145304,0.487084950572157,0.450085776150653,0.26806254274285,0.328601112626612,0.34537534249242,0.376209694989107,0.404189782107533,0.378195992526255,0.421109568242852,0.282667216913749,0.352696857509692,0.379858682211623,0.413503583251482,0.365977673008491,0.307776749466306,0.241454288513112,0.204488056799408,0.236261609907121,0.211144988969039,0.201564728055387,0.172897460094692,0.250595917648962,0.174638559022983,0.458553751969029
"REGEN",2,2122120,2,40,0.359582519876638,0.295261241478559,0.340337349194723,0.420621773373026,0.441908832199431,0.272638778588358,0.333518525314056,0.291270092222774,0.283745533769063,0.316487940308867,0.288057556467142,0.393504040153333,0.355279054947254,0.32731386260798,0.332151748109411,0.416581177925716,0.354711444551017,0.310646237052326,0.293871016420036,0.284113626811396,0.271912696067726,0.25765081843947,0.207205598818458,0.214520907773503,0.241925797490272,0.167945134861456,0.429629156407032
"BORDER",1,2122121,2,39,0.365903785756727,0.319081100292374,0.37735225237636,0.468112745098039,0.460623672816525,0.29166065534352,0.321332102970938,0.319487538872586,0.319826496388029,0.372268167178766,0.339510985116938,0.38298462274635,0.353467085700983,0.365197844342229,0.482090998561587,0.300871459694989,0.385242552779775,0.371376744530411,0.394506500388853,0.380245228818821,0.258051034346912,0.25547804962693,0.256493190787262,0.249491802274537,0.378246211148215,0.198477119352299,0.3158140669203
"BORDER",1,2122122,2,38,0.380566519537108,0.333828500974426,0.392788734051426,0.460405162064826,0.447385564248241,0.254671837965956,0.333160495639304,0.316188455614602,0.341519934640523,0.411639334147756,0.361004641004641,0.402922505528611,0.323686549633345,0.370466906830543,0.467669239641558,0.358527828522713,0.431361994164044,0.390870307986141,0.429392264686382,0.409892549750562,0.253006692958904,0.260790097750014,0.252638017577864,0.261108339368579,0.418514237330061,0.233859887292102,0.268458125174543
"BORDER",1,2122123,2,37,0.379573937983217,0.312996985729997,0.428825264167598,0.486860521048303,0.428052009705965,0.260964497281633,0.320726861382354,0.313390760126339,0.338840740740741,0.386759885861916,0.370789694726619,0.387168491400311,0.328909323600512,0.370557957850387,0.454639008756656,0.365013274875167,0.446995494396031,0.394384432186972,0.447878283172401,0.418672598374694,0.26077528379773,0.261579534468655,0.267674902546968,0.247351887211413,0.411071272274072,0.256816471815643,0.282601965819959
