"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","GNDVI_125","GNDVI_142","GNDVI_145","GNDVI_150","GNDVI_152","GNDVI_156","GNDVI_164","GNDVI_166","GNDVI_172","GNDVI_178","GNDVI_184","GNDVI_187","GNDVI_193","GNDVI_198","GNDVI_213","GNDVI_223","GNDVI_228","GNDVI_251","GNDVI_255","GNDVI_265","GNDVI_277","GNDVI_300","GNDVI_306"
"NY2003",2,233,2,36,NA,1.18,0.74,NA,0.167421571647767,0.295248687874467,0.304753068563929,0.267905807112608,0.272090868002721,0.240737740136648,-0.0130745521671497,-0.0909195818242575,0.0462256042112675,0.154667683219718,0.215230191730502,0.234766774990121,0.228586688442238,0.292385813642752,0.0956666725135631,0.174516609151282,0.165012327821578,-0.00309353347530479,-0.0549168980027721,0.0928873553825913,0.142106993561884,0.116511317594811,0.476126857939971
"NY0651",2,234,2,37,NA,1.91,1.18,NA,0.176050413731505,0.29105510896655,0.300622806791389,0.263255947962418,0.263554909574577,0.228268231452119,-0.00874885395873019,-0.0803403837070277,0.116850673531816,0.210378282889621,0.227532657562188,0.236669968423508,0.208353574024492,0.268665316393177,0.139756296694978,0.197201889702741,0.163817196785323,-0.0335420626825887,-0.0663374606360295,0.166146704438217,0.212193514330182,0.145880117128569,0.506952082513138
"NY1517",2,235,2,38,2.54,1.4,1.05,4.99,0.176481807020492,0.301520373631648,0.305822326235924,0.258387331569515,0.256136925777957,0.228028683051455,-0.0133558227172748,-0.0915658771300795,0.0685666374008876,0.185429848428673,0.222670797261502,0.216633126938412,0.198540260405185,0.301069518116948,0.106023899060548,0.187346175981875,0.165930250436183,-0.0302850198317417,-0.0913193187728005,0.125671452100666,0.190567341317946,0.142300695650452,0.504668906140183
"SW3407",2,236,2,39,2.64,1.8,1.33,5.76,0.197411945019511,0.319833235086903,0.317196743450827,0.271744535123113,0.278458328390764,0.249330859748461,-0.00807561416082007,-0.0639468866275285,0.14772893561136,0.252658110649729,0.252798233092948,0.24794467490314,0.218983359360519,0.294537967383228,0.168381333471831,0.220817488568209,0.195250173636386,-0.0264289495935012,-0.0522746449152835,0.195863030797969,0.239685774613059,0.170645234868834,0.511610737876667
"ALFABAR",2,237,2,40,2.59,1.61,1.04,5.24,0.168795459076702,0.287532454278881,0.294433735287017,0.263874534930353,0.267608307419452,0.230001007289984,-0.0204351221450609,-0.0835176781210553,0.101190405571311,0.214722040354361,0.229851072096636,0.223763876199967,0.185866945628195,0.282885809984273,0.134226188968008,0.184457900479199,0.163362378288663,-0.0240951287338743,-0.0665309476312168,0.128656567256841,0.196781556859935,0.168744439342323,0.497270504452029
"SW5210",2,238,2,41,2.74,1.82,1.1,5.66,0.209087319264698,0.32135917011653,0.318920366018619,0.281431608092282,0.283284565800642,0.253771604411236,-0.0235183007626707,-0.0795053895648892,0.136994339653217,0.253212091662456,0.255573113457484,0.247092660044235,0.220685096193435,0.294359139205414,0.158482298199735,0.219245696010524,0.191931083616039,-0.023481809790758,-0.0424094142995843,0.161745892541176,0.22106608293082,0.183625737232284,0.506061741098055
"SEEDWAY_9558_SBR",2,239,2,42,2.66,1.61,1.07,5.34,0.18011529232527,0.304417929614889,0.305440777476707,0.264989875477174,0.259799781861508,0.21781702170894,-0.0344561740833918,-0.0931490807528338,0.101021768888703,0.223055475006089,0.236884677108996,0.221587133491995,0.209331533078778,0.293910879018935,0.128309993652039,0.195106228218702,0.169787972021707,-0.0399144594612002,-0.0791042662532716,0.122910944870135,0.196910746294382,0.184150140989753,0.501048205052264
"WL_349HQ",2,240,2,43,2.66,2.01,1.32,5.99,0.186340241986964,0.309153918078467,0.312444236091098,0.265353904115505,0.266523027971211,0.21836488027134,-0.0233858592597689,-0.0542128381599974,0.184039771714674,0.269302948217068,0.258895882322015,0.245544901127852,0.216757569280474,0.276209306733433,0.184178111207744,0.228184652466111,0.186388682416972,-0.0390583343124548,-0.0272456346014281,0.168431478812882,0.228946188657424,0.200333690153165,0.508442762518178
"ALGONQUIN",2,241,2,44,2.59,1.38,0.78,4.75,0.191703669754544,0.317347062897214,0.322156645681422,0.261431336736807,0.266750447636323,0.230097911686575,-0.0724625348839265,-0.127396722967875,0.0770040409060337,0.193397282682367,0.220110670540162,0.210241066193488,0.223527416125414,0.299945910469955,0.104115395783615,0.175076790516568,0.155676180762588,-0.0383988198092685,-0.0600689381976701,0.0739017021822478,0.141960879696511,0.160484819268217,0.480178957733742
"PLUSS_III",2,242,2,45,2.53,1.83,1.05,5.4,0.196217160606048,0.306523444420052,0.31103040815727,0.270538162386342,0.272613539843667,0.241315995356843,-0.0735071772383206,-0.110408171301415,0.150995789499912,0.250893142411982,0.250311822684124,0.247446718358949,0.26050218580805,0.300870942415343,0.156306329696042,0.229222703814109,0.183973924135469,-0.0350816115355659,-0.0278170124203228,0.163578762056381,0.219111119061101,0.204327109085847,0.514891919518911
