"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","NDRE_125","NDRE_136","NDRE_144","NDRE_150","NDRE_152","NDRE_156","NDRE_164","NDRE_166","NDRE_172","NDRE_177","NDRE_179","NDRE_186","NDRE_192","NDRE_195","NDRE_198","NDRE_213","NDRE_223","NDRE_228","NDRE_244","NDRE_248","NDRE_251","NDRE_255","NDRE_263","NDRE_274","NDRE_278","NDRE_300","NDRE_305"
"ONEIDA_ULTRA",1,148,1,1,2.2,1.39,0.73,4.32,0.41816425223288,0.340709723713691,0.32446184069735,0.554389720013566,0.466345935982201,0.482406534950619,0.302967526884055,0.296461029357122,0.247347930283224,0.275226495884697,0.267981992687875,0.340684094369873,0.3319661809678,0.376548288312994,0.326344159285336,0.444608388810069,0.335907398733857,0.365166565892142,0.423896470955294,0.317120301316211,0.238969464177897,0.24018244465928,0.363031818303457,0.168852900941498,0.325328462292243,0.20339304673356,0.422901147923097
"EZRA",2,213,2,36,1.9,1.79,0.92,4.61,0.320038739401484,0.269087651964099,0.382277938497804,0.433072314127445,0.421629900186203,0.260623387816665,0.354315560285249,0.285679119922635,0.265801191090471,0.3453974864282,0.308085197496962,0.382235549026316,0.321761743013449,0.354151968055711,0.490865156283434,0.284751674582877,0.386966937769077,0.352863777089783,0.460651484180896,0.437298307622123,0.282437650498796,0.277121538881039,0.29378275779019,0.243102168880716,0.384544790745022,0.258344710723796,0.259931226221832
"NY0465",2,214,2,35,1.69,1.78,0.87,4.34,0.330811735468598,0.293553954712379,0.329986955316431,0.407037218474834,0.403870908515999,0.266091952946173,0.350725329802257,0.28934170512318,0.276089651416122,0.330012146451501,0.293208240920659,0.397149047781959,0.339261716559263,0.367375939568453,0.492376410023469,0.289985629034222,0.383337494032681,0.362858617131063,0.432488281507889,0.409019059627579,0.292294891640867,0.296808182466694,0.286492417204745,0.20079165355982,0.381892475573441,0.217296265611096,0.27528518590854
"SW3407",2,215,2,34,1.84,1.64,0.73,4.21,0.380813621744994,0.352541760548269,0.356064067962952,0.480505457788497,0.43341032146567,0.248430466947091,0.319533105818747,0.295375683159836,0.361601198257081,0.427660262342823,0.361659042587462,0.42141097414118,0.323370150606251,0.336629146254815,0.464631608299428,0.384104348810231,0.470861781967469,0.434217749752862,0.434981199687082,0.399222145649815,0.302206149985655,0.276244515505317,0.284115952223484,0.208784667633107,0.417575348916859,0.20420630823767,0.293655240977453
"PLUSS_III",2,216,2,33,1.86,1.72,0.77,4.35,0.353520263324185,0.318845454003102,0.318333459618283,0.425551745361822,0.429339797880889,0.268338350724905,0.318206387050792,0.292947947342627,0.33765479876161,0.394332111699305,0.331119140530905,0.393027577093102,0.368385659714506,0.333737207533999,0.494508868730322,0.389609904567888,0.432192749254014,0.43023828033416,0.418229535876595,0.408892056356559,0.277909381704199,0.290698324560896,0.311062304950576,0.245517689976127,0.402475002616282,0.236582610309044,0.290946249146425
"NY1517",2,217,2,32,2.05,1.87,0.87,4.79,0.359354752001811,0.341052181521696,0.352989139694807,0.433177270908363,0.426314112774769,0.255239219433593,0.355879472138965,0.273989264109714,0.28412440087146,0.37183857613842,0.322695356589758,0.41081036360262,0.352338550098939,0.365624440293734,0.503202910123325,0.299000084882438,0.370111634957543,0.409822156958721,0.434738940621294,0.418432418785865,0.329712762297902,0.296641134329838,0.282605000146546,0.226307794473884,0.393777649342124,0.213201404018397,0.312817714046862
"NY1614",2,218,2,31,2.01,2.14,0.86,5.01,0.323999566156429,0.290034635605268,0.327058402579581,0.400129630327467,0.423881034356457,0.280097885307969,0.342414035544718,0.279123711215022,0.27340871459695,0.358284623583947,0.324770545947017,0.380059843909434,0.254911967472995,0.349400629079773,0.424829327597494,0.29254562431033,0.326204960429559,0.361294412501843,0.387410048194362,0.380200817620927,0.287853887168903,0.256109375903754,0.303010817636992,0.247866658753402,0.352853174263398,0.234667034889073,0.29408978100813
"NY2003",2,219,2,30,1.29,1.39,0.63,3.31,0.299799868731103,0.236976577311114,0.353755103014442,0.416183190765095,0.394659788674368,0.264873824669221,0.336085036634741,0.285821422140462,0.272198142414861,0.356597852062998,0.341710370895346,0.345178536690078,0.324897622297705,0.388594708915565,0.521315639377923,0.288625989526245,0.361950185479597,0.351310068814604,0.355839567604273,0.379004300943205,0.259077657378741,0.275624798592003,0.298804312782499,0.211417746305088,0.365155763906727,0.20737959341633,0.297759034986544
"ONEIDA_VR",2,220,2,29,1.63,2.07,0.99,4.69,0.327036117477294,0.279645546659156,0.28939324291331,0.33713783271156,0.418739256133771,0.268574999230461,0.28499435278164,0.26242617733759,0.271792265795207,0.35888201976826,0.307078102067209,0.332948734289017,0.301759203411532,0.34455496968866,0.487302181073807,0.279417921758075,0.388679037836958,0.377411369834277,0.449981073510485,0.422232532962147,0.345967738482159,0.310048778606821,0.289288768084084,0.216062369411492,0.391223920426977,0.21991133235753,0.298330166460105
"WL_349HQ",2,221,2,28,1.37,1.96,0.83,4.16,0.31832069528148,0.286127020111628,0.30151224723466,0.394411428512318,0.426016517236338,0.275381679985261,0.349980673492104,0.301991152380535,0.34288137254902,0.442567115341712,0.341657754010695,0.296728808729305,0.356212837001575,0.357742376458954,0.512792121373436,0.374690537084399,0.457596087666871,0.435800389661494,0.424993519111166,0.423000383750891,0.329065340921256,0.300614263404477,0.303402796096017,0.255609461664825,0.41775278039406,0.216201049433858,0.321533460251634
