"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","GNDVI_125","GNDVI_136","GNDVI_144","GNDVI_150","GNDVI_152","GNDVI_156","GNDVI_164","GNDVI_166","GNDVI_172","GNDVI_177","GNDVI_179","GNDVI_186","GNDVI_192","GNDVI_195","GNDVI_198","GNDVI_213","GNDVI_223","GNDVI_228","GNDVI_244","GNDVI_248","GNDVI_251","GNDVI_255","GNDVI_263","GNDVI_274","GNDVI_278","GNDVI_300","GNDVI_305"
"GUARDSMAN_II",1,133,1,16,1.9,1.56,0.58,4.04,0.276056042826972,0.202551084423514,0.191106548216559,0.353098861153166,0.0397754300203195,0.0866836560124812,0.0904162122729314,0.107542472540359,0.162778261399701,0.195700090093984,0.161513489974069,0.21989756966096,0.259229759290668,0.22602276315196,0.228526531679929,0.0575051959576331,0.154669514756062,0.15850682277686,0.205431660041373,0.197476746496212,0.132912811018256,0.184696148694456,0.0166934064840261,0.167913573307402,0.172856897871534,0.14801734053068,0.0624481737262175
"SW315_LH",1,134,1,15,1.86,1.39,0.49,3.74,0.293791014639071,0.240860422462729,0.229570917742438,0.377481607626403,0.046140245502632,0.0994837629672216,0.0261708405789628,0.0394206016744702,0.145425841778226,0.199071729850713,0.169049051920168,0.237464627321999,0.275010382132877,0.241317028758776,0.247384728530668,0.0178993930137261,0.146786173409892,0.157174946097213,0.212554369952649,0.196752446834247,0.134825237295508,0.1952310458446,-0.00713685812276221,0.150817162650378,0.130160460147631,0.135443238081574,0.0393874080693319
"SEEDWAY_9558_SBR",1,135,1,14,2.11,1.46,0.54,4.12,0.308790031271846,0.231896771781495,0.222459026539286,0.374646780517067,0.0257680729802889,0.0778746881056783,0.0673309846183702,0.0904837615129679,0.172182471935831,0.204809799771195,0.171658920871921,0.225250215672935,0.26407749686794,0.216810824638914,0.217874636626857,0.0596093400296118,0.167622844959361,0.164693753016205,0.221874131823661,0.214267327179261,0.134826229890522,0.190395127141678,0.00198249934755204,0.185027689770001,0.181588845171185,0.151210430006363,0.0592211066838626
"FSG_415BR",1,136,1,13,2.15,1.5,0.7,4.35,0.32005319798896,0.22234460091152,0.208640345585528,0.38949083503055,0.0306142332065038,0.0855061337768898,0.0983810364438222,0.120293301024481,0.17794685892655,0.203625183286933,0.165491876273722,0.228429081494109,0.260994641062012,0.232561069598125,0.254868639515578,0.0871997990469291,0.185084752213358,0.189643822343392,0.235826733573644,0.222900368105923,0.15061570199598,0.186486521419402,0.0250253689053639,0.198391083770485,0.203842728788304,0.170309854725672,0.0607069286275375
"NY1615",1,137,1,12,1.96,1.53,0.56,4.05,0.313816855140258,0.221490852556147,0.210821606172291,0.384211705464898,0.0223112126796695,0.0697658812760399,0.0943297865528489,0.117083491126158,0.184429573421539,0.203664819635091,0.174030458228825,0.234651988280295,0.27525132865301,0.237403202965744,0.236917591075209,0.0865456888728051,0.174645586747443,0.183949107120897,0.224937112112703,0.214701182953556,0.145621173902673,0.153067273921911,-0.0112285626165079,0.187542954950011,0.193561142762633,0.202950277086683,0.0660644979515217
"REBOUND_6XT",1,138,1,11,1.8,1.43,0.6,3.82,0.322917388212688,0.225807892726188,0.213367493204567,0.402877491871505,0.0339935082605822,0.0906029984239183,0.182215014984921,0.185561460656223,0.220069812064343,0.236105696671615,0.19617063561192,0.248073997543177,0.240634286549423,0.210142095789113,0.223309421075311,0.14624379678487,0.213574246527907,0.222567206282813,0.241530362763268,0.229690671653776,0.148226976456933,0.157052716415824,0.0320415372958451,0.205346954475693,0.219497815107574,0.208358370585642,0.0673869342155224
"NY0465",1,139,1,10,1.93,1.44,0.75,4.12,0.30931038360604,0.22294616634449,0.210837762796961,0.388880007089199,0.0217542997963154,0.0457220648248,0.0909620746891306,0.093681888229672,0.173008082899241,0.193938087043065,0.159636159770647,0.230619052197314,0.271038802031512,0.241111874635691,0.25719809103677,0.0787380774612129,0.18280582496542,0.204406181879346,0.247467325783391,0.233654622498163,0.158634148824916,0.161001509551819,-0.0219296926731647,0.185596203520368,0.195960686739917,0.212311626928244,0.0633729489301243
"WL_349HQ",1,140,1,9,1.92,1.45,0.72,4.09,0.32215839034472,0.223772561551214,0.210445697162491,0.397559787810881,0.00636951891770346,0.0294129916198167,0.157459543436937,0.163969696513818,0.21016036668263,0.226430254711085,0.191464485314044,0.244349879505966,0.245619355562846,0.216803447132913,0.233108994307474,0.145816393299307,0.210018741800209,0.221403733022923,0.23895089693183,0.211893384851011,0.143479095119737,0.155050164518043,0.0240787858421402,0.198570796523784,0.209602421052399,0.19599862347842,0.0627746929130662
"FSG_421LH",1,141,1,8,1.92,1.41,0.56,3.88,0.329364564019884,0.248115045207165,0.238861010656005,0.418818909966877,0.0544911502323464,0.0554256023587285,0.0830272152249939,0.104050673018267,0.183122811342719,0.215573635958639,0.192264652775521,0.266256245938739,0.286068086233057,0.273753390493681,0.285943366820917,0.121521290803292,0.212263277512307,0.217416274007464,0.249399417797284,0.213843616041748,0.162691709544723,0.148399468645354,0.00410477482959309,0.176336807200464,0.185709466024626,0.192954505222163,0.0611015382452793
"SW3407",1,142,1,7,2.1,1.42,0.66,4.17,0.343540074870328,0.242573577084347,0.235864066507353,0.413471772371917,0.0280228641961074,0.0428402360309636,0.132483729442632,0.173444122340476,0.209930735430671,0.234710509005002,0.207982112502163,0.260602166454522,0.268288437222336,0.247445408448474,0.26346531570317,0.153113878715834,0.219328573593603,0.226074315199407,0.255939125387437,0.212396684674701,0.163262870346405,0.157059005748907,0.0301058043722243,0.197761933561036,0.196706838273393,0.18671015202643,0.0610620986183062
"SW5606",1,143,1,6,2.06,1.5,0.57,4.13,0.348383217838935,0.250166805932976,0.243765294218122,0.415629565029357,0.0287454760678841,0.0498344793894056,0.147889093265545,0.184783935839119,0.214385058501711,0.232545443996505,0.210413810224137,0.25868412274926,0.281812084830755,0.247974642129245,0.268141096738968,0.162372327300591,0.229932857375061,0.230662994630817,0.246307876453593,0.209407433381726,0.158904072088514,0.140678383068182,0.0230705535251026,0.182982628737269,0.195339927374329,0.178816493294533,0.0528767907990229
"EZRA",1,144,1,5,2.26,1.39,0.77,4.43,0.341437108506954,0.252537547953747,0.221822927329037,0.398359428017565,0.0256509354915581,0.0396043253272544,0.0920418522209367,0.125988281866425,0.16682245446833,0.200859723310021,0.170283928911509,0.243803371813588,0.276981973861876,0.260891664510128,0.281359334181809,0.0925855978802436,0.187948703462163,0.205536899762164,0.26283550311596,0.239008157482285,0.172110048785156,0.154980173276499,-0.0117161321678196,0.178435596457205,0.161771875216412,0.184873191341743,0.0596924225215626
"SW5210",1,145,1,4,2.3,1.76,0.82,4.87,0.370663115347325,0.274706523075647,0.247531490174878,0.423733440778425,0.0154280247498204,0.0274179013078298,0.179920087675403,0.206659740980875,0.217290690519383,0.240505996625164,0.213915901710454,0.266006976591687,0.295531425346318,0.261938986273777,0.275537237853818,0.145638398150548,0.23398866503064,0.242406251951333,0.281980156344771,0.253510139698894,0.211276206337228,0.168079041862204,0.0345424591542933,0.214290056995955,0.2157691999037,0.214335983739216,0.0998484560803921
"PERSIST_III",1,146,1,3,2.38,1.59,0.92,4.89,0.362478715409091,0.247656632748,0.228659893314981,0.416135506973238,0.0331059043999719,0.0255722050740476,0.157671197853321,0.186426913746392,0.183978367276493,0.21194820358809,0.177421784090617,0.238994015183976,0.269800469760003,0.24304077137974,0.267051395297454,0.108927056739701,0.215491948725709,0.225595108305272,0.263807647974985,0.219353561632215,0.207484270745172,0.16018198462285,0.0480377806839636,0.21576129208978,0.221821334726948,0.234634856715061,0.116156029616571
"ALGONQUIN",1,147,1,2,2.14,1.23,0.59,3.95,0.355977222697255,0.244327572709749,0.224689565645319,0.404264043773855,0.0473689500046736,0.033823664663143,0.135563822243458,0.160277085291433,0.155296054773587,0.186203225828859,0.143791188389382,0.215786319206629,0.261069090716349,0.23377585113942,0.249626354708713,0.0673932742395173,0.174704207011508,0.177389044232645,0.230390565808194,0.186870089514755,0.178519095515126,0.125415780414244,0.0461096386862167,0.191329849528597,0.180348164442638,0.203913201002837,0.0793138491902919
"ONEIDA_ULTRA",1,148,1,1,2.2,1.39,0.73,4.32,0.390715966985119,0.243532393354205,0.214178416216479,0.406975241400956,0.0459646951735822,0.016080226056816,0.12390332236593,0.151377920936119,0.154949486708302,0.204688534003732,0.149148452100719,0.232043631530256,0.265126625285397,0.244993781224743,0.25194884052663,0.0911448172434306,0.219156117670733,0.19212489907418,0.247265479930256,0.184141351856999,0.180012525722466,0.11767372838694,0.0230671358110019,0.178849949043865,0.171266975641427,0.174028243234676,0.0519290718892341
"EZRA",2,213,2,36,1.9,1.79,0.92,4.61,0.266446587868529,0.181235834123514,0.197694749891155,0.345930517388052,0.137542599680972,0.156434825986818,0.120076320032202,0.128186364413517,0.153364976684937,0.163673534530586,0.196858684484578,0.236618360783635,0.219034189388751,0.240852093457595,0.28025731918739,0.118069463382762,0.204872144293829,0.194281352410797,0.276502296212243,0.244036547435888,0.222546561238306,0.0992582464376463,0.0504463490146879,0.1953793486485,0.220073899508856,0.211322668924967,0.116256872631108
"NY0465",2,214,2,35,1.69,1.78,0.87,4.34,0.249086275093087,0.177363702270163,0.172156103136902,0.339317162735783,0.14413431472654,0.163986694120516,0.109683418804101,0.121177511911982,0.145077154936267,0.160590623044186,0.187193075185731,0.236166945864101,0.209871171100118,0.231357506192105,0.270688591456728,0.104412820740609,0.202305274101557,0.180278790841072,0.262980392910357,0.230890405015802,0.213463906520027,0.0841409531082823,0.0441343590746174,0.179144596410783,0.216681159635645,0.202826321456907,0.0990526557156516
"SW3407",2,215,2,34,1.84,1.64,0.73,4.21,0.282043318350905,0.202749665803579,0.17846043090485,0.362501120210786,0.128080412403209,0.156524106943505,0.176864253934754,0.184972098334691,0.197473116937242,0.194454211631712,0.226912553449018,0.264382521588392,0.201009046216663,0.230365927797492,0.252786705955391,0.185887363737955,0.239825448305764,0.213881006729535,0.261395682018081,0.226474838790933,0.23532103347173,0.0935874027809176,0.131571597402716,0.203604617462193,0.245792584388397,0.184138793488635,0.097539338674226
"PLUSS_III",2,216,2,33,1.86,1.72,0.77,4.35,0.27091637133086,0.182418670610131,0.14936658188738,0.35156007666439,0.136027400290212,0.159408304785436,0.183855805284382,0.180412122920682,0.190081333537466,0.177418651636026,0.21707187466832,0.261283939760361,0.203372941522943,0.246621031304631,0.263951379699064,0.169212115279175,0.235455620087867,0.22181804672244,0.263043299959708,0.231238873025501,0.225317154005255,0.0987082154134086,0.126146076062215,0.21716699984243,0.234629089221149,0.200699293630812,0.113075401135786
"NY1517",2,217,2,32,2.05,1.87,0.87,4.79,0.267502578252687,0.199867476717738,0.163025003983289,0.347627270545362,0.145603772925101,0.161001275198741,0.107428694980264,0.114763307057303,0.157950075179155,0.161642432465363,0.203677809657489,0.250707597678958,0.208690673086543,0.247124834489879,0.263261938407226,0.107855639028543,0.191509577154392,0.203119200580608,0.257322067908658,0.237932758874364,0.236914610583392,0.108914338888478,0.0629461422754041,0.187999104841305,0.224339690181477,0.194647259956324,0.106304757696336
