"Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot23","sca_yld1","sca_yld2","sca_yld3","GNDVI_125","NDVI_125","GNDVI_136","NDVI_136","GNDVI_144","NDVI_144","GNDVI_150","NDVI_150","GNDVI_152","NDVI_152","GNDVI_156","NDVI_156","GNDVI_164","NDVI_164","GNDVI_166","NDVI_166","GNDVI_172","NDVI_172","GNDVI_177","NDVI_177","GNDVI_179","NDVI_179","GNDVI_186","NDVI_186","GNDVI_198","NDVI_198","GNDVI_213","NDVI_213","GNDVI_223","NDVI_223","GNDVI_228","NDVI_228","GNDVI_244","NDVI_244","GNDVI_248","NDVI_248","GNDVI_251","NDVI_251","GNDVI_255","NDVI_255"
"SEEDWAY_9558_SBR","3","3","30","319",2.04,2.01,0.8,4.84,0.24338013541664,0.248728773778312,0.209931197325104,0.302488024535547,0.548995439926812,0.214847590799442,0.460852092696443,0.194473801432007,0.470155799546096,0.294549054035966,0.572012912788434,0.113733694040184,0.365518824141413,0.150996914262552,0.380401255340682,0.0994202594851007,0.374785390138588,0.12507235454915,0.433584885315319,0.132262530064778,0.491425116099071,0.159621123105404,0.477877097741752,0.236530830239977,0.492792138543773,0.20159011747112,0.491554249707638,0.221710103184703,0.433520579402932,0.114701645863548,0.385212994288625,0.192567629951066,0.452801026597818,0.150853753618648,0.391451176962013,0.222523216622646,0.426069461363579,0.165635158706203,0.390293386692981,0.183781608681489,0.374270433222426,0.0423826175169059,0.388483180882973
"ALFABAR","3","3","29","320",2,1.83,0.86,4.69,0.238607975898667,0.226454555231,0.225676037124486,0.299482608873612,0.559298399494478,0.206729183591927,0.461830003889381,0.184112412482075,0.468352907500484,0.297800524372574,0.586092374169399,0.117937044638469,0.358404957002768,0.153900364301186,0.389981817288319,0.0756213828639466,0.374958183039499,0.1122236460273,0.424238973325741,0.13022489926065,0.476771786492375,0.161393946856981,0.485280979648497,0.218837841990618,0.491885187810064,0.206171499322077,0.501130318702917,0.230429338649245,0.450952209470426,0.105402932406743,0.392898169368758,0.195808732887822,0.459544338089615,0.156969077102547,0.392431833232559,0.243321148162219,0.442787631022925,0.187838939121649,0.401841640202501,0.189593307252605,0.376633556931545,0.0632434600512901,0.403666107544296
"SW4412Y","3","3","28","321",2.15,2.11,0.76,5.02,0.256503574091067,0.261103339637929,0.199434637458848,0.315585436805527,0.55774540455913,0.230298051853553,0.48406539593525,0.198437967784725,0.471795749930142,0.30910869156819,0.575326130452181,0.108037551261933,0.365953710975543,0.152719968608556,0.377768056116421,0.106902328872609,0.422756130898749,0.148716063060789,0.472712462824561,0.168716722301443,0.495452941176471,0.186178733914705,0.478668789101544,0.246924869061946,0.5006968465792,0.221302377987053,0.501019001130691,0.208849683991239,0.415262825851061,0.158605993449921,0.420445511537949,0.210783565384596,0.480063856876159,0.177462979274233,0.417554510791101,0.248184064625618,0.443761255525961,0.182223092799438,0.392738206522604,0.207071372954847,0.407850447196422,0.0743813617251297,0.379371359163134
"GUARDSMAN_II","3","3","27","322",2.35,2.01,0.86,5.21,0.280364371680934,0.248728773778312,0.225676037124486,0.316901953875366,0.572646516519066,0.23550510501873,0.475305668244309,0.200840410841013,0.462222615108731,0.305744632033804,0.576190476190476,0.104114508406045,0.388011895655769,0.146734089285117,0.369051550444739,0.0812574112238015,0.377953206007171,0.11739218212134,0.445298059655731,0.153983712324635,0.48547235122119,0.168767278329469,0.487135329902886,0.228322800612593,0.492201485681287,0.203117664125762,0.484049649053372,0.218766408282804,0.438544520816045,0.107112740901087,0.36283022299829,0.186874129612416,0.465426471137967,0.163560742645869,0.396788651828818,0.240634527686131,0.430122253651665,0.197597777864129,0.412586229248688,0.198824409587116,0.384201066391469,0.0677650055928604,0.403767327973471
"NY0651","3","3","26","323",2.48,2.1,0.77,5.35,0.295873890114347,0.259865883051967,0.202058777425412,0.316791426634514,0.573357674269025,0.231160113245016,0.485406775569325,0.199975378916942,0.478026624275014,0.304131213157039,0.578394132646464,0.113781044666322,0.388719001848471,0.155020676062314,0.369669705117275,0.100074043790433,0.402015216566976,0.128632674936478,0.466393941138099,0.152747219089351,0.502058387799564,0.164217914519674,0.484941292151079,0.225523565546736,0.500392799216329,0.200492452701906,0.495592539672957,0.192470492083706,0.411328134857547,0.118498306522001,0.390610157106321,0.185115508942427,0.461953620073519,0.155976059459436,0.391832031058037,0.229561415311318,0.432983900630959,0.191343891311032,0.401158593584749,0.183567444716506,0.365701476047943,0.0508453112894738,0.388345355841452
"VERNAL","3","3","25","324",2.11,1.64,0.69,4.44,0.251731414573094,0.202942880097727,0.181065657692902,0.300193263610369,0.571213771703968,0.218192080667769,0.471138255843243,0.1807197365705,0.47142735668763,0.286460058853349,0.576705229176873,0.0965533915888869,0.391644708285025,0.139624803726631,0.351181703450611,0.0196929797533167,0.347793258394446,0.0562509853143841,0.367353160176952,0.0941470246698968,0.44078345373237,0.132222408170759,0.478484420316799,0.179550632469075,0.483739970776352,0.18699591288638,0.507270487166243,0.204576973170341,0.451516907002354,0.0528353159472705,0.324614785044453,0.1449363852351,0.410135300054753,0.124914484626545,0.353701784188957,0.20627437577902,0.405626558567735,0.193787801641326,0.400435374522596,0.152621578083777,0.372108817320333,0.0478527189706183,0.407712514701062
"SW5210","3","3","24","325",2.4,2.1,0.91,5.41,0.2863295710784,0.259865883051967,0.238796736957305,0.333365559191386,0.581003664091899,0.25322888831343,0.490913806360949,0.219766629884936,0.47662887539444,0.317137293731246,0.564984738289935,0.0965682324960149,0.384154378472966,0.155579863703639,0.38007625792792,0.155096893843602,0.449777074943763,0.192509391719346,0.499699779339515,0.187713929414237,0.510784204793028,0.196025228993679,0.488035637162354,0.263146494669202,0.503289599760188,0.231675204924774,0.504817848377044,0.220299242631868,0.432120019178843,0.146494237226609,0.406104006820119,0.208740394024328,0.475035787557145,0.181542454933897,0.410041091326398,0.262698706686006,0.450595438830733,0.236200336322001,0.443668106379543,0.227287969106418,0.417403406000968,0.104257772021466,0.41727473290201
"EZRA","3","3","23","326",2.36,2,0.93,5.29,0.281557411560427,0.24749131719235,0.244045016890433,0.319979293713622,0.579402215431627,0.195688359111072,0.445689744776159,0.214411153909367,0.469447713821467,0.306805509940654,0.575625981334238,0.110785618304476,0.359411948946833,0.161035903275434,0.3935797088066,0.0954373195263253,0.39696807439379,0.137429525167226,0.442760282072621,0.145304036714077,0.483232352941176,0.157307920134531,0.489305642962031,0.228843719522873,0.495750918110946,0.210190348076701,0.504969153815021,0.211858892015999,0.433714843403425,0.0953933451595426,0.353331912475135,0.185801402490969,0.459908040820904,0.167048090171507,0.411398078565739,0.248452506018267,0.461900403076874,0.215164229515493,0.444651580984777,0.203681866313972,0.393939628482972,0.0906884965986735,0.419023174658261
"SEEDWAY_9558","3","3","22","327",1.79,1.66,0.74,4.19,0.213554138429307,0.20541779326965,0.194186357525721,0.291295250607947,0.551811179017061,0.171863913831538,0.455903813519999,0.191233357259571,0.478279474806954,0.29155724975293,0.577725188730201,0.118482796603959,0.374645239948915,0.164364904948825,0.378427687686,0.0905895908386501,0.398867442173376,0.119473594494647,0.441205759224099,0.130957630000527,0.487328108875129,0.142380530672026,0.465594308519868,0.205867128291844,0.492566858797796,0.192968702386136,0.497200700328027,0.200278392866601,0.424406591465415,0.0707649066833786,0.333170359052712,0.168201918773835,0.450024745211911,0.148767580722755,0.399677134011499,0.23463780052006,0.45199806376277,0.209678696778582,0.438257697232704,0.193561698644172,0.377120313037496,0.0724909687925084,0.420815547457921
"REGEN","3","3","21","328",2.16,1.86,0.85,4.88,0.25769661397056,0.230166924988885,0.223051897157923,0.318543512851357,0.57257472012374,0.191447207342003,0.470825453984603,0.191713281737474,0.474901960784314,0.295609048267277,0.583360344137655,0.121208078227131,0.369845637000782,0.165144901301053,0.360211900144673,0.0862888500873035,0.386856877308818,0.117348096271454,0.425987473172441,0.139709468992388,0.467834640522876,0.157306627165583,0.480104112441437,0.214835530691949,0.499631252281855,0.202658772943277,0.50673358888797,0.213285744350792,0.453560673670586,0.0765434774374172,0.351914341494173,0.174611242064999,0.454157403681446,0.149494519142277,0.390547349630014,0.228078889427423,0.44974959680842,0.210176492422843,0.428085545783097,0.189425832757766,0.406129170966632,0.0750638903241203,0.427930393396297
"HI-GEST_360","3","3","20","329",2.11,1.77,0.75,4.62,0.251731414573094,0.21902981571523,0.196810497492285,0.327584206149449,0.591447976496996,0.196270057757174,0.486696429755134,0.200610273379193,0.48641533255638,0.311378959183522,0.590267174134228,0.106051898736111,0.375098911884273,0.165901223098696,0.37751908790272,0.153789580559961,0.433272418137561,0.167792708660774,0.478109926127552,0.179803314038693,0.496732788671024,0.183196274810403,0.498826490948802,0.229483220391268,0.503760444936916,0.21640533641276,0.510334310483231,0.213310001619909,0.437105508870215,0.13839763294998,0.3873311748942,0.201087637920494,0.46568242638538,0.157211678337907,0.388238255654685,0.227438210296656,0.420786561963033,0.214509554703351,0.404940792719697,0.189596114530563,0.343689648823058,0.0730509154835364,0.396923380955135
"SW3407","3","3","19","330",2.17,1.94,0.83,4.94,0.258889653850054,0.240066577676579,0.217803617224795,0.349868065463884,0.596260390626588,0.216938398721564,0.468373072690875,0.228563702405454,0.473118227969591,0.328669012707914,0.577229277361169,0.114537253462631,0.364765609151007,0.164431163048622,0.369465570843722,0.140169042153499,0.40428745949453,0.172613823604354,0.456521493680619,0.184105961061101,0.479313832989336,0.200064459554769,0.489779543731345,0.259821209934787,0.501770043135505,0.240656372141726,0.513860994277971,0.232852248617355,0.440123795059679,0.146805939583988,0.379889167788327,0.21832342909385,0.456875718774669,0.177845763573249,0.393201078767288,0.244756145051568,0.437495555142614,0.223057562817837,0.415732217953879,0.20670970609516,0.381752159260734,0.102574990809331,0.380591457822067
"SW4602Z","3","3","18","331",2.08,2.03,0.7,4.8,0.248152294934614,0.251203686950235,0.183689797659466,0.346893177453961,0.587570735364853,0.215122148184731,0.468479335988842,0.217770593536412,0.476943745868177,0.322022794035998,0.573996720819692,0.105950745290366,0.361657615829982,0.153941347647814,0.38077163529849,0.118650442883945,0.371755389245414,0.140067594331175,0.434068754951261,0.170826045978304,0.487635620915033,0.173804374177874,0.464669109934723,0.242284705982955,0.497545674016262,0.236929131200829,0.493185516119247,0.218323329502745,0.427832033714387,0.127442273129314,0.347113525544898,0.209809449737507,0.450097742360374,0.167795359721974,0.384139981983983,0.228337124321509,0.418307077130607,0.20159475738046,0.38893199927362,0.198832491948958,0.341977655879998,0.077308728831095,0.384521468371026
"PERSIST_III","3","3","17","332",2.33,2.18,0.83,5.34,0.277978291921947,0.269765535739661,0.217803617224795,0.336935434199929,0.593112025955163,0.198078997889826,0.462804591072399,0.216967636792298,0.486071016141733,0.314849750609198,0.595021291027622,0.104349164066568,0.358832672053443,0.158780806371676,0.370151235522079,0.11593190329354,0.407294903938573,0.142093254814116,0.468671116790743,0.162439851254634,0.485203159041394,0.16492366140495,0.47323963213604,0.227581884130654,0.499634607869902,0.212042575381123,0.502064536614053,0.212470182402287,0.438094731105112,0.111419444024953,0.391843624406284,0.192941330781791,0.457620960519919,0.157718095624017,0.38796869625043,0.2270798606546,0.43276226315442,0.192566180883629,0.393860409260561,0.18817236087512,0.362248452012384,0.0838695673693017,0.404809499020847
