"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","NDVI_125","NDVI_136","NDVI_144","NDVI_150","NDVI_152","NDVI_156","NDVI_164","NDVI_166","NDVI_172","NDVI_177","NDVI_179","NDVI_186","NDVI_192","NDVI_195","NDVI_198","NDVI_213","NDVI_223","NDVI_228","NDVI_244","NDVI_248","NDVI_251","NDVI_255","NDVI_263","NDVI_274","NDVI_278","NDVI_300","NDVI_305"
"NY2003",2,219,2,30,1.29,1.39,0.63,3.31,0.429277626543575,0.371601771202058,0.445492819999046,0.580481591739835,0.373446815663333,0.4265576197034,0.350645970178464,0.403408231498109,0.444618270553836,0.458306700066223,0.44596568090544,0.494716011618469,0.444793286985598,0.447971695565278,0.481066707225877,0.337736207526489,0.437750320493791,0.382662462929371,0.407027348203819,0.400090522231396,0.321295149638803,0.392044817927171,0.328584098876439,0.33800917357367,0.500314667351657,0.415213790459815,0.408840349865436
"ONEIDA_VR",2,220,2,29,1.63,2.07,0.99,4.69,0.46945623367192,0.416413353987286,0.470629404187609,0.575286832221678,0.377870508259563,0.410908609597685,0.393707747838557,0.44831031771127,0.483816775599129,0.489166944310764,0.479402278095089,0.50659743883869,0.432146069436949,0.426561376828756,0.466530544385216,0.393872785829308,0.504082750067617,0.448198521699429,0.468255115313939,0.451221936402446,0.438041956245263,0.426419014016619,0.31084376039361,0.417156488419734,0.566353069612124,0.448627475133931,0.446407926126978
"WL_349HQ",2,221,2,28,1.37,1.96,0.83,4.16,0.460451503833857,0.404064998210237,0.464684754680461,0.597742330907567,0.394816235262384,0.415641431600511,0.459840250510685,0.498086130456154,0.512417647058824,0.504422299893409,0.485754354315658,0.477717566163831,0.43028603329594,0.443708994511134,0.464553531819968,0.431262939958592,0.517637383539263,0.460920599272504,0.447000094058918,0.4341456060523,0.408495732864013,0.374525668674549,0.397691710726014,0.473288649067196,0.590048853117181,0.431594218908221,0.422206078571311
"FSG_421LH",2,222,2,27,1.79,2.04,0.9,4.72,0.502618623206859,0.444964469898845,0.471560966164053,0.595839268442803,0.386558637095668,0.404343152645674,0.400937519973855,0.444939453152511,0.485822905916753,0.484846186262115,0.493210215563157,0.483675783005642,0.444647788959081,0.461058942933415,0.473263401810115,0.388705395201559,0.481925046096169,0.436746768882992,0.455307102365926,0.449339164966532,0.42452329261034,0.413419418898336,0.32954747896429,0.407218444761697,0.553259054713588,0.420215532848507,0.42047629499561
"SEEDWAY_9558_SBR",2,223,2,26,1.92,2.3,0.94,5.16,0.516232940987843,0.43711994715807,0.475496074342146,0.57968637454982,0.400750150910374,0.382094693967086,0.385063355559334,0.407865916955017,0.47617211328976,0.483414652204494,0.481744406821185,0.476316972221663,0.426406040019894,0.441634776394135,0.461426923710661,0.379673323875005,0.485377347081033,0.454156709183918,0.468298295749276,0.44334542491042,0.435229188166495,0.405617114102278,0.311012020212992,0.420976648903227,0.562103643351676,0.414795371215744,0.434391817359333
"ALGONQUIN",2,224,2,25,1.47,1.61,0.74,3.82,0.501324637599147,0.440681054369009,0.452066611101289,0.577765106042417,0.414061269328027,0.393885080347929,0.404241153791933,0.412941594185793,0.448552954076367,0.482866767852515,0.472975435328376,0.481819869012721,0.400497174427117,0.474283456128046,0.459978490601328,0.351678610838275,0.46936475162006,0.436123827896308,0.443591490650314,0.419321265218766,0.415119539043688,0.392701717855284,0.348219084865375,0.36590099514498,0.519694061515921,0.395287651302362,0.388682854530089
"AMERISTAND_427_TQ",2,225,2,24,2.31,2.04,0.87,5.22,0.575359689330278,0.474707092099856,0.487347931873479,0.5879082036402,0.399175799370691,0.379718495585369,0.466634587902447,0.487776755775529,0.516786383442266,0.505217520636573,0.487652213130597,0.466652877747442,0.425002380876798,0.438508090795673,0.455973230921328,0.437858537354336,0.496874478116208,0.46640703858636,0.44867158984806,0.412596236731556,0.429449604403165,0.381387491082962,0.377292647090681,0.451446861481464,0.577933089781279,0.409826014913007,0.406224880499463
"REBOUND_6XT",2,226,2,23,2.15,1.79,0.74,4.69,0.577309863339275,0.450305031383278,0.470494784431591,0.593550137543807,0.375687607438662,0.402064597768932,0.476377869925263,0.494935203143161,0.507918409586057,0.498627203093627,0.482701219738257,0.489235922445156,0.411570099265728,0.448748776708109,0.451196005694276,0.439260956908016,0.479734766365782,0.44455863241983,0.432575126692774,0.381226815050344,0.377351849234999,0.367883790684415,0.384776428281067,0.454444628632513,0.565139471606207,0.401365892035827,0.384520713054515
"SW4602Z",2,227,2,22,1.97,1.51,0.71,4.2,0.555203950978599,0.432844794442456,0.479094236358782,0.598033940033412,0.375644159750485,0.424150476361407,0.397719478582569,0.414232111310645,0.475691326969384,0.478487998234046,0.480876017438739,0.51397369074212,0.441121170466575,0.433781379131683,0.46562784389774,0.390951650225307,0.447050907387739,0.436059181381804,0.42110452698688,0.372458042490863,0.374286277079078,0.404416102724276,0.312994544669106,0.380872964780988,0.532457354606083,0.405610288836187,0.400767576200102
"NY1615",2,228,2,21,2.1,1.72,0.79,4.61,0.530607899725547,0.428207984630241,0.45976423527731,0.554612302320031,0.393138784905327,0.382724212492014,0.387801059288344,0.419160402152885,0.462346187363834,0.465332000641666,0.471861380096674,0.511955452598292,0.440539453773954,0.417802440169906,0.466805906252273,0.356744367312142,0.422436984213894,0.408750587851391,0.435675145479067,0.40113385644639,0.403241139216114,0.409527279938524,0.321734160616869,0.380911175994174,0.52746085090999,0.426026302591865,0.433491732513901
"GUARDSMAN_II",2,229,2,20,1.99,1.69,0.86,4.54,0.557583774250441,0.476230876055628,0.483167000862276,0.583299864063272,0.374980735147892,0.412490589930353,0.411956816677098,0.432977189883151,0.485981154684096,0.492144964180362,0.477326736138454,0.51381001254419,0.420322106176523,0.459357329509835,0.459685412626589,0.321941785409816,0.449726123487412,0.4384219943484,0.452676205617382,0.433719758637709,0.415803663570691,0.418792777681377,0.313959071638014,0.409870195164313,0.574314415237225,0.450389615105301,0.449659857737118
