"Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot23","sca_yld1","sca_yld2","sca_yld3","GNDVI_125","NDVI_125","GNDVI_142","NDVI_142","GNDVI_145","NDVI_145","GNDVI_150","NDVI_150","GNDVI_152","NDVI_152","GNDVI_156","NDVI_156","GNDVI_164","NDVI_164","GNDVI_166","NDVI_166","GNDVI_172","NDVI_172","GNDVI_178","NDVI_178","GNDVI_184","NDVI_184","GNDVI_187","NDVI_187","GNDVI_193","NDVI_193","GNDVI_198","NDVI_198","GNDVI_213","NDVI_213","GNDVI_223","NDVI_223","GNDVI_228","NDVI_228"
"SW3407","1","1","45","142",2.97,1.79,1.41,6.17,0.267057671951211,0.311930094819495,0.256256855258299,0.194350000653643,0.423944862,0.485224345147039,0.642967724,0.452657311751902,0.608641148,0.320894008044096,0.55412844,0.277617198552175,0.504067475,0.295992526881624,0.502035506,-0.0332530202263919,0.415860866,-0.0994928188384862,0.414198512,0.15159132745035,0.4714094,0.305526808990016,0.568478206,0.267757001547668,0.520462326,0.301961428437216,0.545419311,0.309142584035227,0.525926654,0.330168300961469,0.494112854,0.181049700795461,0.431702665,0.279603125022312,0.512796977,0.230514628101003,0.491996416
"ALFABAR","1","1","46","143",3.29,1.46,1.17,5.93,0.295831562531813,0.254423429294113,0.212638667129227,0.163692908439279,0.419627254,0.478744297848464,0.634202303,0.447287379702352,0.601354642,0.304129566994037,0.553746627,0.258126208375459,0.500638109,0.278113545851492,0.500133245,-0.0542705931808719,0.496668213,-0.143620718786466,0.515255693,0.0802964577722105,0.404353873,0.261118332663042,0.537533977,0.234013530312863,0.524388937,0.283060749031702,0.547885094,0.291172831536484,0.544226953,0.339533620388148,0.516401171,0.131095747778885,0.355693438,0.251107527590512,0.504749204,0.20677774729451,0.494315991
"SW4107","1","1","47","144",3.03,1.69,1.22,5.94,0.272452776435074,0.294503832539076,0.221725789656117,0.16278720085233,0.434872166,0.480255885574808,0.639408011,0.464574148683278,0.611828428,0.31171206861172,0.552845166,0.254232900297121,0.487711491,0.276935934277455,0.494818349,-0.0489372175571987,0.461370114,-0.125206313120184,0.459998188,0.125785342317115,0.480783988,0.303150241828213,0.55807197,0.25414316420366,0.532446208,0.308905231378108,0.572154987,0.30294548436515,0.562036743,0.338754284200037,0.527476398,0.176646990423474,0.426395685,0.277470226575574,0.514961495,0.215060675699264,0.492827688
"NY0651","1","1","48","145",2.88,1.63,1.13,5.64,0.258965015225416,0.284048075170825,0.205368969107715,0.138254265718392,0.432092199,0.481444711515433,0.642204487,0.481758783613299,0.618843139,0.313430950867447,0.55258493,0.244473544219222,0.48437094,0.273105243036935,0.493645302,-0.0596120827623256,0.466607434,-0.132765366784998,0.442720746,0.116309442999588,0.441399688,0.293800874652641,0.55796111,0.244269456342363,0.543400051,0.299540761986343,0.584877653,0.287570543039926,0.588342255,0.34363915108828,0.552276398,0.162452117940729,0.389288689,0.255794692396636,0.502645484,0.200758941465341,0.484168525
"SW4412Y","1","1","49","146",3.04,2.04,1.43,6.51,0.273351960515717,0.355495750520541,0.259891704269055,0.146041225511294,0.435115364,0.475559105227329,0.626887802,0.487477784829272,0.602950556,0.313205797356526,0.544679349,0.241658634257274,0.472977523,0.295494891243384,0.519294764,-0.0464651186489514,0.418495206,-0.110937068639932,0.391044908,0.145695029427573,0.480355686,0.327706408313888,0.574129948,0.26233435756261,0.554277615,0.315415748810848,0.592893912,0.301158676838732,0.606437177,0.355683657282787,0.574007072,0.193937027730623,0.43764326,0.297450652383787,0.531044179,0.226701774717497,0.501230717
"SW4602Z","1","1","50","147",2.62,1.65,1.31,5.58,0.235586229128678,0.287533327626909,0.238082610204519,0.172212876696814,0.451503258,0.484356253621502,0.649450722,0.500263660863238,0.614515176,0.313258515890607,0.545015291,0.253701897673058,0.475723338,0.294861075134891,0.500477084,-0.0552376103208711,0.426086411,-0.128487164964679,0.407970428,0.103085468398987,0.405281752,0.310968106067309,0.568542825,0.249285251315543,0.554634751,0.313409191487266,0.604811212,0.294558753151475,0.615522782,0.342256434630454,0.591845137,0.179805498261653,0.392675105,0.299649165551729,0.536965715,0.225917910641225,0.500125017
"REGEN","1","1","51","148",2.86,1.8,1.37,6.03,0.257166647064129,0.313672721047537,0.248987157236787,0.19003449727703,0.488511536,0.480456153430221,0.638298809,0.491053392526862,0.611190168,0.301295013231297,0.540009294,0.236315314531828,0.479035868,0.301479323075471,0.54044766,-0.0497857431220512,0.406001351,-0.134259726296445,0.411834598,0.0849338125762626,0.401787779,0.306449161254532,0.582255272,0.225659270841065,0.569528837,0.296641578209177,0.610814631,0.281884808415671,0.613127467,0.361415277837957,0.614265069,0.139207637671177,0.367405165,0.270607830369262,0.531674228,0.194132380958425,0.496723701
"SW5606","2","2","16","213",2.58,2.04,1.19,5.81,0.231989492806102,0.355495750520541,0.216273516139983,0.191151036223915,0.490722778,0.2934506215444,0.609335711,0.31365806032474,0.582203612,0.258269707544606,0.525823004,0.270263045008112,0.466147093,0.275930870752446,0.478570985,0.00447969484047505,0.333692012,-0.0144712519359683,0.381415943,0.125929500361089,0.388805276,0.23879326305127,0.486619833,0.257884773615467,0.471460035,0.242092482846982,0.482151117,0.292535684576157,0.567090106,0.301979107915498,0.580991285,0.170821562612169,0.418588547,0.235754973274283,0.415840906,0.209285622306326,0.474351826
"ONEIDA_VR","2","2","17","214",2.55,1.57,0.82,4.94,0.229291940564171,0.273592317802574,0.149028809440996,0.146353480060706,0.479147645,0.243085334363387,0.589404769,0.266774268608933,0.569073179,0.214677992963475,0.514317933,0.232123848920296,0.461404461,0.236549814613544,0.470634522,-0.0216438508342917,0.392205871,-0.0598810694225472,0.482181056,0.0259607980017435,0.361563627,0.156340261673818,0.444479125,0.207736936865447,0.447634984,0.187332077211894,0.456003136,0.246073533653445,0.550761385,0.268978700650741,0.578647785,0.0894479846959716,0.339284227,0.176326510538059,0.366454942,0.161766288542532,0.475420355
"LANDER","2","2","18","215",2.48,1.59,1,5.06,0.222997651999664,0.277077570258657,0.1817424505378,0.154601852904993,0.487113666,0.251053041454579,0.596485858,0.274863426505015,0.571883216,0.213555759565453,0.516314385,0.232232578908065,0.464019999,0.224692369025719,0.467348577,-0.00944169475272326,0.365376068,-0.0505056988496796,0.43368074,0.0498383436461071,0.34077136,0.172327993992751,0.466427015,0.213802044648516,0.456180517,0.191542179840839,0.459905245,0.24009015013971,0.536757939,0.232858194975842,0.518099782,0.099512020534623,0.343946326,0.175649366523328,0.379360057,0.160616101463268,0.492128403
