"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","NDVI_131","NDVI_145","NDVI_154","NDVI_159","NDVI_162","NDVI_164","NDVI_175","NDVI_178","NDVI_181","NDVI_187","NDVI_189","NDVI_192","NDVI_201","NDVI_203","NDVI_210","NDVI_215","NDVI_223","NDVI_236","NDVI_238","NDVI_243","NDVI_259","NDVI_263"
"SW5210",1,145,1,4,2.11,0.71,0.48,3.3,0.250283104334102,0.230643922200292,0.0942657217282265,0.565504139849473,0.559964721737752,0.535942623602563,0.337339983290027,0.311861657257803,0.209979297620164,0.547105957767722,0.480265730735937,0.542100970557051,0.435833755488772,0.473835334687225,0.472262552934059,0.329218874582125,0.393098223186828,0.417579719242045,0.424277525217737,0.486042457305503,0.472719736254532,0.477620108969508,0.477495654434102,0.36132266626673,0.327363186104892
"PERSIST_III",1,146,1,3,2.25,0.79,0.54,3.58,0.266889566233047,0.256631969772155,0.106048936944255,0.548274233174858,0.570806247027113,0.538775185662262,0.333819821594554,0.332105282577634,0.208996716389905,0.547556220672029,0.436868193686713,0.544031769791352,0.470790990091216,0.505655099551875,0.485162659063839,0.330612255179036,0.397030566191516,0.414202463781211,0.422932031724791,0.480257459,0.49067835002902,0.481042690103729,0.480196957214258,0.398088426670166,0.364648076211617
"ALGONQUIN",1,147,1,2,1.97,0.61,0.47,3.05,0.233676642435157,0.198158862735462,0.0923018525255551,0.542044914851754,0.562323740817082,0.53025730324571,0.320557723637986,0.339251218401004,0.206792672317616,0.49244880232607,0.369927210629229,0.51588705460163,0.460621605811065,0.470441878182766,0.457641658136512,0.333339812464053,0.403048078620316,0.403116261291166,0.415180642149333,0.458730629348514,0.477733294543181,0.475676065414776,0.492974285604653,0.411777412210469,0.376346815085635
"ONEIDA_ULTRA",1,148,1,1,1.74,0.5,0.48,2.71,0.20639459788689,0.162425297324149,0.0942657217282265,0.498462833244249,0.554208947730035,0.526785935785506,0.328015636813897,0.365381106696134,0.218031710291772,0.472717262652924,0.374581508291997,0.47164994698638,0.43622941,0.42997502140517,0.415887439634763,0.329096503716332,0.400591553676363,0.413731262160206,0.424239130989372,0.448843311570318,0.474232049060859,0.47093259453995,0.471606524962926,0.386537228760253,0.367991991469174
"EZRA",2,213,2,36,1.72,0.73,0.62,3.07,0.20402224618704,0.237140934093258,0.121759890565626,0.48313400291509,0.556006817821468,0.522214111922141,0.427130126835653,0.46963670123999,0.434340706494828,0.512290514496397,0.475512014020091,0.555269817738693,0.531266243970388,0.481748586609186,0.493356317652501,0.362374081544882,0.396707454604898,0.396362219608805,0.423041762077755,0.49054074754902,0.410436577376946,0.496799979915141,0.479777116325982,0.384825936323591,0.398375851450458
"NY0465",2,214,2,35,1.57,0.77,0.74,3.08,0.186229608438171,0.250134957879189,0.145326320997682,0.454658855412084,0.55590521114106,0.517695402573032,0.433640907343329,0.468855452115308,0.440469224,0.496708066239316,0.463900387533818,0.525595144,0.509033131310261,0.481829064798533,0.472812669425622,0.341553257,0.39891059251138,0.39098896001155,0.414126780038063,0.488390259329538,0.428896492530725,0.493246243952126,0.466504848514748,0.383095792695215,0.405298170877674
"SW3407",2,215,2,34,1.71,0.81,0.56,3.08,0.202836070337116,0.263128981665121,0.109976675349598,0.5175895056746,0.562763797800424,0.522661927707011,0.39935065929522,0.438071990849419,0.400929418019201,0.559516140858053,0.515393442352281,0.576329969911284,0.489629999537282,0.464649509509085,0.474167969739406,0.325111560476408,0.371825509563811,0.359209289014269,0.406685825514177,0.51956132721906,0.43170458114596,0.515463709171249,0.472547262042072,0.371535221264561,0.40135830110591
"PLUSS_III",2,216,2,33,1.77,0.8,0.6,3.17,0.209953125436664,0.259880475718638,0.117832152160283,0.529819081910297,0.579664129802865,0.527985624095543,0.424405702000183,0.451538435113193,0.419083591331269,0.578317072021116,0.503285192339898,0.576382491456235,0.471767626416775,0.470592016941782,0.471895913270828,0.312255287442594,0.371277381245385,0.386282686753102,0.421343413271164,0.517925303203178,0.426133996818629,0.497604001908062,0.47214950293843,0.385451775058415,0.394271931610014
"NY1517",2,217,2,32,2,0.72,0.61,3.33,0.237235169984931,0.233892428146775,0.119796021362954,0.508545611,0.556832884097035,0.517421560676176,0.424748292988886,0.470781249314581,0.431869576880746,0.525880886542651,0.486565337069508,0.556403989304382,0.451212967,0.469476463748016,0.485194372400396,0.328499114608257,0.418604124345048,0.390743912379767,0.399616185,0.491279845602426,0.430159633056736,0.498572574484339,0.473370548,0.397102957189569,0.402378316032295
"NY1614",2,218,2,31,1.61,0.94,0.63,3.17,0.190974311837869,0.3053595589694,0.123723759768297,0.456311545021302,0.547688547,0.529823004627642,0.43200589443449,0.474979038400124,0.435627106983144,0.515335124434389,0.465435427148124,0.532488301336655,0.448733864197553,0.493057648898607,0.480426591475706,0.341669261096351,0.418395995395749,0.399848726440165,0.411653384099134,0.50840372,0.446301402379805,0.50958939,0.459270720052727,0.35519540405863,0.383950430893778
