"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","sca_yld1","sca_yld2","sca_yld3","NDVI_125","NDVI_142","NDVI_145","NDVI_150","NDVI_152","NDVI_156","NDVI_164","NDVI_166","NDVI_172","NDVI_178","NDVI_184","NDVI_187","NDVI_193","NDVI_198","NDVI_213","NDVI_223","NDVI_228","NDVI_251","NDVI_255","NDVI_265","NDVI_277","NDVI_300","NDVI_306"
"SW5606",2,213,2,16,2.58,2.04,1.19,5.81,0.231989492806102,0.355495750520541,0.216273516139983,0.490722778,0.609335711,0.582203612,0.525823004,0.466147093,0.478570985,0.333692012,0.381415943,0.388805276,0.486619833,0.471460035,0.482151117,0.567090106,0.580991285,0.418588547,0.415840906,0.474351826,0.494771706,0.371492864,0.480460438,0.519963458,0.467189638,0.623259969
"ONEIDA_VR",2,214,2,17,2.55,1.57,0.82,4.94,0.229291940564171,0.273592317802574,0.149028809440996,0.479147645,0.589404769,0.569073179,0.514317933,0.461404461,0.470634522,0.392205871,0.482181056,0.361563627,0.444479125,0.447634984,0.456003136,0.550761385,0.578647785,0.339284227,0.366454942,0.475420355,0.484514323,0.430100595,0.383912126,0.469185531,0.470556566,0.631095069
"LANDER",2,215,2,18,2.48,1.59,1,5.06,0.222997651999664,0.277077570258657,0.1817424505378,0.487113666,0.596485858,0.571883216,0.516314385,0.464019999,0.467348577,0.365376068,0.43368074,0.34077136,0.466427015,0.456180517,0.459905245,0.536757939,0.518099782,0.343946326,0.379360057,0.492128403,0.518436956,0.418238902,0.400449921,0.477441266,0.480962599,0.620024181
"WL_358LH",2,216,2,19,2.26,1.57,1.02,4.84,0.2032156022255,0.273592317802574,0.185377299548557,0.479152326,0.602837936,0.573473304,0.515565899,0.458864049,0.452059243,0.366103226,0.43374367,0.35448154,0.469117573,0.4557156,0.455786708,0.511426872,0.450331083,0.360466098,0.395941407,0.483342045,0.514326991,0.377703293,0.4306528,0.489372496,0.478957355,0.629999049
"SW4412Y",2,217,2,20,2.61,1.9,1.17,5.68,0.234687045048034,0.331098983327955,0.212638667129227,0.485276011,0.602462671,0.572205101,0.521897528,0.463597903,0.450093995,0.405466703,0.43047976,0.392083849,0.48932284,0.454603301,0.465933946,0.511500503,0.440470414,0.373386037,0.408431441,0.487433789,0.504883654,0.416698298,0.457273817,0.517837118,0.484678763,0.636627302
"GUARDSMAN_II",2,218,2,21,2.71,1.84,1.14,5.68,0.243678885854472,0.320643225959704,0.207186393613093,0.478289558,0.604394773,0.573462709,0.520802344,0.457935394,0.425779981,0.407900569,0.456878857,0.378684277,0.472754139,0.442321818,0.448084105,0.489067656,0.418876253,0.344180611,0.393333858,0.480750656,0.523333304,0.431914444,0.405327607,0.488301194,0.474362483,0.623316086
"SW315_LH",2,219,2,22,2.52,1.56,0.96,5.04,0.226594388322239,0.271849691574532,0.174472752516288,0.459301752,0.607865785,0.577825187,0.523538706,0.463270293,0.428562334,0.3784842,0.456652119,0.37614363,0.431017148,0.423115405,0.438152824,0.481049186,0.450685403,0.32703722,0.36182071,0.472033559,0.500197474,0.437069143,0.369507782,0.399936136,0.494485343,0.588902438
"SEEDWAY_9558",2,220,2,23,2.46,1.57,0.86,4.89,0.221199283838377,0.273592317802574,0.156298507462508,0.462029215,0.600431042,0.570398559,0.52748411,0.476604669,0.421355559,0.401426596,0.468300285,0.378904841,0.44997599,0.438966245,0.458222845,0.493069648,0.454378215,0.33350005,0.371620506,0.47539872,0.507305378,0.412013055,0.400867988,0.457217595,0.469501553,0.624180943
"LIGHTNING_BOLT",2,221,2,24,2.43,1.77,1.07,5.27,0.218501731596445,0.308444842363411,0.194464422075447,0.468790705,0.602373434,0.574380577,0.526558335,0.470932568,0.409369555,0.379749844,0.427878978,0.388522854,0.482272465,0.446802944,0.452929206,0.485136346,0.449388962,0.349499216,0.398518402,0.484487675,0.497087864,0.369594485,0.469570259,0.499828178,0.483884782,0.629702251
"PERSIST_III",2,222,2,25,2.49,1.51,0.96,4.97,0.223896836080308,0.263136560434322,0.174472752516288,0.449926238,0.611759968,0.589380202,0.538282623,0.480074779,0.417399986,0.392314608,0.465023087,0.387315315,0.459189454,0.446911241,0.452523476,0.490743993,0.462219222,0.355385291,0.382327087,0.475389572,0.498728893,0.398681232,0.425542169,0.487466213,0.481107418,0.638243547
"EZRA",2,223,2,26,2.81,1.59,0.96,5.36,0.25267072666091,0.277077570258657,0.174472752516288,0.452247601,0.608381757,0.59049706,0.533280266,0.477284466,0.410548262,0.387301843,0.456374718,0.377083146,0.460439435,0.44742453,0.463102301,0.497783897,0.464163689,0.343953447,0.394549377,0.487338759,0.497161856,0.407915368,0.385724195,0.468812763,0.480604391,0.630992055
"AMERISTAND_427_TQ",2,224,2,27,2.53,1.67,1.04,5.25,0.227493572402883,0.291018580082992,0.189012148559313,0.462050074,0.613117191,0.592691798,0.542414403,0.482792922,0.451679431,0.377109991,0.415345387,0.430198862,0.506545433,0.46514266,0.47360758,0.497647208,0.448398765,0.40995336,0.433224987,0.494780051,0.481649335,0.352369973,0.465689056,0.521889324,0.481557058,0.629683845
"REGEN",2,225,2,28,2.67,1.59,1.01,5.27,0.240082149531897,0.277077570258657,0.183559875043178,0.452696224,0.609031903,0.589468768,0.534183758,0.477034912,0.442109808,0.395799545,0.452204719,0.390947291,0.476552399,0.465880542,0.472167995,0.501375968,0.472063181,0.352371008,0.395714904,0.496011058,0.509480036,0.419260047,0.38630858,0.46680098,0.474920666,0.627538869
"REBOUND_6XT",2,226,2,29,2.05,1.47,1.07,4.59,0.18433273653198,0.256166055522155,0.194464422075447,0.456367044,0.612292939,0.578378668,0.532312223,0.468405548,0.44657647,0.350331035,0.38662054,0.449032241,0.514005602,0.471942384,0.480214324,0.497346927,0.461214234,0.442884147,0.422603716,0.487037247,0.480634917,0.323520518,0.508544094,0.533774845,0.484859841,0.634082244
"SW4107",2,227,2,30,2.5,1.8,1.11,5.42,0.224796020160952,0.313672721047537,0.201734120096959,0.473098897,0.612859297,0.589091101,0.531094022,0.479465588,0.460555092,0.379985214,0.425097565,0.427493702,0.51219095,0.478829415,0.477437454,0.500143686,0.456351363,0.429943268,0.421883839,0.499548427,0.475708316,0.348154581,0.481143247,0.522892,0.496233581,0.635663278
"FSG_421LH",2,228,2,31,2.04,1.44,0.93,4.41,0.183433552451337,0.250938176838029,0.169020479000154,0.415505355,0.626278217,0.588634166,0.530309558,0.467005435,0.456059392,0.369295033,0.443399747,0.386787322,0.451428127,0.456687022,0.450961718,0.498792247,0.471702687,0.358332432,0.377044319,0.485592214,0.474758331,0.369332773,0.379925718,0.439092684,0.492577586,0.620514513
"55V50",2,229,2,32,2.68,1.69,1.03,5.41,0.24098133361254,0.294503832539076,0.187194724053935,0.45672093,0.620826875,0.588705019,0.530287732,0.471229589,0.456668752,0.385808167,0.440730151,0.410101939,0.480062544,0.462372952,0.458910986,0.492472405,0.448269281,0.368955965,0.388125291,0.490227877,0.453518567,0.335295124,0.432407201,0.499619247,0.48582095,0.628754376
"ONEIDA_ULTRA",2,230,2,33,2.37,1.4,0.96,4.73,0.213106627112582,0.243967671925862,0.174472752516288,0.454355126,0.606037144,0.578549557,0.525739614,0.468362245,0.455315984,0.38123234,0.440362251,0.404440376,0.473929424,0.460705656,0.457355335,0.497433044,0.470025127,0.346690719,0.373330114,0.493270549,0.480975014,0.380594667,0.381589956,0.461315592,0.473920679,0.627961945
"N-R-GEE",2,231,2,34,2.55,1.57,1.05,5.18,0.229291940564171,0.273592317802574,0.190829573064691,0.457187994,0.603347516,0.577841351,0.52628067,0.481470023,0.47223066,0.399505937,0.440919513,0.409349911,0.482433862,0.46057087,0.464123991,0.493535658,0.465079884,0.384253577,0.392584845,0.511709965,0.462416576,0.356793274,0.420612818,0.484119684,0.462673311,0.629978846
"FSG_415BR",2,232,2,35,2.87,1.68,1.04,5.59,0.258065831144773,0.292761206311034,0.189012148559313,0.452979998,0.614849944,0.591274808,0.53219314,0.478868919,0.472304632,0.380617594,0.422957072,0.410361056,0.482156863,0.45836324,0.446073566,0.493358996,0.464504139,0.378144395,0.401630341,0.507481879,0.475295992,0.375047082,0.43042531,0.487294951,0.473747668,0.631205738
