"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","NDRE_131","NDRE_145","NDRE_154","NDRE_159","NDRE_162","NDRE_164","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_201","NDRE_203","NDRE_210","NDRE_215","NDRE_223","NDRE_236","NDRE_238","NDRE_243","NDRE_259","NDRE_263"
"SW3407",2,215,2,34,1.71,0.81,0.56,3.08,0.202836070337116,0.263128981665121,0.109976675349598,0.327135256918661,0.337238085628763,0.47274191752938,0.453826192,0.484757386180739,0.305864840354004,0.454883499874309,0.23996811042473,0.47389420814757,0.274944999606389,0.396270900998436,0.383194024914332,0.308605143922838,0.28183764952714,0.462110783231482,0.450295801380662,0.359506641366224,0.27417848400484,0.377042881172956,0.394940627231285,0.307685401730873,0.308150078024289
"PLUSS_III",2,216,2,33,1.77,0.8,0.6,3.17,0.209953125436664,0.259880475718638,0.117832152160283,0.302760211589707,0.309473865017705,0.46680406469157,0.464199015249035,0.481653288140251,0.307615348531757,0.426723018267136,0.267856157259006,0.439536223941291,0.265261444919382,0.36627148448579,0.352925476799025,0.298581377199671,0.273094344876279,0.436395961549099,0.446497737,0.342561749915483,0.278924644339171,0.364397077653084,0.355298291865766,0.317701946,0.319680575344325
"NY1517",2,217,2,32,2,0.72,0.61,3.33,0.237235169984931,0.233892428146775,0.119796021362954,0.305748727037443,0.296657285555732,0.456218532830813,0.472058908441256,0.513201970999017,0.320388797380607,0.373006614504776,0.294925972313622,0.38045823474939,0.303977344047898,0.360642320202471,0.351457034185511,0.333422478248843,0.233543824074312,0.439274969,0.442704458832713,0.325917449196387,0.247664702553347,0.353029029793736,0.34434984875679,0.332292560080362,0.312106248727865
"NY1614",2,218,2,31,1.61,0.94,0.63,3.17,0.190974311837869,0.3053595589694,0.123723759768297,0.312032819332243,0.294103773584906,0.459093077620343,0.472043239465939,0.506541419,0.3108031397567,0.332500759384951,0.26974134535325,0.329493251,0.278910796903272,0.357834645947878,0.351920802483479,0.349942519528751,0.257952898415611,0.419028722736488,0.428971526035047,0.312466721602434,0.246695961916176,0.380178378649795,0.346631515351239,0.282373458771871,0.294260190202607
"NY2003",2,219,2,30,1.62,0.95,0.68,3.26,0.192160487687794,0.308608064915883,0.133543105781654,0.343026603276413,0.304415332170604,0.49838954884468,0.460516761305465,0.504860164817338,0.312688619945586,0.383588322,0.344028724204707,0.371849407734711,0.288726378339716,0.418621305802938,0.415906383905115,0.381233452260689,0.253875588829174,0.414774183928447,0.435246302822204,0.324592425679949,0.25805727916028,0.41886934799528,0.380816279452958,0.276581143704926,0.302227100607169
"ONEIDA_VR",2,220,2,29,1.48,0.92,0.69,3.09,0.175554025788849,0.298862547076434,0.135506974984326,0.365039620429964,0.290940885788278,0.464023981044161,0.468422178093373,0.507529614805429,0.294378508339789,0.330288854323781,0.288445689836141,0.325537213,0.260669595614151,0.407824621488196,0.391990760219963,0.35919686791409,0.273919968442872,0.416737020114341,0.428415045435296,0.301899641577061,0.253439658878241,0.39268563789152,0.370311631501916,0.282194424525713,0.312193228848633
"WL_349HQ",2,221,2,28,1.45,1.12,0.7,3.26,0.171995498239075,0.363832666006094,0.137470844186997,0.340064595,0.291221394218065,0.479148100440501,0.425608166934422,0.439406789904334,0.298526941239016,0.425934043489191,0.391097100454521,0.401330617884541,0.367974117,0.460030946096711,0.441687547229845,0.363776647362732,0.275386052753706,0.363266017801699,0.442487473104159,0.351990629225828,0.263286092469024,0.417410936205468,0.383960674465865,0.242813035234544,0.310862473709207
"FSG_421LH",2,222,2,27,1.8,1.14,0.64,3.58,0.213511652986438,0.37032967789906,0.125687628970969,0.317316979398168,0.372090402198615,0.497641174880333,0.431598414526039,0.479919742,0.287706789254777,0.444081171012302,0.41774518059359,0.400692535394388,0.377726778596449,0.460722389244994,0.451416843026311,0.396440643982787,0.283612149056402,0.443970603295081,0.438909345100047,0.323395398481973,0.266857433162975,0.421181742863599,0.377908496732026,0.24729253664656,0.316964108826922
"SEEDWAY_9558_SBR",2,223,2,26,1.59,1.02,0.68,3.29,0.18860196013802,0.331347606541264,0.133543105781654,0.31041092012512,0.301153744516675,0.48300812620263,0.458943589176894,0.487710713381453,0.298529566118279,0.357620820764203,0.320737540775964,0.321749617390387,0.308873797457933,0.370877293537408,0.385757622244915,0.372447646131809,0.293839931526223,0.471721937613237,0.434211829632938,0.299382368788032,0.237997559694137,0.367398148325389,0.363981688,0.246585460731978,0.321380519466388
"ALGONQUIN",2,224,2,25,0.96,0.78,0.68,2.43,0.113872881592767,0.253383463825672,0.133543105781654,0.438947613957108,0.312362850800698,0.470000954152951,0.458975541386678,0.494061873526936,0.291817906039797,0.351902521158036,0.311164181780014,0.327679106876418,0.314912092514839,0.38581019437669,0.398902488293278,0.340701569475489,0.307318497772711,0.452823933449254,0.432048593572219,0.317620967741935,0.232461568077441,0.3522174810442,0.364487383994694,0.2484829737807,0.306991142739005
