"Germplasm","Plot","Rep","Row","Range","gndvi_138","gndvi_145","gndvi_152","yld2","gndvi_160","gndvi_165","gndvi_173","gndvi_179","yld3","gndvi_187","gndvi_192","gndvi_201","yld4","gndvi_215","gndvi_223","gndvi_228","gndvi_237","gndvi_242","yld5","gndvi_257","gndvi_263","gndvi_278","yld6","gndvi_293","gndvi_299","gndvi_307","yld7"
"AFX_149092","147","1","6","1",-0.0166801713184048,-0.00365879933128818,-0.0220209145138254,-0.771651970352713,0.0265278358080629,0.0262240107328163,-0.0491307851057049,-0.0254172624014254,-0.68524631264526,0.0549764962457426,-0.019236231048179,-0.0147821975608496,-0.546432497468501,0.0237149214517221,0.00642806900974104,-0.0531943133348465,0.0314890215491688,-0.102324410624927,-0.694231624523738,0.0123064085786954,-0.0295552127013594,-0.00456598788249864,-0.526817827769207,-0.00755574339325006,-0.0182788046579587,-0.078502482052296,-0.305434372622689
"NUMEX_BILL_MELTON_CA_2019","148","1","7","1",0.0105823324568012,0.00659548749872802,0.00157961853436047,-0.468032765963978,0.0373775903016565,0.0598223091114339,-0.0312616377431808,0.022073901547948,0.123261985856798,0.0455284504949548,0.000842749873453756,0.0391053185996202,0.297706512652303,0.000726830678045899,0.0239381909640358,-0.00379680427251414,0.0352335323417571,-0.0433346425837339,0.201053480988921,0.00847659405391627,0.00540036595235399,0.0135286508531539,0.390380594062168,0.0011735156455773,0.0160429483179652,-0.0282422028831914,0.0279775287589828
"NM170506PAR","149","1","7","2",-0.00618867528325434,-0.00273866514189869,-0.00924042319542771,-0.516055655387391,0.0388799904638768,0.0584900122921371,-0.0291467443070681,0.00351624936048763,0.11214329981762,0.0371531555593485,-0.00598526995467448,0.0193884384860155,0.196692732135442,-0.0140034747484459,0.0169677719061137,-0.0175898808046695,0.0303869977734152,-0.0449178072967187,0.178880097798393,0.0061779981394809,-0.00259435011509703,0.0109380344522233,0.277074552109078,0.00740808260688743,0.00050866617829245,-0.0324674745215984,0.0526835697913651
"SW_9720","150","2","7","3",0.000509746165794931,0.0052410752650513,0.00575911280724744,-0.373140055206621,0.0331301375901243,0.0574392187865431,-0.0207957134959266,0.0250431912572069,0.335004301481093,0.0432612812580017,-0.00653134359154242,0.0202079262408512,0.333537759037331,-0.0267170773908751,0.0219729170511685,-0.0130109150822024,0.0350200972600042,-0.0292998113155682,0.419789553904359,0.0195733407130804,0.0121838421607596,0.019790150188745,0.349328428427216,0.0140253484525221,0.00181073982155767,-0.0275602914015978,-0.0150420907190169
"AMERISTAND_803T","151","2","7","4",-0.0131319766039798,-0.0118582131683639,-0.0154288011416766,-0.724606842517268,0.0311185244468506,0.0458188085628398,-0.0287909605005021,0.00192184500544257,-0.00180378116174567,0.0307716926588438,-0.0176152700858515,0.00422102558078471,0.117749875292777,-0.0146696170123067,0.0165912128340962,-0.0233260800189782,0.0418751708775102,-0.0382604396909999,0.205189204094224,0.0270645083713942,0.00914627870301163,0.0126175901720691,0.0315317081073826,0.0128952407921828,-0.00484227185022613,-0.0344450378129589,-0.241228870954746
"SW_8421S","152","3","7","5",-0.020084284269916,-0.020632121431868,-0.042236853661489,-1.12704906431282,0.0275973255859259,0.0348340775183342,-0.0374977103532216,-0.0190744550930288,-0.648349689334212,0.0293578980350352,-0.0236360223805473,-0.0121589308722122,-0.395149106304826,-0.000456325042673868,0.00656190495164888,-0.0377158866139307,0.0263245391881751,-0.0538147441977061,-0.372111769496573,0.000602389508010194,-0.0117149566461804,0.0117127388009176,-0.466141605086467,-0.00120399316755767,-0.0119090943907578,-0.0331511779570343,-0.543597845314984
"NM1713PAR","153","3","7","6",-0.0114263839725337,-0.00580038542078984,-0.0382702465989353,-0.726672246075211,0.0289556688525213,0.0420201724400873,-0.0242041927558863,-0.00941356986819676,-0.309246931661269,0.0348321319800912,-0.0140512682368917,-0.00451404681763801,-0.158154061156714,0.0019883174222902,0.00365201218627296,-0.0445578667589554,-0.000690085570002893,-0.057354024371946,-0.254674654098807,0.00970959195989078,-0.0109835398106685,0.0179704769868531,-0.259241592737176,0.0058274810325132,-0.000320083283156779,-0.0306523115888436,-0.210742862142133
"NUMEX_BILL_MELTON_FG2011","154","4","7","7",0.00368645538497298,0.00317509528148024,-0.0141103033978885,-0.134372574026191,0.0332007829698419,0.0514693538742369,-0.0229929958771115,-0.0101282855225135,0.0339355906229665,0.0460924785492845,-0.00886619038573312,-0.00399679358641436,0.00672427752067598,0.00384693551137698,0.00364433100052037,-0.0524180921900826,0.000687816420510597,-0.0644847940882481,-0.0386977221445251,0.0080958771116496,-0.00656273436550263,0.0235776578959963,0.021026664165331,0.013123763747417,0.0014471307607885,-0.0445257986955136,-0.0247432274095526
"TMA_990","155","4","7","8",0.00210469703963072,-0.00693258640135231,-0.0109843978887392,-0.348306400619746,0.0409386742948565,0.0571535588247397,-0.0192619114051204,-0.00823570067190025,-0.039576840196784,0.0494144152912062,-0.0127355178678033,0.00332584865274768,-0.0908674578172113,0.00447660040690458,0.0113602862683748,-0.0483354249506591,0.00984360981831493,-0.0676439452748509,-0.284517674698166,0.0055068043954314,-0.0116684756958955,0.0133250819868656,-0.0998560198341824,0.00366139631985022,-0.00789915256490204,-0.0553054015999217,-0.156524477730193
"NUMEX_BILL_MELTON_CA_2019","156","4","8","8",0.0143422292239717,-0.00583973654263483,0.00225964850939384,-0.49473740304397,0.0202269452428151,0.0406698621569544,-0.0494055491421181,0.0182328790322433,0.0322051632323407,0.0376280524150848,-0.0216998883610778,0.0270534655129347,0.285290326927573,-0.00716788082696979,0.0181384866651788,-0.00346982705968415,0.0255392472331265,-0.0346612198138724,0.0904124329016958,0.0013736253770177,0.00808007396828803,0.00856212723996446,0.179832961614409,-0.01343603252562,0.00980722201305178,-0.0202691708800935,-0.107616421935107
