"Germplasm","Rep","Plot","Row","Range","GNDVI_73","GNDVI_88","GNDVI_95","GNDVI_101","GNDVI_107","GNDVI_117","GNDVI_131","GNDVI_138","GNDVI_145","GNDVI_152","GNDVI_160","GNDVI_165","GNDVI_173","GNDVI_179","GNDVI_187","GNDVI_192","GNDVI_201","GNDVI_206","GNDVI_215","GNDVI_223","GNDVI_228","GNDVI_237","GNDVI_242","GNDVI_257","GNDVI_263","GNDVI_270","GNDVI_278","GNDVI_283","GNDVI_293","GNDVI_299","GNDVI_307"
"NUMEX_BILL_MELTON_CA_2019",3,310,2,6,-0.015798355752991,0.117394388868902,0.237748834950139,0.315903824559505,0.371369731280721,0.401906193035246,0.0578412950370254,0.118195882094527,0.351571713213963,0.395240381216342,-0.0402038670839299,0.0661520774814437,0.271499245861354,0.32934405494232,0.0164404104428412,0.032755492478355,0.0987272395548258,0.136026466920429,0.00821385670144269,-0.00475317095859931,0.0332744641438688,0.104341017525103,0.0754454086928604,-0.00995446634539319,0.0103516409095154,0.18219781055746,0.354512675498588,-0.00209090277440453,0.176020930905619,0.158687593827761,0.356991678175025
"NUMEX_BILL_MELTON_CA_2019",3,311,2,5,-0.0300273478845242,0.131527842583442,0.223172533932787,0.331698476811391,0.359247366806422,0.378174724098432,0.0548211075317281,0.131310006018289,0.351690601742427,0.390620713140018,-0.0343320862879349,0.0740254064653308,0.277100050079315,0.349529124731917,0.00962843686475588,0.0266396606851179,0.133425049161919,0.13560415949329,0.0121669962505735,-0.000712053280482362,0.0465147362957857,0.0960616882193116,0.109118227050414,-0.00933510525274769,0.0545737492509134,0.165173279884166,0.379317768464146,0.01764189614119,0.199279723248554,0.178480666488587,0.363468080109714
"NUMEX_BILL_MELTON_CA_2019",2,312,2,4,-0.0234193919951792,0.151566198173093,0.213904843453748,0.289892061234562,0.331629011055524,0.425899301160784,0.0527500963542855,0.0945380919031737,0.327580088000331,0.360844160571356,-0.0328799253444061,0.0664695379274588,0.270410012832433,0.336313183470993,0.0176378877740009,0.0492144414732224,0.1335664032581,0.129516839363126,0.0357905839192452,0.000980317861617202,0.0385019481421398,0.0860086324394977,0.10672105346457,0.00877838312793103,0.0646594841358513,0.183457384959798,0.36767507953115,0.0124956349357271,0.186426183890067,0.186507905281665,0.342246046092915
"NUMEX_BILL_MELTON_CA_2019",2,313,2,3,0.000177576157345431,0.179440822233396,0.230716382599017,0.32085025865114,0.3627792951181,0.423150807550689,0.0703197354847173,0.131398681313704,0.323208274160284,0.377421923486774,-0.0228409670013345,0.0803105926780038,0.278720948123641,0.349473231683705,0.0259782513234201,0.0669166451282844,0.149308870206245,0.140286350013229,0.042413290193774,0.00720592696480576,0.0450428747779008,0.0834256736877086,0.112283090524132,0.0330787833752201,0.0867398126975543,0.20608291430737,0.381713155440147,0.018863746711127,0.213937934036596,0.190772331967423,0.35440665576071
"NUMEX_BILL_MELTON_CA_2019",1,314,2,2,0.011365284817347,0.181943323681587,0.233232158213816,0.32586126249924,0.384097657685919,0.45237257783687,0.0629600860640888,0.153358846406649,0.365588952649002,0.402285417953881,-0.00314050817010875,0.0881019054079343,0.302507600920124,0.366525731282072,0.0330599747927958,0.0607286524620434,0.121286979141189,0.121895052473763,0.0393024744731266,0.0030851481230478,0.0325847591363745,0.0785596985281417,0.100027339092639,0.0542461156003889,0.0929566840865292,0.213844010131832,0.395558457832709,0.0157767695592036,0.211234019319768,0.187267540496258,0.367760513859557
"NUMEX_BILL_MELTON_CA_2019",1,315,2,1,-0.044321296776919,0.124005878088957,0.18385031471968,0.29917865974672,0.38603429140583,0.447466014564593,0.0738833129391168,0.177762828131694,0.376276209682443,0.410061973509363,-0.043238374016995,0.034865311304521,0.174144373241108,0.20725247140251,0.00773727186797236,-0.0217578696382704,-0.0376382090836872,0.00783476815315693,0.00637365183919387,-0.0277327532962754,0.00677718759370164,0.0652288358665196,0.0243613595025025,-0.0584588491297321,-0.0856551130332033,0.225696854752995,0.101334829549054,-0.0172365689212408,0.118246598436018,0.0875412730677345,0.26642759536778
"NM1703PAR",1,316,3,1,-0.0650608916023813,0.136170402904931,0.199533574350772,0.295940532912183,0.397406525899417,0.434003343344108,0.0973086316940054,0.181356660790433,0.379167100401492,0.411873700097035,-0.0420755422232023,0.0729942895143101,0.143200062808757,0.200973220371664,0.0175088827528326,-0.015703706837643,-0.0367757998903384,0.00694026864600618,-0.00401577203636896,-0.0377427033666703,0.00960082847267832,0.0445809707931647,0.0164278169828668,-0.0800703322365209,-0.0885501235151445,0.226690244191163,0.120039281235734,-0.0105692481001226,0.117764977109866,0.117938481210783,0.280409387848199
"AFX_779",1,317,3,2,-0.0110766886582872,0.202621562623118,0.252205596077654,0.332635013652601,0.39948585152545,0.434133493470714,0.104966369997962,0.177449825042017,0.390908804613227,0.418374035941185,0.0314811845878653,0.172563409651493,0.300141874923271,0.382868903380892,0.0413399986959329,0.105698113815553,0.18456025480268,0.150023240979244,0.0445117667354125,-0.00623309132183224,0.0403573206790111,0.0813920811429428,0.099995842809754,0.0442179670435565,0.0819829884867581,0.211473251348235,0.407986506094074,0.047211656554212,0.233013972435355,0.196105078344506,0.39369143081268
"NM1703PAR",2,318,3,3,0.0121099086650088,0.215738239719186,0.259257591917753,0.317919170261737,0.38952796370524,0.417508937449573,0.0879192252903059,0.14675946375544,0.347298423156591,0.402321492929707,-0.00644472707318832,0.146281095538201,0.263920231774976,0.364563573079338,0.034626353087391,0.112714510142057,0.223060859802794,0.192276261555033,0.0510857815990191,0.0176286820101666,0.0700445644697693,0.104720262077716,0.12204173691868,0.0312468780615638,0.100660842160195,0.152540401257646,0.381446854658797,0.0580737495560886,0.236381018255902,0.198240959352237,0.384282646589334
"SW_9720",2,319,3,4,-0.00968300214176063,0.162591428214572,0.217991515042251,0.277678056657666,0.341083706553965,0.384265076441593,0.0689927744565531,0.109696551586604,0.320851389566178,0.371431655460738,-0.0184957386673906,0.117706217046335,0.234901972558321,0.334812555155932,0.0368945624577699,0.0757345587937577,0.149645110200005,0.13055382382224,0.0382207009668278,-0.00598310065124939,0.0419872945168297,0.0836313250739152,0.107762743466056,0.000659055399865407,0.0457157494160137,0.0804760634039601,0.36324944900135,0.0433435218576189,0.188293377022102,0.171164339375273,0.356573448363625
