"Germplasm","Rep","Plot","Row","Range","NDRE_73","NDRE_88","NDRE_95","NDRE_101","NDRE_107","NDRE_117","NDRE_131","NDRE_138","NDRE_145","NDRE_152","NDRE_160","NDRE_165","NDRE_173","NDRE_179","NDRE_187","NDRE_192","NDRE_201","NDRE_206","NDRE_215","NDRE_223","NDRE_228","NDRE_237","NDRE_242","NDRE_257","NDRE_263","NDRE_270","NDRE_278","NDRE_283","NDRE_293","NDRE_299","NDRE_307"
"SW_1011",3,320,3,5,0.43888902160747,0.400669896193772,0.414013206162876,0.405988607024822,0.41995737158123,0.433237055505963,0.362450543181809,0.389789249032946,0.393524646942706,0.429803259053143,0.36591851705806,0.37903992789042,0.36829748803605,0.41054399707296,0.435448785112009,0.406049278883593,0.398098481623386,0.402431511806666,0.326858798474475,0.45013009694464,0.454366559853513,0.458834896277352,0.214809622263076,0.515273143571154,0.43123770689277,0.290598212810997,0.401190858343169,0.301742109483199,0.360648532263332,0.278142968228066,0.288101071392864
"NM1715PAR",3,321,3,6,0.469328572346303,0.417500681556045,0.424295855700647,0.41000466853408,0.447422066720121,0.429745617704095,0.402093632348414,0.412032334301242,0.37746659619535,0.424648303765951,0.316839598977536,0.417286607506598,0.351855203619909,0.398676443208078,0.45117868726413,0.413312779962106,0.410044045999271,0.422620205918084,0.35604142824445,0.45405118088928,0.457795711838081,0.408096801929328,0.170481676858817,0.528631337904694,0.448826326665042,0.261911150529441,0.359904771900876,0.384029711674162,0.3869355261857,0.300346662083927,0.314541961063032
"AMERISTAND_803T",4,322,3,7,0.445067187097821,0.414836866939289,0.430289550307344,0.420707335020712,0.467941655096221,0.437489722887647,0.402845285540965,0.387568654912946,0.382533724128818,0.474338911456341,0.358427962180433,0.401112948526131,0.378096116658208,0.415908649522805,0.433171302672718,0.405086202315708,0.39513294524426,0.40232593297477,0.34955480390744,0.447693447675936,0.444285825969913,0.445242107628356,0.194541456687426,0.49253070086166,0.446558991383491,0.289682202604267,0.397153492337279,0.380280799559489,0.360825106633752,0.304887358033886,0.311225234564245
"NUMEX_BILL_MELTON_CA_2019",4,323,3,8,0.459718946021135,0.411506860672387,0.409923187174817,0.414267201133327,0.448460951544797,0.438489845410261,0.385229504445553,0.377838656830253,0.380308672376445,0.48626085001902,0.434524880752355,0.416167514616323,0.330892285619689,0.407567433721203,0.457580830843316,0.340968317053015,0.370787043908303,0.306861585748722,0.45339395497835,0.480612606761487,0.453199384404925,0.434164451799475,0.412522252710785,0.540643870004749,0.436704026925276,0.304392506631024,0.373586244323863,0.372567918733759,0.374854130320886,0.285828152399171,0.289198440570258
"AFX_779",4,324,4,8,0.460202573930919,0.413310349166405,0.419709864556941,0.41960179526356,0.454222048921687,0.436522643245332,0.4014637976759,0.378740727060055,0.400321124978478,0.4864912262568,0.465582297594291,0.402729173775713,0.365333296545635,0.419449460206971,0.460007465430805,0.36787222286898,0.368456980256745,0.322235598285665,0.440989500474254,0.460793793219547,0.455300793469139,0.391609080119686,0.419883513082503,0.473904288713977,0.443267961870242,0.278978450586011,0.397298262769132,0.344003420572146,0.391571377100163,0.324744543134699,0.308465115951074
"NM1702PAR",4,325,4,7,0.448242310770739,0.410488745180948,0.411466982997232,0.404931195695851,0.4511284315461,0.430348549676281,0.412172935430277,0.358897063098744,0.343709834352365,0.496206729605422,0.498620834726702,0.395694695430299,0.306674024206305,0.376114646193611,0.393235521350113,0.431350660504493,0.402372492443361,0.402058264666487,0.315661125381122,0.444319903505288,0.446915388723583,0.466632442067736,0.192632385548454,0.491992262591311,0.43719949829909,0.288122285652422,0.394483702439854,0.249053770296581,0.357218463999798,0.298178124349721,0.298142864110818
"NUMEX_BILL_MELTON_CA_2019",3,326,4,6,0.446625983997678,0.401252888749083,0.41835485644935,0.401716082744971,0.443441016039575,0.408226421790436,0.383167318318281,0.367596740053487,0.392418927955091,0.453956022753505,0.388524745789427,0.409312719286733,0.333460986646066,0.374340907788994,0.382978526068201,0.431852797880895,0.38297592912573,0.380577838249438,0.358633168404029,0.447464643938762,0.445192263675898,0.469815789913578,0.223473449840904,0.515865978744439,0.432117596717763,0.30802431682661,0.386122072034254,0.285854197458981,0.354903220523674,0.282064536855517,0.292536703323539
"AFX_149092",3,327,4,5,0.437253295930677,0.41003418265702,0.429816722369399,0.429829035062301,0.431391119025057,0.427710559336857,0.379028777156064,0.37688006726069,0.425358262561712,0.457664695507833,0.392715109150207,0.377377014025278,0.397135175757844,0.425263276548014,0.385158945304632,0.408698858429985,0.398619354084759,0.402431109144855,0.261357092195575,0.442304979545775,0.450338994818906,0.488406131421025,0.175579247330533,0.499203643395074,0.433932571745001,0.254829175671118,0.408138487562335,0.175046854082999,0.36541716268904,0.322639628695138,0.298765451454214
"AFX_149092",2,328,4,4,0.434043637235509,0.415970163075965,0.413239845780829,0.403838309830564,0.425408785810199,0.446956749517303,0.392085088590049,0.35363905366068,0.40788798263843,0.455730410245279,0.426527815839956,0.386290609059331,0.371447411985432,0.41332216833687,0.389386110624184,0.442740920309812,0.406257889372106,0.40359761136489,0.247628116914249,0.441990010687256,0.455343327992676,0.420421242665864,0.195964781164251,0.479220587179065,0.426982089369766,0.267813912568638,0.409174943991752,0.188562061872532,0.364034746716224,0.324079340528974,0.316638811611679
"NUMEX_BILL_MELTON_FG2011",2,329,4,3,0.454691749287993,0.415846157072455,0.430121182518084,0.39555260399247,0.427931891467863,0.428404290826436,0.415269550589401,0.346424210709925,0.383189788065522,0.484989798388491,0.494036561993218,0.399159513872483,0.321160100062539,0.407215949124018,0.417423650263046,0.451349659208312,0.401780018568139,0.399086780495106,0.226768711375601,0.449320353527643,0.447224956130312,0.388382258571878,0.175265568163703,0.488226197341682,0.42519314582713,0.287127611290853,0.378786037009102,0.177645987404681,0.393091746817583,0.279852767768809,0.305853958498822
"NM1704PAR",1,330,4,2,0.453532976175763,0.420797986788298,0.435963352494432,0.419713362617774,0.444970961914573,0.429831637028869,0.398539134490067,0.331208209779638,0.405089350422628,0.492083475456603,0.326034350892088,0.375748272011423,0.347298679321635,0.410910616249138,0.379936207963153,0.449860833970071,0.403114661502461,0.409809579193297,0.22297255165697,0.438002363636511,0.447414549477378,0.440595590324791,0.232872107675159,0.434453609875323,0.416593312549667,0.279660528471316,0.45056933696155,0.219863051594087,0.363161914299931,0.313061977723504,0.320344431261065
"TMA_990",1,331,4,1,0.471442927107905,0.404431582258572,0.441645891614491,0.438087515449588,0.460052794351942,0.448204238960542,0.408154103720239,0.382847668982123,0.451231646426183,0.452166372721928,0.302276674469531,0.369625254831964,0.33653311027773,0.381066263089912,0.431993218270232,0.440927256858942,0.425052478634351,0.439767536549647,0.342465010215067,0.427241492809809,0.471199420528093,0.446784347157448,0.434474569999807,0.568277868240722,0.451585563622111,0.287036838094762,0.379786322595763,0.450586485375051,0.344571153228397,0.316384388294838,0.288958916900093
"NUMEX_BILL_MELTON_CA_2019",1,332,5,1,0.475111172973012,0.413251294956485,0.444791573929036,0.436604515410287,0.450784199557908,0.449564875724045,0.376925761489215,0.359131187920115,0.438921188242501,0.468549469170384,0.36817977511929,0.387317108465202,0.368533090534525,0.436801669094374,0.392996973634542,0.447594599002109,0.407115807867066,0.427714836986098,0.315400968476933,0.438554409844291,0.479045067639459,0.394183842334888,0.484593759603443,0.573130639799172,0.441702895608312,0.270807841788942,0.376045055974172,0.439626264236499,0.357243658786997,0.296971207026843,0.297550694437099
"NUMEX_BILL_MELTON_CA_2019",1,333,5,2,0.450334084362031,0.402680926916221,0.43256119480557,0.408887440033485,0.423311257588537,0.425823880079935,0.389136751165919,0.348484786071291,0.432077142556072,0.481742586333426,0.372147978584875,0.392239458925025,0.344755041617787,0.40503861142987,0.359935299033288,0.443969064073218,0.393920487548351,0.409379368979626,0.214729288938999,0.443295627828526,0.451306744487678,0.435633008283527,0.462817106811193,0.451562585818641,0.419536793791708,0.27340936629483,0.436111029452594,0.192490583369999,0.364256155401447,0.295029359362117,0.282707610407347
