"Germplasm","Rep","Plot","Row","Range","NDVI_73","NDVI_88","NDVI_95","NDVI_101","NDVI_107","NDVI_117","NDVI_131","NDVI_138","NDVI_145","NDVI_152","NDVI_160","NDVI_161","NDVI_165","NDVI_173","NDVI_179","NDVI_187","NDVI_192","NDVI_201","NDVI_206","NDVI_215","NDVI_223","NDVI_228","NDVI_237","NDVI_242","NDVI_257","NDVI_263","NDVI_270","NDVI_278","NDVI_283","NDVI_293","NDVI_299","NDVI_307"
"NM1704PAR",1,131,4,1,0.458291416,0.454598005,0.443913036,0.497868504,0.511062864,0.508477088,0.41974761,0.433346206,0.532859146,0.548689751,0.547383164,0.689808482,0.381764053,0.41415186,0.49327908,0.390276276,0.437731682,0.40710369,0.452121377,0.311911927,0.449769705,0.384737821,0.45439177,0.436601857,0.376086345,0.428349224,0.471597785,0.491199332,0.371322705,0.44198609,0.444850054,0.482272635
"NUMEX_BILL_MELTON_CA_2019",1,132,5,1,0.451439421,0.448683027,0.442598173,0.476580574,0.494793964,0.530457584,0.403809046,0.429762591,0.528209148,0.531083178,0.519278436,0.552165983,0.386592982,0.423822426,0.489254316,0.349576155,0.433406712,0.378983334,0.441172256,0.304017589,0.443888665,0.376843171,0.465289724,0.39379248,0.41949573,0.406365646,0.445794121,0.458724322,0.382612887,0.417449854,0.422847914,0.439556081
"NUMEX_BILL_MELTON_CA_2019",1,133,5,2,0.444225724,0.442968535,0.440886217,0.47688442,0.481086761,0.514233829,0.352897728,0.431485658,0.478346086,0.479682367,0.55464666,0.55877793,0.396260551,0.373601514,0.437678929,0.359758288,0.443034698,0.391729818,0.434573459,0.333724982,0.4486389,0.368599276,0.466241791,0.414129834,0.392406306,0.436748637,0.517500261,0.480557004,0.392354927,0.428901124,0.438104002,0.439182588
"NUMEX_BILL_MELTON_CA_2019",2,134,5,3,0.454107034,0.445379436,0.443406906,0.465585412,0.463937048,0.491624582,0.352674328,0.444308298,0.462674226,0.473534637,0.538676422,0.563246694,0.41362207,0.404912077,0.441173144,0.344612315,0.443144921,0.387594035,0.444649483,0.309741944,0.449908145,0.360162229,0.47670638,0.430473313,0.340043755,0.444304522,0.489683382,0.490959178,0.387443032,0.438688142,0.442010234,0.449035328
"NUMEX_BILL_MELTON_CA_2019",2,135,5,4,0.43775065,0.429444033,0.438421601,0.440431606,0.454996985,0.484592899,0.350002027,0.439739389,0.4679844,0.468106477,0.529459948,0.56623347,0.412900658,0.400789285,0.445927905,0.326528215,0.428104209,0.396063648,0.45027824,0.322534101,0.44413651,0.345905116,0.487959872,0.442709194,0.328446763,0.446711062,0.497499144,0.505316458,0.375973947,0.394406437,0.425943296,0.428698245
"NUMEX_BILL_MELTON_CA_2019",3,136,5,5,0.440455278,0.439667379,0.453753739,0.455248019,0.447425214,0.47462346,0.374894355,0.443549356,0.463255414,0.46464028,0.516309256,0.567966256,0.392226827,0.386489902,0.420178653,0.289014898,0.436055286,0.373909428,0.409989721,0.289626098,0.439162049,0.355971395,0.423799196,0.380352122,0.320127516,0.416000726,0.480064854,0.443963115,0.399852812,0.387909141,0.411609484,0.397027252
"NUMEX_BILL_MELTON_CA_2019",3,137,5,6,0.446176806,0.443729575,0.457070897,0.468955411,0.460008423,0.492978797,0.345477938,0.45164789,0.465659848,0.480835668,0.544263456,0.572001824,0.417760597,0.404418315,0.46153672,0.315992385,0.439072579,0.368242538,0.447517824,0.2799601,0.445556413,0.355787632,0.438549499,0.394925505,0.309389035,0.418551453,0.497930395,0.450207659,0.390713275,0.407012138,0.424489015,0.412693187
"NUMEX_BILL_MELTON_CA_2019",4,138,5,7,0.447043959,0.443194201,0.457585361,0.469669782,0.469052711,0.499826232,0.374839702,0.457107674,0.483000797,0.486283292,0.529615676,0.573324213,0.43260971,0.393550197,0.440319201,0.301202171,0.443371447,0.351489298,0.435562189,0.253447267,0.44851998,0.353424977,0.420024375,0.383850702,0.310282532,0.41980347,0.506400442,0.449778131,0.387883852,0.4063286,0.411968897,0.402771989
"NUMEX_BILL_MELTON_CA_2019",4,139,5,8,0.453933909,0.44454254,0.455482308,0.473058244,0.483106705,0.514752271,0.368614596,0.429840546,0.502013838,0.489875506,0.525998821,0.575079799,0.420698585,0.385477156,0.451719656,0.305621428,0.43835009,0.344702487,0.454118453,0.233730219,0.449474292,0.353339958,0.453670936,0.415857825,0.313360045,0.438775705,0.516339532,0.469613092,0.397498676,0.425097199,0.433999863,0.414119354
"NM1713PAR",4,140,6,8,0.447185349,0.450268956,0.454796593,0.471113671,0.46815938,0.514753955,0.357071483,0.428655531,0.453636246,0.456378938,0.501612708,0.578408573,0.420501089,0.386350109,0.412621882,0.298697615,0.433375316,0.316430785,0.412393537,0.208181661,0.413683827,0.323013554,0.505372843,0.374695303,0.277442814,0.403646462,0.520055384,0.428116399,0.386739099,0.418721989,0.423616816,0.409455535
"AFX_149092",4,141,6,7,0.439071465,0.444219927,0.457507838,0.463814123,0.470465637,0.548541577,0.337059683,0.431686598,0.501985507,0.501543902,0.535832587,0.581988144,0.424566893,0.40186477,0.472577477,0.279479305,0.441898991,0.393464904,0.473287757,0.255908491,0.448393187,0.373311828,0.514721191,0.434700627,0.317859049,0.441306714,0.492452986,0.492382399,0.385428425,0.445289184,0.454012022,0.447519232
"NM1705PAR",3,142,6,6,0.450111949,0.445616727,0.459423327,0.46673837,0.468284117,0.518208774,0.336395423,0.44206917,0.487016795,0.489686364,0.546665743,0.589078887,0.426622919,0.405246478,0.478627063,0.29615401,0.441991122,0.388991375,0.473583623,0.263882743,0.443680022,0.375446162,0.486238982,0.434278944,0.317838002,0.439127618,0.494194838,0.506228952,0.383183211,0.437478037,0.451600356,0.454638146
"DONA_ANA",3,143,6,5,0.450149043,0.458121018,0.465072627,0.479496625,0.484568549,0.499088896,0.369317741,0.425689124,0.519327181,0.508453159,0.516650306,0.601869585,0.402738498,0.411555281,0.489906334,0.291447434,0.431584734,0.37859491,0.468461896,0.276234521,0.44456681,0.370852638,0.466039048,0.425173724,0.328554951,0.413510462,0.462898589,0.495931891,0.378431373,0.432210626,0.445295947,0.440954367
"NUMEX_BILL_MELTON_FG2011",2,144,6,4,0.458107911,0.45667413,0.4615609,0.467151308,0.466770493,0.519598302,0.354079363,0.432369762,0.471307824,0.487173975,0.504644708,0.607660739,0.411561011,0.410561564,0.448133365,0.321784644,0.433228559,0.395225081,0.434072071,0.283437274,0.432516805,0.338768371,0.456471259,0.421993066,0.331114086,0.399877156,0.531078617,0.476212706,0.396659037,0.387175802,0.395466599,0.404443227
"SW_8888",2,145,6,3,0.450958179,0.451634845,0.463062186,0.474213525,0.48236115,0.505472516,0.312873287,0.419325836,0.495384578,0.498525954,0.484875028,0.609074327,0.410514197,0.411033786,0.490774095,0.322499958,0.431214839,0.406217189,0.462544206,0.311519149,0.442690116,0.401183526,0.459525973,0.442266347,0.349998232,0.432000321,0.548827325,0.512397833,0.38382562,0.421962694,0.434393461,0.442941804
"DONA_ANA",1,146,6,2,0.463192448,0.463065178,0.47665089,0.500349415,0.515924358,0.503851186,0.339305239,0.451885644,0.565094959,0.566794447,0.509921508,0.611559508,0.4117797,0.453405437,0.531352979,0.303647898,0.446576568,0.436740822,0.499867834,0.325913681,0.466716531,0.396162312,0.460868504,0.477388302,0.36081799,0.467426978,0.528139126,0.539374682,0.393692272,0.471811179,0.473577734,0.492585518
"AFX_149092",1,147,6,1,0.450269559,0.44231065,0.441596507,0.462966305,0.476930197,0.494091408,0.378810461,0.432218721,0.524948326,0.52914341,0.468384376,0.613178295,0.394257045,0.438039642,0.506389596,0.322959105,0.433601404,0.40532725,0.470668926,0.331016384,0.462990811,0.399655259,0.424281514,0.448628321,0.413335699,0.450683883,0.515742398,0.529347207,0.377010605,0.455856477,0.463629678,0.476851736
"NUMEX_BILL_MELTON_CA_2019",1,148,7,1,0.442425541,0.447458613,0.453579317,0.476084078,0.488567573,0.520794585,0.326566479,0.424927912,0.505617902,0.540389007,0.481387913,0.48499772,0.402222576,0.430335263,0.507408428,0.378636672,0.427276243,0.43592831,0.482819271,0.327269895,0.45284194,0.402330273,0.501978092,0.474436522,0.409135674,0.45428453,0.496336802,0.529996195,0.375495596,0.433780776,0.455527283,0.470055863
"NM170506PAR",1,149,7,2,0.447695342,0.45125484,0.457915594,0.476366607,0.480088796,0.507787081,0.309617945,0.425024204,0.500413191,0.535161069,0.48264456,0.485316917,0.411273536,0.431695995,0.497549343,0.359712174,0.429274864,0.414537127,0.480193165,0.308865963,0.448690077,0.402895823,0.500077602,0.466819559,0.41430025,0.465735974,0.505176195,0.525974794,0.38609613,0.46225136,0.465899982,0.483028137
"SW_9720",2,150,7,3,0.446439824,0.444392438,0.45248849,0.467546758,0.476165264,0.500187575,0.297919702,0.422660241,0.468594217,0.523537636,0.489841454,0.486454812,0.407559017,0.416029813,0.474015496,0.368253862,0.441215898,0.391498463,0.463346654,0.297409263,0.435534424,0.372651478,0.480562451,0.454673348,0.342724584,0.44189744,0.542009054,0.502048211,0.367797218,0.433362793,0.443482993,0.42812896
