"Germplasm","Plot","Rep","Row","Range","ndvi_145","ndvi_152","yld2","ndvi_160","ndvi_165","ndvi_173","ndvi_179","yld3","ndvi_187","ndvi_201","ndvi_206","yld4","ndvi_237","ndvi_242","yld5","ndvi_257","ndvi_263","ndvi_278","yld6","ndvi_293","ndvi_299","ndvi_307","yld7"
"NUMEX_BILL_MELTON_CA_2019","122","4","3","7",-0.00757205080538677,-0.00756054905041476,-0.474087024215825,-0.10208202497318,0.0135422083157183,-0.0260284844849213,-0.0122580457602717,-0.650561373983569,-0.0521678522849108,-0.020713169973924,-0.0243117196265954,-0.65471211548182,-0.0150631506053452,-0.0602573128468494,-0.552178953352801,-0.00923023835161477,-0.0149926252669645,-0.0144490244535213,-0.460805550360365,-0.00108387739385139,-0.00116036826733681,-0.0185742434570324,-0.213180366088152
"AMERISTAND_803T","123","4","3","8",-0.00278034184130784,0.00174816633686974,-0.621373492367819,-0.0464633493320778,0.0109573294351567,-0.0281698715957576,-0.0128238895484369,-0.685397734231201,-0.0710903252287307,-0.010789377088332,-0.0237069965245435,-0.634064810892316,-0.00693563571358534,-0.0519818355488337,-0.492063386317456,-0.0104819408868154,-0.0100028629547409,-0.00332336790886992,-0.420557613279734,-0.00239539016447634,0.00406803981060068,-0.0208903026904365,-0.263977665014713
"NM1702PAR","124","4","4","8",0.00715474330584976,-0.00527602013859762,-0.477398555413654,0.0809681805072615,-0.00775943544919623,-0.0114139804351887,-0.00598266756599546,-0.394442271233498,0.0115630689450781,-0.00477264463819899,-0.0203043765149669,-0.351625929685823,-0.0192227232154644,-0.0479740534506281,-0.441402662632407,0.0267432826153638,-0.0165329338271838,-0.0373772646474831,-0.229810781772157,0.015530637452658,-0.00255540733253712,-0.0227691024718689,-0.0882135979322822
"AFX_779","125","4","4","7",-0.00990336347963579,-0.0297233046781973,-0.754569021144487,0.0540321663683202,0.00298516223847573,-0.0254906622541638,-0.023168500058542,-0.658653792143319,0.0580774105798543,-0.00864495519416691,-0.0197394944776605,-0.591370553748741,-0.0238261228099716,-0.0427599259295192,-0.388951676261707,0.00259222620293543,-0.00728473663843085,-0.0255499085627376,-0.347376052197745,0.0223156250553881,-0.00184520092472158,-0.0212586853712102,-0.0792159358727314
"AFX_149092","126","3","4","6",-0.0211292592049365,-0.038384907146611,-0.817084211831519,0.0337519214802113,-0.00191610082132415,-0.0269999762265719,-0.0252729489875632,-0.633627116242873,0.0364650108871521,-0.00471898081950174,-0.0163439162639489,-0.538275041716016,-0.0138628499375678,-0.0358502054337679,-0.286058159050332,-2.98008760657987e-06,-0.00835127273916603,-0.0201128233733897,-0.288391456500606,0.0242807856367202,0.00364920812560479,-0.016899465332585,-0.138524541106408
"NUMEX_BILL_MELTON_FG2011","127","3","4","5",-0.025061579638534,-0.04791238352995,-1.15412741935476,0.028803080965894,0.00720234491560744,-0.0295198896878234,-0.0338795961350464,-0.909145292258961,-0.0567944930507786,0.0128484805614865,-0.0165208217770275,-0.700515833010599,-0.0173460910706245,-0.0424887690389391,-0.402749660447427,-0.00773862709118015,-0.0114066475595792,-0.0239090692973389,-0.415941345872585,0.000152248266855675,-0.00618162377427843,-0.0332302318610158,-0.383060052639323
"NUMEX_BILL_MELTON_CA_2019","128","2","4","4",-0.0347981446734119,-0.0623438711790347,-1.49853855030303,-0.013269612023026,0.00408827616533105,-0.035363672750728,-0.0459263800348725,-1.44652636374112,-0.0627988722896985,-0.0160611986273511,-0.0325099133621893,-1.12860278692582,-0.000200822202423417,-0.0714574144738953,-0.991336825728238,-0.00853293339607509,-0.0331937943926851,-0.0465087472841316,-0.882223754433999,-0.00442908368032816,-0.0159758258259353,-0.0397263453230792,-0.770206181848515
"AFX_149092","129","2","4","3",-0.0182711383662365,-0.0342691956005077,-1.09637885013504,-0.0124345887719386,0.0230255744268422,-0.0206723562975094,-0.0223432398914026,-1.01858433871209,-0.00773521752215301,-0.0275608539904352,-0.0240018857110306,-0.934609722455902,0.00897366246111811,-0.0793733876941311,-1.01511358973965,-0.0179472344320629,-0.0309053711709553,-0.0421749275341475,-0.872548079546879,0.00590836539895466,-0.00967699596696774,-0.0284247463085603,-0.592219709771915
"TMA_990","130","1","4","2",-0.00143672749423846,-0.0131124654291188,-0.276848540927297,0.0214282020647273,0.0240247101210776,-0.0102400381138079,-0.0111625650529194,-0.449044263567236,-0.0137031614863106,-0.022938106804627,-0.0172956187893138,-0.515765982020709,0.0109336606297584,-0.071943224143275,-0.456207700940924,-0.0130169852582279,-0.026826633404606,-0.0241597235416078,-0.336067814578962,0.0169347894761083,0.000995374789798694,-0.0202308589811279,-0.172033464791467
"NM1704PAR","131","1","4","1",0.00242818822597407,-0.00650923675865504,-0.405533770222358,0.0472001986555552,0.0204118568811169,-0.0131532741174788,-0.0124279962729229,-0.459591108099953,-0.0204330574108286,-0.0207733654653135,-0.0175209429102724,-0.479509929581547,0.00497885649912571,-0.0632180072567152,-0.4094028342267,-0.0197442100700676,-0.0220467094755754,-0.0119173613099415,-0.28221592959576,0.0152566300636677,0.00614949557408701,-0.0231289272665296,-0.224465416782487
