"Germplasm","Rep","Plot","Row","Range","yld2","yld3","yld4","yld5","yld6","NDVI_73","NDVI_88","NDVI_95","NDVI_101","NDVI_107","NDVI_117","NDVI_131","NDVI_138","NDVI_145","NDVI_152","NDVI_160","NDVI_165","NDVI_173","NDVI_179","NDVI_187","NDVI_192","NDVI_201","NDVI_206","NDVI_215","NDVI_223","NDVI_228","NDVI_237","NDVI_242","NDVI_257","NDVI_263","NDVI_270","NDVI_278","NDVI_283","NDVI_293","NDVI_299","NDVI_307"
"AFX_149092",3,327,4,5,9,9.1,1.6,6.45,5.3,0.406796897863623,0.492418160847227,0.530488603998887,0.59342589909527,0.623595534868222,0.595302736479207,0.383427742686362,0.477656353642513,0.591792293801327,0.620761489781098,0.354074209915031,0.437535337791365,0.451198646894486,0.573574038040435,0.311278159364773,0.410353715122243,0.406590298008423,0.363305759369166,0.268852097691649,0.436835975815791,0.4113113366698,0.260375440883941,0.254667620228395,0.472214193635932,0.458557440948138,0.41110747463139,0.590972044239082,0.338674611299227,0.479312875166128,0.509376620473439,0.551246219880987
"AFX_149092",2,328,4,4,8.6,10,2.3,7,6.1,0.414860671835719,0.467965717845747,0.503731240931763,0.547064374115871,0.586107210385386,0.635342957695899,0.383466263677833,0.467826076509035,0.576912635587214,0.600721986211459,0.393823359251438,0.451099561645274,0.464331199646838,0.578698677838937,0.287439980485832,0.43927706957935,0.428527969534155,0.394974997755387,0.230171984247415,0.445229469038058,0.408300335698482,0.200055998528994,0.244916562563076,0.482237516424368,0.454131562766313,0.461254874994523,0.59895633008849,0.325286099569939,0.483263011845615,0.524873558885433,0.567420339831671
"NUMEX_BILL_MELTON",2,329,4,3,7.9,8.55,2,5.35,3.75,0.430244758988415,0.454139792387543,0.498504568105313,0.531552610408912,0.564291788586562,0.632510572856594,0.399244500518407,0.447984492942476,0.55846436593833,0.580418957706539,0.452382930065479,0.391200881959209,0.429892579921274,0.558587512457971,0.286026894029688,0.451563406967702,0.42397423091085,0.372200196406993,0.225227931639582,0.455844507291649,0.403887235828183,0.198630848275139,0.238855375853224,0.463103305047509,0.43855282748166,0.459130992384212,0.558275544750453,0.305325917709763,0.453144309442376,0.464790943374185,0.515250602728654
"NM1704PAR",1,330,4,2,8.75,9.4,1.65,6.8,4.8,0.420678420267349,0.487884072559505,0.51541606211757,0.550065571683219,0.589186749183482,0.60697956407299,0.385731952581415,0.461754616376465,0.581353129366919,0.591058292935871,0.313297402636948,0.414225427867319,0.45822444174668,0.573166211164515,0.295263084184528,0.45222949660193,0.416260384291837,0.351446821574285,0.241501337048246,0.443420309663848,0.393498321507591,0.212128278421343,0.24892397554243,0.288243704344483,0.443481012430646,0.45800139550405,0.617617921150494,0.284409538438029,0.466558644016553,0.492599691151828,0.56007488867123
"TMA_990",1,331,4,1,11.1,7.95,0.7,5.55,6.15,0.409732344655179,0.494238775296215,0.538920870839439,0.579660201299811,0.613565302205145,0.640472941313277,0.408058130480805,0.515866346538615,0.623058735440265,0.625325587024933,0.269744842738122,0.424444619436351,0.442483967878516,0.532598247102064,0.322435820740481,0.436885486894252,0.420924646157104,0.415557540361587,0.315936918073181,0.437433096119453,0.399499717582506,0.284593885294953,0.278852191489185,0.378938869665513,0.466842680589566,0.466764601784651,0.523801898866522,0.375521957109484,0.478305556080447,0.495555425708432,0.51971706593085
"NUMEX_BILL_MELTON",1,332,5,1,11.95,9.95,1,5.15,5,0.425092792850668,0.492958204886233,0.530101211343948,0.583660210924473,0.627196123220193,0.633020097933593,0.371806255874863,0.500364779395921,0.621089542617129,0.633714251132552,0.24544017863885,0.413234367637794,0.466265312879373,0.600306657758989,0.270749987710897,0.441325989324802,0.410440079726134,0.377589413487103,0.312791298966625,0.435931368463031,0.429429814561484,0.287223141601056,0.229391216748222,0.288098242757311,0.450898279238064,0.443300906403476,0.539781733681896,0.345716385922029,0.430625838514011,0.45109885696971,0.519703925447179
"NUMEX_BILL_MELTON",1,333,5,2,10.4,10.25,2.05,7.4,5.1,0.424751331930003,0.481679354094579,0.512304248406116,0.558489487749123,0.590015932023367,0.613991406517358,0.382645964103045,0.482170147470753,0.595882879815837,0.602864171498858,0.354510412916423,0.410364420645545,0.456827923952107,0.583170442807224,0.265509543299842,0.444256738256651,0.407249276684788,0.356977632656651,0.253274708547972,0.454854726753584,0.427413214312963,0.252082457795953,0.20951497727905,0.301129827496609,0.445079566385844,0.445892263042401,0.609493292569402,0.275802356594539,0.442000182662207,0.456368676792887,0.523627485820199
"NUMEX_BILL_MELTON",2,334,5,3,8.9,9.3,2.3,6,4.45,0.425698387292284,0.468014344133375,0.504047170469611,0.541558569678945,0.576427907123794,0.609364276630713,0.402382539784447,0.466827243718,0.589641116810212,0.594813950271467,0.386331503076198,0.414118178436686,0.452450010986596,0.58511016130135,0.243257921394927,0.445451872627392,0.414424902452348,0.371610595896274,0.259779949833611,0.454715297529418,0.419733539330129,0.253009043344533,0.187448371809921,0.47350939683832,0.451351477689921,0.455207690777876,0.578591577715779,0.303006383724269,0.442882991365469,0.447862339871715,0.50251647503094
"NUMEX_BILL_MELTON",2,335,5,4,8.6,8.55,1.75,5.85,4.35,0.425554794178319,0.460928677781273,0.501416349253327,0.530011751827168,0.56319139596137,0.58730682619956,0.389535432775786,0.458104609365114,0.574070471512292,0.593259602333798,0.44139911194221,0.424980495021109,0.457406290151388,0.564072444919384,0.237300441201976,0.443010375712652,0.411013262028713,0.390872860188965,0.272952818539146,0.460281737100942,0.428676600101538,0.243801588717725,0.192444035775132,0.492779047893667,0.448154460757345,0.454740068038258,0.576213316149315,0.321525068127309,0.445849158809042,0.452231117731025,0.508646579730519
"NUMEX_BILL_MELTON",3,336,5,5,9.45,8.6,1.3,6,4.6,0.416676539344384,0.479505420991926,0.531348919380111,0.589932603302703,0.622961911059941,0.641356371608472,0.36552930970054,0.479169445556,0.591357653945793,0.615031296469205,0.483863892155065,0.429066723346972,0.446566420189089,0.567319774679561,0.304112907638814,0.430385412104716,0.41344251621466,0.374988774135608,0.290899877268484,0.437409273436231,0.433026675786594,0.225935175434198,0.208709060921967,0.475650654725558,0.446247259142958,0.426585700465505,0.572898883608383,0.322874577111784,0.455795273457922,0.480189998909751,0.526702596161644
