"Germplasm","Plot","Rep","Row","Range","ndvi_145","ndvi_152","yld2","ndvi_160","ndvi_165","ndvi_173","ndvi_179","yld3","ndvi_187","ndvi_201","ndvi_206","yld4","ndvi_237","ndvi_242","yld5","ndvi_257","ndvi_263","ndvi_278","yld6","ndvi_293","ndvi_299","ndvi_307","yld7"
"NUMEX_BILL_MELTON_CA_2019","180","1","11","1",-1.1861858323536,-0.580143143752695,-0.614677578696842,0.0539289756409813,0.970769858711253,0.0150214595724615,-0.117157655871489,-0.488658700627499,-1.30682505569191,0.435930872068547,-0.0819547634373535,-0.222168756038419,-0.503337364779311,-0.514369420903677,-0.747766341957898,0.866630650511243,-0.641547859793001,-0.643570443421888,-0.737027028868345,-0.191546907825037,-0.661961188945607,-0.733491929607089,-1.15380614348565
"NUMEX_BILL_MELTON_CA_2019","181","1","11","2",-0.876037066652815,0.076161108668248,-0.428057120528997,0.0762654735838092,1.25816096402149,0.316825537629875,0.312246666270099,-0.105308589146086,-1.0627975803509,0.609993156141776,0.307110758546798,0.00402834718180565,-0.301356177188323,-0.157547298718437,-0.206111559613468,0.169652928582848,-0.109683356112371,-0.360891943771351,-0.288211549400343,0.0336458890584798,-0.219055891020854,-0.641991266597264,-0.502031383278068
"NUMEX_BILL_MELTON_CA_2019","182","2","11","3",-0.479077974769725,0.411008593148266,-0.28570383149947,0.0774573080336297,0.407809019498365,0.501704584350006,0.542226231163279,0.150409935315006,-0.99368320225401,0.493484126934411,0.610654471454671,0.107847569639485,-0.485238659954526,0.00596667459138289,0.0597280886540773,0.161300427720596,0.120365818811027,-0.246457873103068,-0.304089205426319,0.0581154949390872,-0.41522291310354,-0.713058460252944,-0.54022254631171
"NUMEX_BILL_MELTON_CA_2019","183","2","11","4",-0.413373708963922,0.197721491849131,-0.597616477378028,0.466801507674829,0.508283284236037,0.310861638832927,0.201550094997225,-0.234037428513183,-1.38413342928593,-0.86516748728201,0.0924938635663681,-0.152263484797736,-0.851453305178258,-0.352600504404689,-0.315279347076432,-0.107995849507767,0.0138951158684062,-0.853195394170372,-0.658048361670267,-0.270842003334813,-1.2483096226385,-0.894117486029115,-0.516407346227392
"NUMEX_BILL_MELTON_CA_2019","184","3","11","5",-0.297684903275322,0.29945509539838,-0.481657307092359,0.494445438764741,0.670091404548491,0.449271624541664,0.440751950249312,-0.175064480728098,-1.46582034898603,-0.257511523407927,0.327641779137089,-0.0388993276974523,-0.0193238295657438,-0.206420032154036,-0.147383985970449,-0.28386856769283,0.542224803493716,-0.00762199121900891,-0.404222064281525,0.227709871912762,-0.828870295062375,-0.491345007300533,-0.192913859236815
"NUMEX_BILL_MELTON_CA_2019","185","3","11","6",0.737540331398978,1.1036795226858,0.536339568123256,0.265130289671259,0.61847977790037,1.04545273506312,1.39796865534573,0.874153753845826,-1.37490052902706,0.841956766462043,1.14557087770204,1.00317645090305,0.758394874264761,0.204381289362613,0.972607817094647,-0.388201383281161,1.40006096926434,1.35570013949649,1.2422752446784,0.963666263383177,1.21019301076768,0.663972942750489,1.53840505780951
"NUMEX_BILL_MELTON_CA_2019","186","4","11","7",0.844624071768144,1.20993650489305,0.897636005180062,0.171489988512018,0.142143545508575,0.806104137669299,1.49522397073966,1.17017531240231,-0.930433148083877,0.598220047143988,1.2457901830788,1.19433556637111,0.64385286403174,0.316958884729568,1.28828573325415,-0.385331671225787,1.6025684327307,1.4792840448825,1.64351339438006,0.789962990020976,0.99939654688308,1.01869641439512,1.60426564105189
"NUMEX_BILL_MELTON_CA_2019","187","4","11","8",0.560211036739117,0.815374834105644,0.508234515530468,0.434421984706862,-0.00381277650691969,0.534416486578108,1.29556525512399,0.891274670389141,-0.957159022867771,1.03606693674106,1.08284012323931,0.897114974828369,0.458725239975973,0.0521690739882321,0.816336308962308,-0.565889546867163,1.37069037595774,0.897458377530566,1.10669173285353,0.220499679919651,0.842989889893778,0.665712981796166,0.841131905251177
"NM170506PAR","188","4","12","8",-0.738017359804813,-0.307414343379739,-0.375264198190221,0.24645116612984,0.806107051416079,0.0317565326623313,-0.0800000359121467,-0.394982647838421,-0.218060374091241,0.271402087578029,-0.0416421230870081,-0.278944030622581,0.876604906337379,-0.383238730784248,-0.785711160802219,1.42839511291398,-1.14063481136848,-0.836241855620725,-0.79858060373193,-0.0935368561216854,-0.763119505687042,-0.633748782220124,-1.22305397084073
"NUMEX_BILL_MELTON_FG2012","189","4","12","7",-0.438573281394161,0.172354970434718,-0.168217481243315,0.397986368413657,1.1167226362419,0.391356113234443,0.322483723454417,0.0451792183474737,-0.155676329233511,0.519257065346018,0.31596701538965,0.0525071072600549,0.875897995715599,-0.0399221526502746,-0.121360854223248,1.16824195883012,-0.605268320624337,-0.590205604557973,-0.246932369734389,0.168355486867125,0.0305505364742357,-0.580388489418012,-0.377882692577009
