"plotNumber","germplasmName","replicate","rowNumber","colNumber","name","value","trait","doy","harvest","GDD_sum","loc","year"
2123290,"HI-GEST_360",3,3,20,"GNDVI_130.5",0.302297348708494,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123300,"SW3407",3,3,19,"GNDVI_130.5",0.310288318354947,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123310,"SW4602Z",3,3,18,"GNDVI_130.5",0.309108204529818,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123320,"PERSIST_III",3,3,17,"GNDVI_130.5",0.279788729275365,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123330,"SW315_LH",3,3,16,"GNDVI_130.5",0.285280571889139,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123340,"N-R-GEE",3,3,15,"GNDVI_130.5",0.287064425869288,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123350,"NY2003",3,3,14,"GNDVI_130.5",0.318968153907148,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123360,"LIGHTNING_BOLT",3,3,13,"GNDVI_130.5",0.306437650352564,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123370,"PLUSS_III",3,3,12,"GNDVI_130.5",0.303615980753235,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123380,"NY1517",3,3,11,"GNDVI_130.5",0.277608798802818,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123390,"NY1614",3,3,10,"GNDVI_130.5",0.27308588766213,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123400,"NY0465",3,3,9,"GNDVI_130.5",0.267701571058948,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123410,"ALGONQUIN",3,3,8,"GNDVI_130.5",0.247592433367308,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123420,"FSG_415BR",3,3,7,"GNDVI_130.5",0.271143757241157,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123430,"LANDER",3,3,6,"GNDVI_130.5",0.229931637539237,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123440,"ONEIDA_VR",3,3,5,"GNDVI_130.5",0.217061442515953,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123450,"WL_358LH",3,3,4,"GNDVI_130.5",0.282521371508528,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123460,"FSG_421LH",3,3,3,"GNDVI_130.5",0.288101502957771,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123470,"AMERISTAND_427_TQ",3,3,2,"GNDVI_130.5",0.293810253286521,"GNDVI",131,"1",269.85,"NY-mus","2022"
2123480,"WL_349HQ",3,3,1,"GNDVI_130.5",0.275391395782135,"GNDVI",131,"1",269.85,"NY-mus","2022"
2124010,"VERNAL",4,4,51,"GNDVI_130.5",0.289019461232972,"GNDVI",131,"1",269.85,"NY-mus","2022"
2124020,"WL_349HQ",4,4,50,"GNDVI_130.5",0.332513741650702,"GNDVI",131,"1",269.85,"NY-mus","2022"
2124030,"SEEDWAY_9558_SBR",4,4,49,"GNDVI_130.5",0.322666318397938,"GNDVI",131,"1",269.85,"NY-mus","2022"
2124040,"REGEN",4,4,48,"GNDVI_130.5",0.32387941939695,"GNDVI",131,"1",269.85,"NY-mus","2022"
2124050,"VERNAL",4,4,47,"GNDVI_130.5",0.279076103158243,"GNDVI",131,"1",269.85,"NY-mus","2022"
2124060,"REGEN",4,4,46,"GNDVI_130.5",0.296102502033626,"GNDVI",131,"1",269.85,"NY-mus","2022"
2124070,"WL_349HQ",4,4,45,"GNDVI_130.5",0.317673798141623,"GNDVI",131,"1",269.85,"NY-mus","2022"
2124080,"SW5606",4,4,44,"GNDVI_130.5",0.340242041677988,"GNDVI",131,"1",269.85,"NY-mus","2022"
