"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","GNDVI_131","GNDVI_145","GNDVI_154","GNDVI_159","GNDVI_162","GNDVI_164","GNDVI_175","GNDVI_178","GNDVI_181","GNDVI_187","GNDVI_189","GNDVI_192","GNDVI_201","GNDVI_203","GNDVI_210","GNDVI_215","GNDVI_223","GNDVI_236","GNDVI_238","GNDVI_243","GNDVI_259","GNDVI_263"
"WL_349HQ",1,140,1,9,1.74,0.67,0.49,2.9,0.23655348333772,0.245815369394009,0.158573095395302,-0.0267394341531647,0.0280245258654678,0.0288397246378693,0.283112518393256,0.142381889690849,0.238294455450373,0.135676863709963,0.246336409830745,0.238052332166639,0.0999810283061912,0.0607792716301271,0.076807816667882,0.179800012757786,0.268022228799061,0.149819262268216,0.212124039530247,0.170425909326231,0.17531954711882,0.109647053646536
"FSG_421LH",1,141,1,8,1.62,0.56,0.46,2.63,0.24556975998741,0.259323397419109,0.161106684488352,-0.0219691048213382,0.0218062439192476,0.00938887831280834,0.260474385320313,0.149334354214974,0.240549698708686,0.130714812480981,0.22764289705596,0.227108998303313,0.0983931559358214,0.0604179763273456,0.0521616989110811,0.158749414741671,0.21872158272077,0.137916501604515,0.20047865776902,0.157522729328664,0.183692813730291,0.118901251350867
"SW3407",1,142,1,7,1.59,0.57,0.49,2.66,0.252125006947249,0.272188481396677,0.154607580588164,-0.02045161278047,0.0303078422764869,0.0334634978312448,0.289346433838393,0.175204496924322,0.24271049477291,0.140414438545948,0.233199108615118,0.222996827590878,0.104030743610278,0.0612824814522482,0.0984865587153005,0.190397304269385,0.258530523878771,0.186349095549867,0.227018649282218,0.176738759315274,0.183878866210352,0.129244377797383
"SW5606",1,143,1,6,1.64,0.54,0.47,2.65,0.284973453498176,0.28290402032638,0.18092114169154,-0.0176771908721608,0.0322466622281628,0.0349156034237582,0.297465073476917,0.204324067077378,0.264806676765278,0.148405621332235,0.231634836121624,0.23543350842921,0.111616933935528,0.0645637895898093,0.111342770603784,0.184322758074033,0.260912246307464,0.196086667841028,0.221685476630328,0.181649096397539,0.19495657049596,0.140907261666179
"EZRA",1,144,1,5,1.89,0.6,0.55,3.04,0.240865152005074,0.271440096229189,0.179567031729231,-0.0260073907946495,0.00913828315282772,0.00309065016586917,0.250809145419836,0.151690323463805,0.221740973060376,0.13864031133522,0.239203956980298,0.224146844432789,0.112872036203844,0.0611780977090448,0.0733737335924731,0.170053584219276,0.235401749148731,0.204944637254246,0.217701679263556,0.187859447866004,0.203847981877521,0.133105351903852
"SW5210",1,145,1,4,2.11,0.71,0.48,3.3,0.303045649229138,0.303772071538464,0.222495134584073,-0.0219931529882605,0.0165040119787456,0.0221110905785935,0.277554942955577,0.149456833010861,0.259654972010997,0.17673687936541,0.267076776571279,0.263389768063289,0.12944451326162,0.0768578766463244,0.0913993338325639,0.167004745694853,0.251318096833442,0.257423502954873,0.239018702655828,0.21151487268811,0.215797827279265,0.146101253480964
"PERSIST_III",1,146,1,3,2.25,0.79,0.54,3.58,0.277681453430386,0.304168915137618,0.226649964602527,-0.0128919154909728,0.00696522087018094,0.0221424821960494,0.256221907493294,0.0646801063815345,0.247084097469108,0.195679435029461,0.29346151622147,0.278335457284657,0.155312939073265,0.0827748183197836,0.0958598404165724,0.180836078114096,0.241861012665479,0.269443666382557,0.234301215896781,0.209617559749903,0.209587408905761,0.139466982001583
"ALGONQUIN",1,147,1,2,1.97,0.61,0.47,3.05,0.267536803414101,0.279424483441928,0.22745655665447,-0.00969047047091953,-0.0178273889406403,0.0130595346823068,0.20013738590865,-0.00205790155951174,0.213607496409624,0.189159635810585,0.256568779907825,0.25058949907978,0.138198248186278,0.0935255301318248,0.0875255625468753,0.17033144111403,0.217214754885324,0.252751060376007,0.222739438528885,0.193166605359267,0.186380532491909,0.119522957381625
"ONEIDA_ULTRA",1,148,1,1,1.74,0.5,0.48,2.71,0.235349968017473,0.267673885626753,0.21645479194536,-0.00905661774011107,-0.0293919915428488,0.0125099255094926,0.187209990901917,0.0110666438596229,0.178916133019976,0.186232588053489,0.214308018574807,0.20497233798314,0.0937485251292041,0.0918607566717018,0.0830701425407911,0.178198521949767,0.209132750591638,0.248731970656618,0.23168586399923,0.215083500213737,0.178219267393111,0.117653476944735
"EZRA",2,213,2,36,1.72,0.73,0.62,3.07,0.262763014492449,0.254803994457357,0.198541226553389,0.00873971472248175,0.0270758924574083,0.0551485304186598,0.268297626426782,0.191370896730212,0.29457752674307,0.249773057944074,0.289570783454498,0.300304859222838,0.231479780617734,0.0829756170856237,0.0485244485116041,0.164174547079321,0.284440903145981,0.167123391657494,0.234105111762955,0.231161295123573,0.21486136542099,0.143827669399526
