"Germplasm","Rep","Plot","Row","Range","NDRE_131","NDRE_145","NDRE_154","NDRE_159","NDRE_162","NDRE_164","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_201","NDRE_203","NDRE_210","NDRE_215","NDRE_223","NDRE_236","NDRE_238","NDRE_243","NDRE_259","NDRE_263"
"GUARDSMAN_II",1,2121110,1,41,0.405347732110539,0.3063925,0.394965570981028,0.57053781042632,0.460816376385088,0.248571410701442,0.364276829855874,0.318594547165672,0.385908811775261,0.292633342527608,0.428069430587103,0.448887102615147,0.390153660765473,0.318852819339189,0.370475930127015,0.449083611939399,0.417446895424837,0.257761431877689,0.321372039724981,0.328808040863404,0.223640331760144,0.338280208969401
"SEEDWAY_9558_SBR",1,2121120,1,40,0.421099077979838,0.305792902066487,0.481273158087241,0.588948440395848,0.528503323,0.259881014162474,0.360951771,0.33827727891349,0.358214112657542,0.273433412716584,0.399614863,0.408804794470366,0.364463081,0.371639271258576,0.352147291,0.449853055976489,0.367568522032469,0.2306940108294,0.272387838618162,0.274248658367457,0.206517200670936,0.351418413732275
"BORDER",1,2121121,1,39,0.335059686237001,0.308212832302732,0.518982560117502,0.568783573893584,0.544701984,0.255548425430778,0.401043986,0.294335118866505,0.445141882693289,0.356420567985619,0.446830973457589,0.46822815600031,0.352498991529845,0.375342705620311,0.348903707719647,0.450049046767291,0.413244395901597,0.289302747,0.309803795752315,0.320475421541165,0.210551980598895,0.343436486692346
"BORDER",1,2121122,1,38,0.292872112977185,0.343963981819143,0.468741313232511,0.553946724340464,0.510375451199232,0.253192857,0.400569800569801,0.311123848071648,0.431438636134659,0.359859117265466,0.464315871903916,0.485591364761983,0.347952617149835,0.369989086036342,0.370248840276852,0.446257768340311,0.386266339869281,0.288475272001471,0.311031692859376,0.320602076124567,0.222555815410381,0.330083132031947
"BORDER",1,2121123,1,37,0.302752958957118,0.338327651815443,0.418564794936628,0.550916581159931,0.463168910416675,0.25556495709139,0.390500094268477,0.333030240846489,0.413557693691619,0.294532411021352,0.444785935106926,0.459095238394279,0.359979705369006,0.413302427072122,0.40292903129607,0.448979923097225,0.393416028,0.278291120094602,0.306807984,0.301598886129794,0.249551971746125,0.320174071293334
"SW4412Y",1,2121130,1,36,0.314060375465346,0.310847735320543,0.463660448769938,0.547377765072299,0.477078379207111,0.253885864793679,0.347774173909392,0.274722086597179,0.354781180884392,0.244056898034005,0.375569684146966,0.395178630863042,0.31808110942851,0.399205070642432,0.413331433395141,0.446683810136076,0.357326718321737,0.254637161246395,0.282690883790393,0.291445002193089,0.253818902537777,0.291265486125246
"AMERISTAND_427_TQ",1,2121140,1,35,0.345328953679073,0.296865651921146,0.459618656870696,0.541915316851378,0.44832732671195,0.260179253838697,0.352778171,0.282875628297752,0.340567053834012,0.284193358608576,0.410766505567703,0.428733224900935,0.312758751556227,0.384260815534265,0.405732652165218,0.441872985753441,0.368322663116971,0.281152183321103,0.332425234330634,0.335668808699951,0.274710293115201,0.287582603975846
"VERNAL",1,2121150,1,34,0.506061575754166,0.448217060409069,0.423512555062577,0.516528147144301,0.500312610931077,0.243947165875684,0.360849777945366,0.349167616041966,0.32164994698638,0.322960749,0.387686246147446,0.390252283255568,0.34576920048217,0.392061769553771,0.441062016204331,0.448418840860335,0.374442322726504,0.259551423728863,0.293262976851686,0.299561687688774,0.25981753921126,0.265219064873452
"HI-GEST_360",1,2121160,1,33,0.418124243958703,0.29285397177739,0.495639839066202,0.434327593746863,0.455632149686817,0.254421730333867,0.368197479741361,0.273949731462415,0.355810748571511,0.348083622868159,0.451326766722568,0.465242078469052,0.364961758176912,0.363740857612014,0.38539212674317,0.448259631721541,0.359839632089395,0.281656744782507,0.367985661973089,0.401136783480515,0.263533411133555,0.302784623838437
"55V50",1,2121170,1,32,0.35118077537661,0.338422784208023,0.501330725,0.397500537430396,0.454665562286169,0.241910998530194,0.393046128707893,0.315297915148256,0.392577853260218,0.34935216417009,0.437005785920926,0.455713526421079,0.343503598448783,0.364850448864724,0.405226509699782,0.448396653601478,0.348532317021636,0.276374770769015,0.359275537094109,0.397487999121217,0.232091914661384,0.31899060956236
