"Germplasm","Rep","Plot","Row","Range","GNDVI_133","GNDVI_159","GNDVI_164","GNDVI_168","GNDVI_171","GNDVI_175","GNDVI_178","GNDVI_181","GNDVI_187","GNDVI_189","GNDVI_192","GNDVI_194","GNDVI_196","GNDVI_207","GNDVI_223","GNDVI_231","GNDVI_236","GNDVI_238","GNDVI_243","GNDVI_245","GNDVI_252","GNDVI_258","GNDVI_259"
"PLUSS_III",1,2111180,1,21,0.382011256760756,0.190863974095796,0.182661746522197,0.0793197214852963,0.215838063204164,0.25476019803094,0.203868941671026,0.318524707553861,0.275234888290297,0.300863378209758,0.306275817337935,0.306920694324116,0.276886056506173,0.249759965778821,0.259484035177935,0.2693804116247,0.275508665799177,0.318587520825048,0.178777095236387,0.318372445808757,0.273200871836303,0.19198586100824,0.110933438685729
"SEEDWAY_9558_SBR",1,2111190,1,22,0.351933589746826,0.217133008002367,0.20188394832978,0.0489595893873089,0.146924953992505,0.161622694974594,0.142841580578899,0.260954371786222,0.247237879004522,0.281267739536464,0.290684615882467,0.279826600824418,0.249121534443479,0.247472779338503,0.227681350452144,0.241391869594812,0.268675375571522,0.289797496334414,0.174598829459416,0.299300192267049,0.281030885284021,0.230643688517425,0.142642169575951
"NY1517",1,2111200,1,23,0.347392068702196,0.215948115926011,0.198519839294954,0.0406598647720654,0.136263820325568,0.125075380614456,0.115906213314114,0.237377695614367,0.240164806163275,0.287210740169211,0.277341779565944,0.28127689024324,0.244247653487985,0.260087928902967,0.224694387909674,0.244156633082972,0.268761000159623,0.283600519662531,0.188370400287925,0.290033915178459,0.280586328882707,0.232483281065587,0.1185271708923
"SW5606",1,2111210,1,24,0.389843725056304,0.243550021602632,0.210358479596711,0.0748454851083537,0.207869367525643,0.238619571031801,0.200997613574999,0.301136319776893,0.279069139901826,0.327464603414607,0.309770220943205,0.314494350643497,0.276966341354535,0.280215783471588,0.273943894552865,0.278129612849151,0.297345920684205,0.317589762246121,0.206407985125179,0.308726696336388,0.285013502729555,0.197330951722138,0.108625307553452
"EZRA",1,2111220,1,25,0.377170826446686,0.217265732871897,0.201842676169241,0.0496140846812758,0.176593101511272,0.17904503177429,0.151779937682701,0.269385594159431,0.243089075875524,0.295660172196164,0.28966045388425,0.283509946139223,0.256950052934421,0.244271801486757,0.229742955452716,0.245355657002551,0.271783819163913,0.283970171969849,0.181575748968173,0.29841233016251,0.286055421583227,0.202533427467614,0.117897375161815
"FSG_421LH",1,2111230,1,26,0.322139231339066,0.23905643455567,0.238409043872509,0.0539948200924582,0.162370208696507,0.152963813319577,0.138068764939092,0.262394624959516,0.251962606481286,0.305930744371121,0.294132192462306,0.29111547929491,0.265860998628333,0.224580221538203,0.241405354022226,0.265278506966821,0.288410081009445,0.299135329984122,0.188339426204071,0.299689065578803,0.287257872871682,0.222439164535273,0.13183795520761
"ONEIDA_VR",1,2111240,1,27,0.315572593870677,0.232361971815145,0.242190348410983,0.0426791847812602,0.148815202271772,0.137025252292352,0.110908494985651,0.247527271643029,0.22092632920105,0.285201721967604,0.273998316396883,0.263929301132076,0.243716071420872,0.243381481251792,0.215258397745093,0.243498513114209,0.252675201458915,0.273827488849444,0.168260020999454,0.2782468710312,0.264438696241318,0.206319162146848,0.122844573278207
"PERSIST_III",1,2111250,1,28,0.355359567297237,0.238343778083405,0.240489350262728,0.0647556005251214,0.171383449594561,0.170256732501776,0.139526210202909,0.283701464775634,0.249633307573222,0.311777566488862,0.30014790768156,0.28603398206662,0.269470686912968,0.248544713457498,0.246079704992225,0.268313144453088,0.27659594209968,0.299449269823085,0.184645277665925,0.300567323681485,0.288123617374335,0.213874659364429,0.123366167567149
"ONEIDA_ULTRA",1,2111260,1,29,0.291993393838045,0.218889083457748,0.249242292404825,0.0680048917692367,0.153761325860009,0.109216688646027,0.0903821627943502,0.244806135494588,0.215843616396426,0.287200414885621,0.268989185981474,0.258559306759589,0.241755383891107,0.232955124255992,0.226698735801866,0.2570410763678,0.252227405203017,0.280611155420999,0.166909307297497,0.283624246496585,0.261732538096618,0.191722674037104,0.110426426262473
"WL_349HQ",1,2111270,1,30,0.350300568998254,0.228686519846825,0.234887756963736,0.123813534931962,0.226754005075583,0.212460756969428,0.16717753688557,0.308421554834257,0.257519213256846,0.314318602870735,0.287821366779422,0.286084602761548,0.25799244714931,0.238882261639371,0.262359777455847,0.281466171909435,0.257762628214145,0.297399954058465,0.175016590280311,0.30600886618971,0.268319473016095,0.180772320977502,0.119566061924556
"FSG_415BR",1,2111280,1,31,0.317945094298868,0.223535557610867,0.225248759053248,0.0936076427052513,0.171656451567041,0.127621256355921,0.132982651762834,0.265666492944448,0.240794416035243,0.303409906095436,0.284235216418781,0.281587801117444,0.252757532195832,0.239908376435871,0.2349550633443,0.265595942188093,0.244825275851945,0.285352640179919,0.169995088455909,0.300952400625229,0.262900106914908,0.200557275989488,0.120029652822483
"GUARDSMAN_II",1,2111290,1,32,0.287739188792201,0.236943522079291,0.247974405314474,0.113425999415728,0.182912040461976,0.126401305576311,0.132926720944268,0.259059249273712,0.238696798489494,0.298936618533713,0.278258866881621,0.281518987706403,0.247809500992985,0.23520297825508,0.235712851056712,0.266230952742135,0.248127749179399,0.288586373109168,0.186857936713231,0.309038018763447,0.262302289633533,0.193396630354689,0.111495116156021
"AMERISTAND_427_TQ",1,2111300,1,33,0.338459249099061,0.243175520627858,0.243840792387868,0.130730510082523,0.216642477383647,0.206248083111135,0.187355656833334,0.30712997112113,0.256919890268586,0.316655487715968,0.298189559044275,0.29562335826362,0.270142698034121,0.242825078177024,0.260736760505049,0.282306236259956,0.265226617821163,0.295597794276208,0.191539657333541,0.316841640987321,0.253941292351841,0.178825423865232,0.109150567082452
