"Germplasm","Rep","Plot","Row","Range","NDRE_133","NDRE_159","NDRE_164","NDRE_168","NDRE_171","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_194","NDRE_196","NDRE_207","NDRE_223","NDRE_231","NDRE_236","NDRE_238","NDRE_243","NDRE_245","NDRE_252","NDRE_258","NDRE_259"
"LIGHTNING_BOLT",1,2111110,1,11,0.377082370967924,0.294596440361634,0.374695388858907,0.355039420850553,0.307991930300195,0.301440344380784,0.289770306638819,0.433398738335981,0.531039580725907,0.498407733946659,0.416833953460902,0.489240330357086,0.268371380306417,0.207733134920635,0.412301103322775,0.355704124980973,0.218890720307398,0.310417715344844,0.189414221432452,0.258137324408672,0.226370391388391,0.237026987138942,0.244891820981786
"SW3407",1,2111120,1,12,0.433162830349531,0.31465501439926,0.439656413023925,0.346103344177731,0.299350982464868,0.313317581965451,0.337223659128839,0.477967873648315,0.49125717042136,0.468033854445898,0.316649645969499,0.427353298360371,0.192030422267814,0.174706903594771,0.393132861863512,0.364417092172084,0.216509161493466,0.340639677429844,0.195907816987435,0.291342975278582,0.223166102135759,0.225764033373264,0.203742379304663
"BORDER",1,2111121,1,13,0.414537695305409,0.30252371479993,0.404851109017215,0.343240569770509,0.285720453793332,0.314468652228178,0.317816163777953,0.442612588414361,0.337990326449729,0.383536468497352,0.234469305794607,0.345672694426433,0.317691165286449,0.233536430232048,0.355965969588261,0.377186821093999,0.249236648434137,0.353776903508137,0.242243639452014,0.314238971022652,0.237828418072083,0.4246518714667,0.275639723743749
"BORDER",1,2111122,1,14,0.426135653776291,0.328871951144346,0.402283983929963,0.363122453764764,0.293422511710815,0.300179288417353,0.320926637559778,0.4424779896738,0.309537833750522,0.41042525358667,0.253553625556503,0.37665905227705,0.349075615638195,0.252555599420976,0.367407079790981,0.380865540288098,0.267470532372493,0.35460898051339,0.269281799348741,0.32019056832094,0.253167698191728,0.423909799718387,0.393937665563963
"BORDER",1,2111123,1,15,0.414263288153798,0.351263210598249,0.419500209869881,0.370873120548668,0.283500480888558,0.305446674392228,0.307492742962453,0.434336608785391,0.30635912077597,0.420180852508703,0.288383862246371,0.369771371244522,0.352976383576388,0.2340638388092,0.367478792720978,0.377616754535265,0.285488516306041,0.364096640978116,0.265847488420656,0.340374884445093,0.283939184356287,0.38046679316888,0.42237917791551
"ALGONQUIN",1,2111130,1,16,0.366803859464892,0.34139145913615,0.431820471307789,0.39697910255283,0.368703104920615,0.47830656318724,0.283166427673348,0.354845703882771,0.330337792031706,0.366666666666667,0.295602887894288,0.327327602004385,0.34368295209807,0.241488792384963,0.292764740133161,0.327097845489643,0.25513866871039,0.321216742589292,0.223548251692391,0.329665005103125,0.298977460142936,0.227789967005023,0.301279896574014
"SW315_LH",1,2111140,1,17,0.407176055308709,0.326388104648974,0.431509742321472,0.38380931445822,0.393112047034003,0.505906148867314,0.289276721849154,0.340825946817083,0.31853945035461,0.376629852816081,0.25997127632847,0.347745548401524,0.312869261438761,0.248930414820664,0.295686185159869,0.337000982467793,0.235473335787243,0.341375605631971,0.194469350828844,0.362540400775695,0.335254393587402,0.256881869575268,0.307935500515996
"NY0465",1,2111150,1,18,0.363586007714664,0.300631082472515,0.412000659591054,0.392859110759401,0.352082944700079,0.431581646125409,0.275096398936683,0.347326692690806,0.317866604088444,0.369913925285754,0.270248709387136,0.321300124490553,0.318081570492524,0.282289043880043,0.308432251156709,0.356542128495717,0.271482738394503,0.33329122760363,0.23738188307338,0.312686542042497,0.309531409790326,0.263515961582918,0.299127976982648
"HI-GEST_360",1,2111160,1,19,0.394982645456045,0.290789392583388,0.437445583738082,0.371581816583135,0.277237209716733,0.312305410733037,0.309870247752077,0.426249561816833,0.317368064246975,0.42592781625957,0.283467089647104,0.376200293201393,0.347669973767748,0.256518401544063,0.38396317591364,0.379423803395741,0.28202720531368,0.367627211772918,0.197995883852599,0.352630634773007,0.312580113142634,0.231468801883025,0.276382625448369
"N-R-GEE",1,2111170,1,20,0.338784369740624,0.318159067417379,0.405165197577502,0.372337114217884,0.263359268125855,0.298160498148523,0.285383350478506,0.387031154185549,0.311035669586984,0.39216571996097,0.288178015771526,0.335563558545547,0.329013687723918,0.261116813615827,0.361358415877541,0.356822832343947,0.258543007422494,0.364145286638702,0.192885158432229,0.343710337733108,0.291819326464381,0.240770211839363,0.280312432665374
