"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","NDRE_133","NDRE_159","NDRE_164","NDRE_168","NDRE_171","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_194","NDRE_196","NDRE_207","NDRE_223","NDRE_231","NDRE_236","NDRE_238","NDRE_243","NDRE_245","NDRE_252","NDRE_258","NDRE_259"
"REGEN",1,148,1,51,2.28,2.11,1.33,5.72,0.345852408511128,0.308814241550814,0.424305330694969,0.240353761833582,0.277318477496484,0.338945333849168,0.301004516368871,0.387347270719551,0.350637515644556,0.370360918702151,0.318422661233168,0.291603693592121,0.381948995110798,0.168548347004723,0.303045641435734,0.358971729835194,0.207904168985103,0.301578642734042,0.201262727313147,0.348700745807008,0.318657303138319,0.294611941239518,0.277999670456418
"SW5606",2,213,2,16,1.94,1.86,1.28,5.07,0.333191122327754,0.3023749860067,0.440678179528692,0.262907031272898,0.29312251799454,0.31178850180849,0.323051321535993,0.384540314981828,0.436052617855653,0.481976436901775,0.265671612687913,0.409317516887516,0.403299089297908,0.169274188842204,0.374210928390495,0.383847260852118,0.246462644311696,0.331557853337792,0.240648596603392,0.327894780741081,0.270394344050554,0.278169302129454,0.291323457966182
"ONEIDA_VR",2,214,2,17,2.29,1.95,1.53,5.77,0.26370076601157,0.292561715068109,0.433319092162859,0.314191945836631,0.287653769224392,0.361279576033357,0.413018087330537,0.278442589850586,0.360979349186483,0.429340710400092,0.320462726153263,0.332102217047382,0.372411223729471,0.22047560690943,0.289512104682383,0.35388932707875,0.248264548032529,0.304865818946666,0.263400275364383,0.265107804908564,0.245719555232403,0.279282096547086,0.284296361078368
"LANDER",2,215,2,18,2.18,1.95,1.41,5.54,0.259652884968071,0.298450701794612,0.41185550898791,0.297274539113104,0.295404411764706,0.309958740579663,0.382178403161722,0.289457426806339,0.385579761159783,0.449652826177865,0.281950509788922,0.32447789299413,0.390260708618448,0.19535275109298,0.316702034349093,0.368264768151438,0.227593901026411,0.30918201624084,0.225443246978641,0.324927137205293,0.264961724213351,0.26170502070067,0.284956721659252
"WL_358LH",2,216,2,19,1.82,1.88,1.18,4.88,0.300894952886345,0.26926640660656,0.428647838340229,0.278044784430962,0.30729600540818,0.299310855336562,0.310337370242215,0.342947009467403,0.415997861910722,0.481892875268956,0.287674351141423,0.357477567298106,0.397258942705816,0.157917708470413,0.35805109922757,0.385007403102384,0.203362102675828,0.352409586056645,0.173886503754044,0.378254304203071,0.281744075381132,0.215253767101696,0.277515368138206
"SW4412Y",2,217,2,20,2.36,2.11,1.51,5.98,0.310016437256426,0.361540997602379,0.45725010493494,0.331761481872271,0.311464667618102,0.292007891768276,0.279071380582151,0.340219207926702,0.410923811013767,0.476229846203884,0.321529029282396,0.383400381605765,0.426509077610436,0.202259654048047,0.349389884059813,0.377425121424717,0.253824246814557,0.382110279207917,0.252981493915834,0.318376823104442,0.25439327963792,0.267275645696579,0.273745304437565
"GUARDSMAN_II",2,218,2,21,2.16,2.06,1.56,5.78,0.310644517588844,0.306034348858366,0.428405348409387,0.316111843840675,0.307531593861173,0.325297672636278,0.304725044977492,0.334842271764109,0.381454552565707,0.446901703444776,0.276390812967699,0.386799934282446,0.412735164605794,0.178843853723443,0.300077585526502,0.333938450468402,0.258608881223867,0.355695647271308,0.256131981983,0.31479537224319,0.279112474655222,0.279483238456673,0.293480994207638
"SW315_LH",2,219,2,22,2.08,1.66,1.36,5.1,0.362752437571631,0.322769529419146,0.464790579840499,0.255948005510126,0.342111004021059,0.440945880387858,0.373319676129158,0.291549607470495,0.344888402169378,0.423754440894112,0.329594849988188,0.410278411076018,0.392643158737344,0.197326695032972,0.260645523493821,0.316111088048487,0.200732660724472,0.357873118069782,0.213661556576654,0.332294562353721,0.265227024183204,0.293999957968182,0.292672344956082
"SEEDWAY_9558",2,220,2,23,2.33,2.11,1.75,6.18,0.370849635563987,0.284643481433816,0.411687567267616,0.22915985228172,0.334190271572764,0.373074679292325,0.358176657781574,0.281132300713284,0.345819513975803,0.437520908837469,0.299531041616861,0.412025206473179,0.400862848433181,0.206881022356743,0.294623814438056,0.350813787759282,0.228518937489526,0.346152115240789,0.262590358637511,0.299604812612556,0.252948388279038,0.296896160393418,0.291657526981381
"LIGHTNING_BOLT",2,221,2,24,1.94,2.1,1.35,5.39,0.42182174722274,0.313077800290076,0.418771061941596,0.227053254784724,0.320673605065705,0.2922465196539,0.345312316933147,0.326324947025995,0.385750286816854,0.469235630088711,0.286714357429719,0.432129778887636,0.429011518714722,0.189411618487813,0.336809492537047,0.357669060567064,0.225339926439967,0.345345105714554,0.230722011943055,0.322198705785044,0.2473417392281,0.262698863039321,0.280761705167897
"PERSIST_III",2,222,2,25,2.1,2.04,1.49,5.63,0.432714867948011,0.315251897860593,0.450347736348544,0.253621296052053,0.325325504674444,0.320010531616342,0.387417579477463,0.31337356605495,0.396005423445974,0.462674385512499,0.321076514341646,0.411640063695475,0.423173056312582,0.172425319120937,0.310369953404009,0.356335256756196,0.220175046281229,0.352591425161628,0.214588361611997,0.352495117153561,0.269571488529087,0.271539110267763,0.323641710077696
"EZRA",2,223,2,26,2.11,2,1.57,5.67,0.42388594076461,0.3104186302673,0.418230497091803,0.299150326797386,0.318986221257083,0.341540260332303,0.420082582582583,0.283779359536813,0.387706117021277,0.455303982329352,0.28528570163005,0.358532502181928,0.409359517450092,0.189904080946323,0.303535857930145,0.344150442110507,0.238678307574172,0.349231619679381,0.247440143665753,0.291351784230454,0.238153296624984,0.288985141752306,0.262036452590086
"AMERISTAND_427_TQ",2,224,2,27,1.72,1.76,1.22,4.71,0.421452329894481,0.295969560419688,0.419688640500517,0.275273161581523,0.304807851410606,0.321043997223723,0.381577670734826,0.319900091234053,0.408668909052983,0.466695271117926,0.305301079100454,0.348749245658518,0.427262113923436,0.164140457077686,0.348676504094461,0.360607054395506,0.235466314731021,0.353648359509641,0.217155674530349,0.335129877141832,0.256498844337253,0.259468087342118,0.279843003377822
"REGEN",2,225,2,28,2.24,1.94,1.64,5.82,0.403435597567891,0.277544535600802,0.423474395874558,0.288287317916703,0.302404992123699,0.366305781397403,0.428281534363845,0.30177263277546,0.379482686691698,0.44241756199381,0.30530637254902,0.32190369218909,0.405520128405344,0.201709435452033,0.297561640286098,0.34526270635283,0.240725381710778,0.331909690379493,0.249512987869347,0.291248410033989,0.250116984991163,0.306598995439548,0.277363689767405
"REBOUND_6XT",2,226,2,29,1.69,1.66,1.21,4.56,0.431545180161064,0.28653543103671,0.423219963805507,0.228460828277499,0.320672649333995,0.361374349598563,0.33192806383697,0.342990270689707,0.434270572590738,0.482064428259455,0.269607166538113,0.356007056711486,0.411988396743846,0.163198081618926,0.379612280850671,0.387361174533328,0.225204844743537,0.35446258814665,0.214392649715253,0.325207651298733,0.242426950882855,0.222872865275142,0.247282913165266
"SW4107",2,227,2,30,1.99,1.89,1.3,5.18,0.422854660602669,0.298904524479972,0.398997571505666,0.243666578739119,0.29446793516561,0.34483536289555,0.328795344949866,0.333804992345618,0.433406341259908,0.471596720350554,0.268160731159934,0.348560532817703,0.429412915550986,0.169833537581699,0.339813437336657,0.348942255801403,0.250991730620501,0.344256105095438,0.222304816465192,0.338490170328875,0.271869690897161,0.220629006157661,0.292074350102032
