"Germplasm","Rep","Plot","Row","Range","NDVI_131","NDVI_145","NDVI_154","NDVI_159","NDVI_162","NDVI_164","NDVI_175","NDVI_178","NDVI_181","NDVI_187","NDVI_189","NDVI_192","NDVI_201","NDVI_203","NDVI_210","NDVI_215","NDVI_223","NDVI_236","NDVI_238","NDVI_243","NDVI_259","NDVI_263"
"NY0465",1,2121390,1,10,0.477542408642079,0.527673220231489,0.52865750679834,0.367123326521155,0.346885048244105,0.235885167464115,0.498492489944696,0.448930213249741,0.518104609216269,0.42804236563571,0.450845828527489,0.456625052070577,0.31841792296432,0.395356096032936,0.391978893851175,0.417604306657643,0.482878528566599,0.452606366726706,0.464491051000271,0.467928045009774,0.354286172546728,0.367209715720198
"WL_349HQ",1,2121400,1,9,0.505424150330697,0.544590320519288,0.518300653594771,0.362195529373194,0.329940925822019,0.229691841010726,0.551154657910173,0.484907173503348,0.535822694627153,0.434194169868137,0.458758295989563,0.448672854,0.319179636296222,0.395000140816959,0.396384104972788,0.433871235197175,0.517476413,0.43183745189225,0.466003740518955,0.443587960674466,0.32779368672548,0.353062487278648
"FSG_421LH",1,2121410,1,8,0.497810176198648,0.539508086253369,0.523261453811046,0.30978157353948,0.295641259553591,0.20631908561916,0.518381828105975,0.46052261636039,0.524993043461573,0.406929770337897,0.42269691,0.421203453,0.305522013594213,0.393999557474822,0.410001511715797,0.429501171340081,0.470322536342123,0.380856046559762,0.446383364279653,0.429266501120996,0.326105307339519,0.354461682009097
"SW3407",1,2121420,1,7,0.510008399016449,0.552833492,0.527709714867293,0.349227585254322,0.306665216213018,0.223252212527754,0.551507510055304,0.482372400421735,0.523837898261825,0.412392440503125,0.434691942457243,0.422206278786639,0.346363012601372,0.402176884214565,0.443022176367174,0.434518069522891,0.502947765127556,0.428385707276193,0.474827741741889,0.447202834074806,0.340745705235059,0.363573698069683
"SW5606",1,2121430,1,6,0.552365764574601,0.548564425770308,0.533540861600114,0.353898982076808,0.304121538672678,0.214048519014833,0.560451100846321,0.503468580984661,0.548778287923929,0.411990656693582,0.423486631875508,0.427336163460794,0.349594895922398,0.389648639980907,0.429507002113982,0.440418280244703,0.504783496732026,0.434019253231668,0.477457051029209,0.460773219091558,0.350123183685075,0.351325055973947
"EZRA",1,2121440,1,5,0.511715123639126,0.561182944876064,0.529994116056804,0.361441246687709,0.325584093867253,0.2112427326128,0.534309365320828,0.487509641171517,0.514765679656626,0.412202383067009,0.443470892507129,0.429567924105694,0.329783185027692,0.392062943956075,0.434757088302157,0.427281975446499,0.494791439122068,0.465428131834412,0.497257326620853,0.477723582583718,0.3737001921051,0.354138815387747
"SW5210",1,2121450,1,4,0.565504139849473,0.559964721737752,0.535942623602563,0.337339983290027,0.311861657257803,0.209979297620164,0.547105957767722,0.480265730735937,0.542100970557051,0.435833755488772,0.473835334687225,0.472262552934059,0.329218874582125,0.393098223186828,0.417579719242045,0.424277525217737,0.486042457305503,0.472719736254532,0.477620108969508,0.477495654434102,0.36132266626673,0.327363186104892
"PERSIST_III",1,2121460,1,3,0.548274233174858,0.570806247027113,0.538775185662262,0.333819821594554,0.332105282577634,0.208996716389905,0.547556220672029,0.436868193686713,0.544031769791352,0.470790990091216,0.505655099551875,0.485162659063839,0.330612255179036,0.397030566191516,0.414202463781211,0.422932031724791,0.480257459,0.49067835002902,0.481042690103729,0.480196957214258,0.398088426670166,0.364648076211617
"ALGONQUIN",1,2121470,1,2,0.542044914851754,0.562323740817082,0.53025730324571,0.320557723637986,0.339251218401004,0.206792672317616,0.49244880232607,0.369927210629229,0.51588705460163,0.460621605811065,0.470441878182766,0.457641658136512,0.333339812464053,0.403048078620316,0.403116261291166,0.415180642149333,0.458730629348514,0.477733294543181,0.475676065414776,0.492974285604653,0.411777412210469,0.376346815085635
"ONEIDA_ULTRA",1,2121480,1,1,0.498462833244249,0.554208947730035,0.526785935785506,0.328015636813897,0.365381106696134,0.218031710291772,0.472717262652924,0.374581508291997,0.47164994698638,0.43622941,0.42997502140517,0.415887439634763,0.329096503716332,0.400591553676363,0.413731262160206,0.424239130989372,0.448843311570318,0.474232049060859,0.47093259453995,0.471606524962926,0.386537228760253,0.367991991469174
