"Germplasm","Rep","Plot","Row","Range","NDVI_133","NDVI_159","NDVI_164","NDVI_168","NDVI_171","NDVI_175","NDVI_178","NDVI_181","NDVI_187","NDVI_189","NDVI_192","NDVI_194","NDVI_196","NDVI_207","NDVI_223","NDVI_231","NDVI_236","NDVI_238","NDVI_243","NDVI_245","NDVI_252","NDVI_258","NDVI_259"
"FSG_415BR",1,2111280,1,31,0.540708651461606,0.488041540726963,0.450845480340063,0.324995750168528,0.357131241209564,0.424124064506895,0.429853256622214,0.538373324976871,0.530671542553191,0.57516301744905,0.503081148121899,0.577409117046754,0.502746887501426,0.409059964030355,0.510394822469126,0.528004068246918,0.452379947971595,0.509126970935966,0.359080882823939,0.519175163862071,0.430453339008199,0.426448101212618,0.344183427047289
"GUARDSMAN_II",1,2111290,1,32,0.514198029561656,0.498668640254318,0.451733675121425,0.314951786394677,0.362063564855118,0.404730136305366,0.414963449608778,0.53151927132409,0.521343085106383,0.565129141111421,0.492871288007957,0.564872205812469,0.498324497400369,0.402590837975757,0.51426191405718,0.533960694369491,0.454685410126928,0.508483595096413,0.371502084996895,0.508807716635041,0.423720938480909,0.401968664779502,0.333575040876079
"AMERISTAND_427_TQ",1,2111300,1,33,0.53141436105822,0.490605605439365,0.439171163878395,0.317784811981594,0.387021402524009,0.461808027504228,0.464105149926045,0.566579105909061,0.543406862745098,0.575472825659611,0.507369534159045,0.578093306288032,0.516987552438987,0.386863183752248,0.542489616793022,0.561579420759129,0.456723393980116,0.509628979286574,0.362573516253652,0.51900260903793,0.416325997387197,0.389948511022844,0.322499896800826
"LIGHTNING_BOLT",1,2111310,1,34,0.576376949298522,0.495703927239197,0.461169574863585,0.316177496409625,0.377041749575094,0.456842173136088,0.474943109199165,0.564443399886591,0.543110528785982,0.57880395641669,0.503722648479682,0.565354869969531,0.498699851878676,0.407517217177699,0.542855504775009,0.549639807934465,0.469527121389867,0.516315806587975,0.371671711862903,0.513688283662611,0.427213818297895,0.411603303700902,0.345654334131843
"VERNAL",1,2111320,1,35,0.551296611347086,0.499372115996157,0.458568915678594,0.29872197309417,0.359466782493588,0.364635415707154,0.371796177788524,0.505659951242129,0.530994472256988,0.563562294039015,0.491379973676217,0.559096448029648,0.504055961761253,0.432813820531941,0.517934765612784,0.553002476925844,0.472783795371485,0.507916594154864,0.373073539562309,0.513388208881568,0.432540980214817,0.4296639556144,0.3396578668232
"REBOUND_6XT",1,2111330,1,36,0.60668738045815,0.479431140044951,0.440311656772801,0.338187520150063,0.409512187538863,0.509056575965808,0.506559033120618,0.577560062076581,0.56265931372549,0.584264647802249,0.504190347636639,0.563896892949897,0.530058923269321,0.375720489538097,0.559547114965072,0.566953242835596,0.470219665235361,0.517026679741209,0.357052500849681,0.521643693896105,0.419959684808503,0.373783914423218,0.312029354728317
"SEEDWAY_9558",1,2111340,1,37,0.586515208828517,0.503981355388005,0.458550698566889,0.279987983235148,0.380575980392157,0.431058442794594,0.463750273539562,0.557373506229341,0.567493481435127,0.5846013739072,0.517151631737032,0.565034491540953,0.565697591079525,0.430916933514644,0.533383722373036,0.559541561155161,0.494311520788933,0.511366695932104,0.388198804425985,0.507691960158753,0.437852063345688,0.40854100780097,0.335817099309359
"NY2003",1,2111350,1,38,0.546561679987604,0.499018562189918,0.474435450020987,0.254360327090477,0.374285951166936,0.382017034812672,0.38878685533646,0.509467252957629,0.539141635377555,0.565323354277912,0.481871181443592,0.54964913777306,0.555817282665279,0.380773054934129,0.506832738411686,0.541219505445086,0.453772275291883,0.502255389718076,0.349509596682364,0.500356651199379,0.420730638954406,0.406693987348423,0.309927373664398
"LANDER",1,2111360,1,39,0.570271506241425,0.477294916457719,0.46323581759172,0.280473343298455,0.39440424112683,0.44306553953502,0.454919014478717,0.557836123795028,0.545700224238632,0.590413878821671,0.504943096381792,0.570328267533847,0.576519735436834,0.36630258367329,0.551870764254665,0.571710047462881,0.464328003555518,0.507579487600645,0.345762711864407,0.52607057711422,0.453020033458062,0.380242733749448,0.337657578868652
"NY1615",1,2111370,1,40,0.567330800253684,0.498385142374912,0.474306438482717,0.283942231601161,0.388177387762716,0.439815879259639,0.420790616034157,0.547939606048369,0.523034652690864,0.580338687425389,0.493752220090935,0.553411250320523,0.560361058470604,0.399880978491322,0.544434169201971,0.556053385362614,0.474366291549313,0.497355225705613,0.355765206270832,0.500663441555282,0.426510489634503,0.358878170775277,0.313894638737848
